"","Year","Stlkey","Vessel.code","Station","Setno.x","IPHC.Reg.Area","IPHC.Stat.Area","IPHC.Charter.Region","Purpose.Code","Date","Eff","Ineffcde","BeginLat","BeginLon","BeginDepth..fm.","EndLat","EndLon","EndDepth..fm.","MidLat.fished","MidLon.fished","AvgDepth.fm","Lat...Grid.target","Lon...Grid.target","O32.Pacific.halibut.count","U32.Pacific.halibut.count","O32.Pacific.halibut.weight","U32.Pacific.halibut.weight","No..skates.set","No..skates.hauled","Avg.no..hook.skate","Effective.skates.hauled","Soak.time..min..","Profiler.Lat","Profiler.Lon","Profiler.Bottom.Depth..m.","Temp.C","Max.Pressure..db.","pH","Salinity.PSU","Sigma.t","Oxygen_ml","Oxygen_umol","Oxygen_sat","Year.y","Setno.y","IPHC.Species.Code","Scientific.Name","Species.Name","SampleType","HooksFished","HooksRetrieved","HooksObserved","YE.obs","SEdist","In.Out","depth_bin","YE.exp"
"27831",1998,19980260,"BDP",3111,97,"2C",181,"Sitka","Standard Grid","15-Jul-98","Y","",57.8333,-136.85,117,57.8333,-136.914,240,57.8333,-136.882,199,57.833,-136.883,15,0,410,0,8,8,83,6.67,"456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEO","SEO","200",NA
"27841",1998,19980263,"BDP",3113,100,"2C",181,"Sitka","Extra Station","16-Jul-98","Y","",58.0002,-136.6337,36,58.0002,-136.695,83,58.0002,-136.6643,56,58,-136.667,115,47,2512,390,8,8,84,6.75,"464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,100,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,11,"NSEO","SEO","100",4.2
"27851",1998,19980264,"BDP",3116,101,"2C",181,"Sitka","Standard Grid","16-Jul-98","Y","",58.1667,-136.6333,49,58.1665,-136.5667,164,58.1667,-136.6,125,58.167,-136.6,30,5,1320,42,8,8,83,6.67,"595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,101,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,1,"NSEO","SEO","150",4.15
"27861",1998,19980265,"BDP",3120,102,"2C",182,"Sitka","Extra Station","16-Jul-98","Y","",58.25,-136.4668,128,58.2502,-136.4103,134,58.25,-136.4385,100,58.25,-136.433,16,7,1046,43,8,3,85,2.82,"658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"27871",1998,19980266,"BDP",3119,103,"2C",182,"Sitka","Extra Station","17-Jul-98","Y","",58.25,-135.7,52,58.2502,-135.6363,53,58.25,-135.6682,58,58.25,-135.667,37,32,985,236,8,8,82,6.59,"437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"27881",1998,19980267,"BDP",3115,104,"2C",182,"Sitka","Standard Grid","17-Jul-98","Y","",58.1667,-135.3667,83,58.1668,-135.3033,109,58.1667,-135.335,94,58.167,-135.333,10,1,206,5,8,8,85,6.83,"542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"27891",1998,19980268,"BDP",3114,105,"2C",171,"Sitka","Standard Grid","17-Jul-98","Y","",58.1668,-135.0425,62,58.1667,-134.9827,275,58.1667,-135.0125,140,58.167,-135.017,36,10,1041,78,8,7,85,6.23,"673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","150",NA
"27901",1998,19980269,"BDP",3122,106,"2C",171,"Sitka","Standard Grid","18-Jul-98","Y","",58.316,-135.0398,164,58.3458,-135.0453,187,58.331,-135.0425,206,58.333,-135.033,14,1,432,9,8,8,85,6.83,"486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","250",NA
"27911",1998,19980270,"BDP",3123,107,"2C",183,"Sitka","Standard Grid","18-Jul-98","Y","",58.4833,-135.0333,127,58.5178,-135.04,135,58.5007,-135.0367,134,58.5,-135.033,50,17,1097,163,8,8,84,6.75,"590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","150",NA
"27921",1998,19980271,"BDP",3124,108,"2C",183,"Sitka","Standard Grid","18-Jul-98","Y","",58.65,-135.05,169,58.6838,-135.0502,148,58.667,-135.05,158,58.667,-135.05,89,2,1915,19,8,8,84,6.75,"721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"27931",1998,19980272,"BDP",3121,109,"2C",171,"Sitka","Standard Grid","19-Jul-98","Y","",58.348,-134.7182,47,58.3148,-134.717,48,58.3313,-134.7175,41,58.333,-134.717,21,3,624,18,8,8,83,6.67,"431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","50",NA
"27941",1998,19980273,"BDP",3118,110,"2C",173,"Sitka","Extra Station","19-Jul-98","Y","",58.25,-134.6833,48,58.2163,-134.6825,40,58.2332,-134.683,38,58.233,-134.683,26,1,820,7,8,8,85,6.83,"542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","50",NA
"27951",1998,19980274,"BDP",3117,111,"2C",173,"Sitka","Extra Station","19-Jul-98","Y","",58.2,-134.4357,32,58.1985,-134.3732,40,58.1993,-134.4045,39,58.2,-134.4,19,2,426,19,8,8,84,6.75,"641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","50",NA
"27961",1998,19980275,"BDP",3112,112,"2C",173,"Sitka","Standard Grid","21-Jul-98","Y","",57.9875,-134.0523,132,58.016,-134.0862,117,58.0018,-134.0692,119,58,-134.067,31,12,657,101,8,8,84,6.75,"460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","150",NA
"27971",1998,19980276,"BDP",3109,113,"2C",173,"Sitka","Extra Station","21-Jul-98","Y","",57.8447,-133.919,180,57.823,-133.8732,180,57.8338,-133.8962,179,57.833,-133.9,73,9,1590,86,8,8,84,6.75,"592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2798",1998,19980277,"BDP",3107,114,"2C",173,"Sitka","Standard Grid","21-Jul-98","Y","",57.65,-133.7502,191,57.6848,-133.7498,157,57.6675,-133.75,176,57.667,-133.75,151,10,3648,80,8,8,85,6.83,"706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2799",1998,19980278,"BDP",3104,115,"2C",173,"Sitka","Standard Grid","22-Jul-98","Y","",57.4998,-133.7833,138,57.5,-133.72,105,57.5,-133.7517,129,57.5,-133.75,142,17,3420,152,8,8,82,6.5,"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","150",NA
"2800",1998,19980279,"BDP",3100,116,"2C",163,"Sitka","Standard Grid","22-Jul-98","Y","",57.3333,-133.7855,188,57.333,-133.7235,198,57.3332,-133.7545,195,57.333,-133.75,41,10,1173,96,8,8,83,6.67,"576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2801",1998,19980280,"BDP",3099,117,"2C",163,"Sitka","Standard Grid","22-Jul-98","Y","",57.334,-133.4333,75,57.3332,-133.4975,75,57.3337,-133.4655,80,57.333,-133.433,142,71,2750,611,8,8,83,6.67,"663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"2802",1998,19980281,"BDP",3088,118,"2C",162,"Sitka","Standard Grid","23-Jul-98","Y","",56.8335,-132.8002,112,56.833,-132.864,112,56.8332,-132.832,112,56.833,-132.833,39,15,1108,128,8,8,84,6.67,"435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","150",NA
"2803",1998,19980282,"BDP",3090,119,"2C",162,"Sitka","Extra Station","23-Jul-98","Y","",56.9358,-132.9475,69,56.9625,-132.988,72,56.9492,-132.9677,71,56.95,-132.967,10,6,191,50,8,8,83,6.67,"538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"2804",1998,19980283,"BDP",3093,120,"2C",162,"Sitka","Extra Station","23-Jul-98","Y","",57.05,-133.0502,58,57.0498,-133.1142,87,57.05,-133.0822,74,57.05,-133.083,19,7,595,56,8,8,85,6.83,"643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","100",NA
"2805",1998,19980284,"BDP",3094,121,"2C",162,"Sitka","Standard Grid","24-Jul-98","Y","",57.1672,-133.7003,178,57.1667,-133.7352,178,57.167,-133.7177,178,57.167,-133.75,47,7,1350,59,8,8,84,6.75,"524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2806",1998,19980285,"BDP",3095,122,"2C",162,"Sitka","Standard Grid","24-Jul-98","Y","",57.1667,-134.0185,164,57.1663,-134.0867,141,57.1665,-134.0527,155,57.167,-134.05,33,4,1079,28,8,8,85,6.48,"690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2807",1998,19980286,"BDP",3091,123,"2C",162,"Sitka","Standard Grid","24-Jul-98","Y","",57,-134.3167,185,57,-134.3815,174,57,-134.3492,185,57,-134.35,40,7,1458,60,8,8,84,6.75,"830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","200",NA
"2808",1998,19980287,"BDP",3096,124,"2C",161,"Sitka","Standard Grid","25-Jul-98","Y","",57.1463,-134.6585,58,57.1798,-134.6598,107,57.1632,-134.6592,82,57.167,-134.667,25,4,824,28,8,8,84,6.75,"465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,124,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,3,"NSEI","SEI","100",4.2
"2809",1998,19980288,"BDP",3101,125,"2C",171,"Sitka","Extra Station","25-Jul-98","Y","",57.3217,-134.5967,72,57.3535,-134.5948,65,57.3377,-134.5957,114,57.333,-134.6,10,6,287,44,8,8,84,6.75,"573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,125,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,2,"NSEI","SEI","150",4.2
"2810",1998,19980289,"BDP",3105,126,"2C",171,"Sitka","Standard Grid","25-Jul-98","Y","",57.5463,-134.66,144,57.5117,-134.6587,183,57.529,-134.6593,210,57.5,-134.683,6,0,228,0,8,8,84,6.75,"703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEI","SEI","250",NA
"2811",1998,19980293,"BDP",3110,130,"2C",181,"Sitka","Standard Grid","29-Jul-98","Y","",57.8335,-136.5335,42,57.8332,-136.597,59,57.8333,-136.5652,52,57.833,-136.567,58,25,1734,184,8,8,83,6.67,"485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,130,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,12,"NSEO","SEO","100",4.15
"2812",1998,19980294,"BDP",3108,131,"2C",170,"Sitka","Standard Grid","29-Jul-98","Y","",57.6653,-136.5835,97,57.6667,-136.5215,82,57.666,-136.5525,89,57.667,-136.55,86,77,1600,649,8,8,84,6.75,"591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,131,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,8,"NSEO","SEO","100",4.2
"2813",1998,19980295,"BDP",3106,132,"2C",170,"Sitka","Standard Grid","29-Jul-98","Y","",57.4997,-136.2667,63,57.5003,-136.215,60,57.5,-136.2408,54,57.5,-136.233,48,62,1501,451,8,8,84,6.75,"697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,132,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,8,"NSEO","SEO","100",4.2
"2814",1998,19980296,"BDP",3102,133,"2C",170,"Sitka","Standard Grid","30-Jul-98","Y","",57.35,-135.9175,105,57.3167,-135.917,22,57.3333,-135.9172,52,57.333,-135.917,21,18,1002,147,8,8,83,6.67,"413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,133,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,7,"CSEO","SEO","100",4.15
"2815",1998,19980297,"BDP",3103,134,"2C",170,"Sitka","Standard Grid","30-Jul-98","Y","",57.3333,-136.1848,91,57.3333,-136.2458,97,57.3333,-136.2153,94,57.333,-136.217,47,7,1251,60,8,8,84,6.75,"520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,134,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,22,"CSEO","SEO","100",4.2
"2816",1998,19980298,"BDP",3098,135,"2C",170,"Sitka","Standard Grid","30-Jul-98","N","DS",57.1667,-136.2333,144,57.1668,-136.1722,109,57.1667,-136.2027,117,57.167,-136.2,111,17,2835,163,8,8,84,6.67,"647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,135,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,161,2,"CSEO","SEO","150",4.17391304347826
"2817",1998,19980299,"BDP",3097,136,"2C",170,"Sitka","Standard Grid","30-Jul-98","Y","",57.1665,-135.9335,51,57.164,-135.8745,37,57.1652,-135.904,39,57.167,-135.9,41,58,1253,462,8,8,83,6.67,"777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,136,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,16,"CSEO","SEO","50",4.15
