"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90","Bio.CSEO.mt","Bio.EYKT.mt","Bio.NSEO.mt","Bio.SSEO.mt","Bio.CSEO.cv","Bio.EYKT.cv","Bio.NSEO.cv","Bio.SSEO.cv","Bio.CSEO.lo90","Bio.EYKT.lo90","Bio.NSEO.lo90","Bio.SSEO.lo90"
"18",2012,20733104.0507529,4836693950038.86,4253018.04267898,6234955.54616977,1095757.02765957,9149373.4342446,308048899371.548,1220779678760.26,151632725915.628,3156232645991.43,10759486483884,0.158209094515341,20733.1040507529,15222.4258119048,26243.782289601,4253.01804267898,6234.95554616977,1095.75702765957,9149.3734342446,0.130500629195103,0.177208799831253,0.355371181763602,0.194174926743366,3320.58187135879,4378.742044082,441.564238319714,6164.7208547898
"19",2013,14555066.5622615,2232413062138.89,3982840.41243816,5795873.00738739,1095757.02765957,3680596.11477639,303569709881.624,1119056266990.5,150803608009.069,658983477257.701,8155205595984.02,0.196201923731615,14555.0665622615,9757.43670220506,19352.696422318,3982.84041243816,5795.87300738739,1095.75702765957,3680.59611477639,0.138336350010635,0.182518588170565,0.354398276713435,0.220556113077383,3057.20811548116,4018.67734906668,443.355231796937,2316.80912033329
"20",2014,14446492.1157404,2095568093902.24,4251339.47260437,5260699.01372549,1253857.51463415,3680596.11477639,354986546460.542,860173406912.115,186988427383.174,693419713146.404,8018360627747.36,0.196010974358942,14446.4921157404,9689.2848430063,19203.6993884745,4251.33947260437,5260.69901372549,1253.85751463415,3680.59611477639,0.140145824195774,0.176298879133441,0.344872986120866,0.226245488938024,3250.38291573977,3702.57404323411,527.389251427645,2281.62942525715
"21",2015,14491589.8974647,2935496317877.76,4337711.35648352,5137777.30120482,1335505.125,3680596.11477639,378675422520.915,1655616179597.74,205247902665.17,695956813093.934,8858288851722.88,0.20538034712915,14491.5898974647,9491.42645462581,19491.7533403036,4337.71135648352,5137.77730120482,1335.505125,3680.59611477639,0.141864231535802,0.250440496017589,0.339229650570735,0.226659007127442,3303.89632828793,2976.10870835885,574.392991026184,2279.07247627566
"22",2016,16156959.4175513,3284861443818.2,6445482.86618962,5093096.40916808,1166245.288,3452134.85419355,823164337259.341,1708640315335.91,54712037564.8819,698344753658.06,9207653977663.32,0.187808334336951,16156.9594175513,11059.1478688024,21254.7709663001,6445.48286618962,5093.09640916808,1166.245288,3452.13485419355,0.14076277344237,0.256651275812757,0.200563334932229,0.242073463949588,4921.24567156381,2897.08492786747,773.283133558732,2048.20884733831
"23",2017,14427160.1545141,2206383584015.11,6536514.31714286,3069157.82981818,1148682.53658537,3672805.47096774,936665978131.863,417671006893.84,58434679146.7896,793611919842.619,8129176117860.23,0.197625241394672,14427.1601545141,9637.19286077939,19217.1274482489,6536.51431714286,3069.15782981818,1148.68253658537,3672.80547096774,0.148062867565812,0.210570700681114,0.210443401713902,0.242552728501061,4910.58502695851,1983.41630907893,742.57166696489,2176.17917072983
"24",2018,15643105.8343094,2892501867095.67,5492126.88414634,3126816.68285714,996462.807407407,6027699.45989848,595940349854.098,470468998097.603,346097365827.521,1479995153316.45,8815294400940.79,0.18979965857972,15643.1058343094,10655.0915082258,20631.120160393,5492.12688414634,3126.81668285714,996.462807407407,6027.69945989848,0.140559703908305,0.219362852491494,0.590388723026609,0.201826670718555,4195.21437999342,1974.49220588433,8.11812800067582,3983.89459623846
"25",2019,16314754.5834427,3737725985275.46,5274771.32738337,4213143.67813187,991851.426028708,5834988.15189873,628738187505.343,1310462461101.82,346318082547.929,1452207254120.36,9660518519120.58,0.190510831895395,16314.7545834427,11093.0836374364,21536.4255294489,5274.77132738337,4213.14367813187,991.851426028708,5834.98815189873,0.150325024260479,0.271710250331877,0.593322696843326,0.206525804401387,3942.64871275096,2289.95641470332,3.19164825716598,3810.46110736974
"26",2020,17685782.7315732,3996424803157.19,5175122.33333333,4234251.35578059,1087792.16,7188616.88245931,889017420560.21,1498726688528.76,433077553668.19,1175603140400.03,9919217337002.32,0.178079700914579,17685.7827315732,12394.6581807849,22976.9072823616,5175.12233333333,4234.25135578059,1087.79216,7188.61688245931,0.182194186455707,0.289124293985305,0.604974282334428,0.150829062028313,3591.08863173821,2177.55346700267,-17.7927926260286,5367.07294846676
"27",2021,18026123.9873822,4004637706679.27,5290025.884,4401175.83921922,1035795.31337838,7299126.95078464,736431141944.632,1546989729159.84,384950268887.985,1336266566686.81,9927430240524.39,0.174789793018166,18026.1239873822,12732.8094198493,23319.4385549151,5290.025884,4401.17583921922,1035.79531337838,7299.12695078464,0.162221448783236,0.28260184637531,0.599002137313783,0.158370990899915,3848.32437015446,2311.62473633115,-6.54994559747934,5357.09740471258
"28",2022,20578210.3852827,7785971638502.22,5900413.486,5075033.93714286,1052042.53418803,8550720.42795181,1266782051718.83,2533145059021.41,172087877162.071,3813956650599.9,13708764172347.3,0.179925015895507,20578.2103852827,14357.9518697519,26798.4689008135,5900.413486,5075.03393714286,1052.04253418803,8550.72042795181,0.190751738060406,0.313610849808821,0.394313675905273,0.228394251666347,4009.54975141434,2401.16995133841,355.120139295871,5269.78896712347
"29",2023,21892439.9040959,7353306430498.31,6002947.43125,6180154.10103448,1158617.94385965,8550720.42795181,1519031465773.57,1732715349938.58,230528385445.867,3871031229340.29,13276098964343.4,0.166433625737529,21892.4399040959,15771.1278129701,28013.7519952217,6002.94743125,6180.15410103448,1158.61794385965,8550.72042795181,0.205314132702547,0.212992498038794,0.414402106198158,0.230096827288109,3932.36432279979,3968.72564782451,351.993300619428,5245.33111023293
"30",2024,20946247.7030101,7014889623519.12,6144364.04847222,5108120.14241935,1143043.08416667,8550720.42795181,1534154832045.73,1577826665068.68,223021959212.418,3679886167192.29,12937682157364.2,0.171720444397426,20946.2477030101,14903.4574434574,26989.0379625627,6144.36404847222,5108.12014241936,1143.04308416667,8550.72042795181,0.201584741817813,0.245905669848258,0.413153287660749,0.224344013528769,4063.49918069107,2997.84575753718,349.659710455615,5327.97148981165
