"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90"
"11",2005,30152580.4485522,8057516072502.48,9200271.84811232,11670258.518617,1181987.93944316,8100062.14237975,1015806969375.22,4734803792934.13,158511869799.674,2148393440393.46,14956689247529,0.128260595034075,30152.5804485522,23655.3687595101,36649.7921375944
"12",2006,30152580.4485522,8385192020651.75,9200271.84811232,11670258.518617,1181987.93944316,8100062.14237975,1023849939127.1,4828686178700.71,158383518049.723,2374272384774.21,15284365195678.3,0.129657970104346,30152.5804485522,23584.5828596152,36720.5780374893
"13",2007,26165630.4787551,7708379390636.19,5213321.87831513,11670258.518617,1181987.93944316,8100062.14237975,397927922442.905,4811262566519.35,158148386477.949,2341040515195.98,14607552565662.7,0.146068821411339,26165.6304787551,19744.6993654876,32586.5615920225
"14",2008,25646134.7838444,6818013461196.73,5595254.01804124,10398398.5387774,1181987.93944316,8470494.28758261,568182403684.001,3587767769268.79,158151911985.279,2503911376258.67,13717186636223.3,0.144414434331828,25646.1347838444,19423.9657438651,31868.3038238236
"15",2009,22145335.871756,4832826650926.15,6230595.2254025,5685716.04233577,1185378.84310345,9043645.76091429,676863972960.172,942799103765.26,160229445564.564,3052934128636.16,11731999825952.7,0.154669169096091,22145.335871756,16390.9986980436,27899.6730454685
"16",2010,21561926.7448548,4349206988196.23,6129598.5742268,5800294.11361386,1225878.40901408,8406155.648,658752057209.456,1071044356153.66,173957574616.614,2445453000216.5,11248380163222.8,0.155545491190742,21561.9267448548,15927.4411274554,27196.4123622541
"17",2011,21583224.5895375,4546714958449.51,5614382.45284698,6203977.97817048,1255035.21129568,8509828.94722434,538772807491.984,1334059806785.38,184130263398.71,2489752080773.43,11445888133476.1,0.15675031368124,21583.2245895375,15899.4868521042,27266.9623269707
"18",2012,20658533.09569,4561188454536.51,4253018.04267898,6234955.54616977,1217131.03594937,8953428.47089184,307832590066.272,1225591338574.71,169170083744.243,2858594442151.29,11460361629563.1,0.163870085654301,20658.53309569,14971.2029080467,26345.8632833333
"19",2013,14676440.5705513,2250373580786.86,3982840.41243816,5795873.00738739,1217131.03594937,3680596.11477639,302067397245.328,1119835201578.27,169546078057.831,658924903905.436,9149546755813.41,0.206100502232086,14676.4405705513,9594.73999263373,19758.1411484689
"20",2014,14368887.2366554,2075133539621.27,4251339.47260437,5260699.01372549,1176252.63554913,3680596.11477639,361887872112.496,858089500328.067,157151653457.944,698004513722.76,8974306714647.81,0.208486201877608,14368.8872366554,9336.08649835648,19401.6879749543
"21",2015,14491589.8974647,2931566287536.77,4337711.35648352,5137777.30120482,1335505.125,3680596.11477639,374049545505.536,1655516067042.06,205220643574.453,696780031414.722,9830739462563.31,0.216360042428032,14491.5898974647,9224.11620895533,19759.0635859741
"22",2016,16335824.7462148,3259962321469.32,6445482.86618962,5093096.40916808,1166245.288,3631000.18285714,822844981171.674,1716374148700.11,54729128438.7757,666014063158.76,10159135496495.9,0.195113496092077,16335.8247462148,10981.093751542,21690.5557408877
"23",2017,14433005.7516806,2097819431662.15,6536514.31714286,3069157.82981818,1148682.53658537,3678651.06813423,934312093205.935,417497734130.974,58382224808.0416,687627379517.199,8996992606688.7,0.207822180459735,14433.0057516806,9393.847892165,19472.1636111963
"24",2018,15552659.405522,2833647431909.31,5492126.88414634,3126816.68285714,996462.807407407,5937253.03111111,595376127307.633,475441094918.201,346114026495.923,1416716183187.56,9732820606935.86,0.200592503219228,15552.659405522,10311.4846439809,20793.8341670631
"25",2019,16210328.2831006,3676220917586.06,5274771.32738337,4108717.37778976,991851.426028708,5834988.15189873,630784271534.305,1234578636700.01,346425997394.721,1464432011957.03,10575394092612.6,0.200611797906433,16210.3282831006,10746.9966725364,21673.6598936647
"26",2020,17579145.7222436,3435349096039.29,5260264.36811092,4122200.39676286,1008064.07491054,7188616.88245931,609633853930.245,1293829124409.84,357221654444.46,1174664463254.74,10334522271065.8,0.182872093433239,17579.1457222436,12178.3906215326,22979.9008229547
"27",2021,17970835.0966127,3838095316815.77,5267190.25279255,4401175.83921922,1003342.05381625,7299126.95078464,597996943690.264,1541280023501.14,353451656160.718,1345366693463.65,10737268491842.3,0.182338613233531,17970.8350966127,12465.8494843358,23475.8207088896
"28",2022,18955637.3341325,4422578334672.72,5874942.97426862,4527729.67712195,1101517.70467742,7451446.97806452,1240737460772.62,1605062492385.42,186986283117.09,1389792098397.59,11321751509699.3,0.177508199275203,18955.6373341325,13302.8051713158,24608.4694969492
"29",2023,20290940.181548,4489087042612.13,5941623.28496835,5761372.43209125,1136497.48642384,7451446.97806452,1416618472906.85,1471747049706.49,206496344091.069,1394225175907.73,11388260217638.7,0.166313123664723,20290.940181548,14621.5287801533,25960.3515829426
"30",2024,20495143.8111025,4818330434963.6,6122414.67944039,5795990.67968454,1125291.47391304,7451446.97806452,1479636449816.46,1748026597721.6,202562528251.901,1388104859173.63,11717503609990.1,0.167019268769371,20495.1438111025,14744.3628042447,26245.9248179603
