"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90"
"21",2015,14491589.8974647,2929574888860.52,4337711.35648352,5137777.30120482,1335505.125,3680596.11477639,374378839883.221,1655645471138.52,205793136252.04,693757441586.747,9828748063887.07,0.216338127447701,14491.5898974647,9224.64974824004,19758.5300466894
"22",2016,16335824.7462148,3268218085897.33,6445482.86618962,5093096.40916808,1166245.288,3631000.18285714,823719813957.28,1722227376963.9,54732510605.1685,667538384370.984,10167391260923.9,0.195192758935839,16335.8247462148,10978.9184473487,21692.731045081
"23",2017,14433005.7516806,2083960729756.55,6536514.31714286,3069157.82981818,1148682.53658537,3678651.06813423,922799478625.063,417447003195.618,58600731265.436,685113516670.433,8983133904783.1,0.207662057196762,14433.0057516806,9397.73047292379,19468.2810304375
"24",2018,15552659.405522,2828541753033.85,5492126.88414634,3126816.68285714,996462.807407407,5937253.03111111,595914734963.29,470002381854.313,346099937303.768,1416524698912.48,9727714928060.4,0.200539882540321,15552.659405522,10312.8595416954,20792.4592693486
"25",2019,16210328.2831006,3666699816260.18,5274771.32738337,4108717.37778976,991851.426028708,5834988.15189873,630483395991.936,1234504518493.75,346178305903.623,1455533595870.87,10565872991286.7,0.200521471468537,16210.3282831006,10749.4565641707,21671.2000020304
"26",2020,17579145.7222436,3436571747899.65,5260264.36811092,4122200.39676286,1008064.07491054,7188616.88245931,611714325699.389,1293464582613.32,357309365380.301,1174083474206.65,10335744922926.2,0.18288291068665,17579.1457222436,12178.0711559682,22980.220288519
"27",2021,17970835.0966127,3835573614709.52,5267190.25279255,4401175.83921922,1003342.05381625,7299126.95078464,591054389530.045,1548832668886.67,353366808280.555,1342319748012.24,10734746789736.1,0.182317200400958,17970.8350966127,12466.4959592274,23475.1742339979
"28",2022,18955637.3341325,4424616076239.25,5874942.97426862,4527729.67712195,1101517.70467742,7451446.97806452,1240620152388.83,1611256182243.81,187013448374.199,1385726293232.41,11323789251265.8,0.177524172932697,18955.6373341325,13302.2964826737,24608.9781855913
"29",2023,20290940.181548,4472266774109.31,5941623.28496835,5761372.43209125,1136497.48642384,7451446.97806452,1402209638750.34,1472059372409.74,206121061647.508,1391876701301.72,11371439949135.9,0.166190257439093,20290.940181548,14625.7171398275,25956.1632232685
"30",2024,20495143.8111025,4825567415044.34,6122414.67944039,5795990.67968454,1125291.47391304,7451446.97806452,1487688305685.44,1746854713060.89,202388380076.239,1388636016221.77,11724740590070.9,0.167070838138879,20495.1438111025,14742.5871758823,26247.7004463227
