"","Year","Mgt.Area","HA.lbs","HA.mt"
"138",1997,"SSEO",826236,374.77238724
"139",1998,"CSEO",3436282,1558.66315238
"140",1998,"EYKT",4574224,2074.82226416
"141",1998,"NSEI",9844736,4465.47380224
"142",1998,"NSEO",2131812,966.96860508
"143",1998,"SSEI",2592502,1175.93298218
"144",1998,"SSEO",1940832,880.34198688
"145",1999,"CSEO",1433830,650.3709497
"146",1999,"EYKT",2171716,985.06866044
"147",1999,"NSEI",4810851,2182.15390509
"148",1999,"NSEO",1118780,507.4674202
"149",1999,"SSEI",1544468,700.55524012
"150",1999,"SSEO",1107441,502.32416319
"151",2000,"CSEO",1430813,649.00246867
"152",2000,"EYKT",1777745,806.36735455
"153",2000,"NSEI",3535569,1603.69874271
"154",2000,"NSEO",851421,386.19605139
"155",2000,"SSEI",1283931,582.37826229
"156",2000,"SSEO",1099006,498.49813154
"157",2001,"CSEO",1822804,826.80566636
"158",2001,"EYKT",1878118,851.89554362
"159",2001,"NSEI",3200374,1451.65764266
"160",2001,"NSEO",989188,448.68578492
"161",2001,"SSEI",1067443,484.18147037
"162",2001,"SSEO",1129302,512.24009418
"163",2002,"CSEO",1871689,848.97941351
"164",2002,"EYKT",2111626,957.81243734
"165",2002,"NSEI",3309071,1500.96151489
"166",2002,"NSEO",1167883,529.74004997
"167",2002,"SSEI",1049311,475.95697649
"168",2002,"SSEO",1240565,562.70787835
"169",2003,"CSEO",1679487,761.79850833
"170",2003,"EYKT",2308515,1047.11931885
"171",2003,"NSEI",3886832,1763.02812688
"172",2003,"NSEO",927953,420.91020127
"173",2003,"SSEI",888118,402.84144362
"174",2003,"SSEO",1052520,477.4125468
"175",2004,"CSEO",1947705,883.45951095
"176",2004,"EYKT",2590013,1174.80399667
"177",2004,"NSEI",4940236,2240.84164724
"178",2004,"NSEO",960755,435.78886045
"179",2004,"SSEI",965318,437.85859162
"180",2004,"SSEO",1484837,673.50721483
"181",2005,"CSEO",1914202,868.26288518
"182",2005,"EYKT",2599797,1179.24192123
"183",2005,"NSEI",5301743,2404.81760737
"184",2005,"NSEO",1174883,532.91517997
"185",2005,"SSEI",952458,432.02542422
"186",2005,"SSEO",1456813,660.79580867
"187",2006,"CSEO",2020718,916.57747762
"188",2006,"EYKT",2154874,977.42929766
"189",2006,"NSEI",4706959,2135.02953281
"190",2006,"NSEO",1046203,474.54721877
"191",2006,"SSEI",1415524,642.06753116
"192",2006,"SSEO",1451830,658.5355697
"193",2007,"CSEO",2005930,909.8697887
"194",2007,"EYKT",2989312,1355.92203008
"195",2007,"NSEO",1021371,463.28367189
"196",2007,"SSEO",1780234,807.49634006
"197",2008,"CSEO",1498913,679.89194767
"198",2008,"EYKT",2888453,1310.17339627
"199",2008,"NSEO",799354,362.57898086
"200",2008,"SSEO",1012905,459.44357895
"201",2009,"CSEO",1111328,504.08726752
"202",2009,"EYKT",2504744,1136.12683096
"203",2009,"NSEO",647082,293.50992438
"204",2009,"SSEO",816536,370.37256424
"205",2010,"CSEO",1002256,454.61329904
"206",2010,"EYKT",2544797,1154.29447123
"207",2010,"NSEO",583854,264.83033586
"208",2010,"SSEO",671322,304.50494598
"209",2011,"CSEO",520605,236.14122195
"210",2011,"EYKT",1988836,902.11612124
"211",2011,"NSEO",321802,145.96616918
"212",2011,"SSEO",284676,129.12618684
"213",2012,"CSEO",575177,260.89453543
"214",2012,"EYKT",1748698,793.19192582
"215",2012,"NSEO",396518,179.85659962
"216",2012,"SSEO",311308,141.20619572
"217",2013,"CSEO",619311,280.91327649
"218",2013,"EYKT",1655300,750.827527
"219",2013,"NSEO",388516,176.22697244
"220",2013,"SSEO",378936,171.88158024
"221",2014,"CSEO",743729,337.34803711
"222",2014,"EYKT",1186008,537.96136872
"223",2014,"NSEO",455057,206.40930463
"224",2014,"SSEO",360921,163.71015639
"225",2015,"CSEO",843240,382.4852316
"226",2015,"EYKT",1225517,555.88225603
"227",2015,"NSEO",464011,210.47074949
"228",2015,"SSEO",382658,173.56984222
"229",2016,"CSEO",779374,353.51625266
"230",2016,"EYKT",1258694,570.93101146
"231",2016,"NSEO",449482,203.88054038
"232",2016,"SSEO",373739,169.52427301
"233",2017,"CSEO",962404,436.53683036
"234",2017,"EYKT",1473007,668.14124513
"235",2017,"NSEO",471843,214.02326637
"236",2017,"SSEO",452325,205.17009675
"237",2018,"CSEO",762590,345.9031981
"238",2018,"EYKT",1321662,599.49266658
"239",2018,"NSEO",360260,163.4103334
"240",2018,"SSEO",423346,192.02551214
"241",2019,"CSEO",681309,309.03494931
"242",2019,"EYKT",1435585,651.16700015
"243",2019,"NSEO",463488,210.23352192
"244",2019,"SSEO",398149,180.59640491
"245",2020,"CSEO",649387,294.55544933
"246",2020,"EYKT",1226255,556.21700545
"247",2020,"NSEO",490933,222.68229947
"248",2020,"SSEO",376915,170.96487485
"249",2021,"CSEO",625173,283.57222107
"250",2021,"EYKT",1801216,817.01356544
"251",2021,"NSEO",494715,224.39777685
"252",2021,"SSEO",299018,135.63157462
"253",2022,"CSEO",418828,189.97619252
"254",2022,"EYKT",1110072,503.51755848
"255",2022,"NSEO",226981,102.95631179
"256",2022,"SSEO",318970,144.6816023
