"","Year","mngmt.divisions","mngmt.area","deep.bound","shallow.bound","no.stations","CPUE.mean","CPUE.bootmean","CPUE.lo95ci","CPUE.hi95ci","CPUE.var","CPUE.cv"
"97",2014,"SEdist","EYKT",250,0,9,0.0317728159990594,0.030955671505856,0.0143364185254284,0.0553954381845911,0.000117957563279423,0.340054646543534
"98",2014,"SEdist","NSEO",250,0,4,0.0245840944749486,0.0245840944749486,0.00665759891428571,0.0425105900356115,9.22183776241736e-05,0.39111491655492
"99",2014,"SEdist","CSEO",250,0,13,0.0452384304958593,0.0444731061344019,0.0220197302926359,0.0727286187234534,0.00017580251723271,0.29231241488646
"100",2014,"SEdist","SSEO",250,0,19,0.0520945517916229,0.0517971544678469,0.0364180110798751,0.0675580258431178,6.81337507904266e-05,0.159033618680365
"103",2015,"SEdist","EYKT",250,0,10,0.0317613950818079,0.0315785765898392,0.0220580432862253,0.0427578808179084,2.81154387115689e-05,0.167550972327283
"104",2015,"SEdist","NSEO",250,0,3,0.0249441743826394,0.0249441743826394,0.0104644899195402,0.0440440835641026,6.80301856546251e-05,0.330112260106909
"105",2015,"SEdist","CSEO",250,0,14,0.0375841499743352,0.0372085627359861,0.0196780244004914,0.0582241500163115,9.88844226138298e-05,0.26439973802212
"106",2015,"SEdist","SSEO",250,0,18,0.0345191800649134,0.0340741911242595,0.0222290936452674,0.0476506958688915,4.19960902341436e-05,0.188562496470728
"109",2016,"SEdist","EYKT",250,0,10,0.023652286504972,0.0235304384083193,0.0127563872308326,0.0347317451189296,3.2029650604015e-05,0.239115519014983
"110",2016,"SEdist","NSEO",250,0,4,0.0244092266707458,0.0244092266707458,0.00589885033125,0.0446308213184874,9.10570316116359e-05,0.392831249155471
"111",2016,"SEdist","CSEO",250,0,15,0.0500287332772222,0.0492263111661111,0.0271611821953889,0.0746439369963611,0.000150541883501479,0.247963984306014
"112",2016,"SEdist","SSEO",250,0,18,0.0278838960980743,0.0278888519452829,0.0178476599422519,0.0387775472925023,2.99651584932104e-05,0.195284712899669
"115",2017,"SEdist","EYKT",250,0,10,0.084817421139,0.083564405106,0.043315897043175,0.129520123253325,0.000526690295061464,0.271200537479074
"116",2017,"SEdist","NSEO",250,0,3,0.02471017016,0.02471017016,0,0.03706525524,9.38044898602265e-05,0.393924503375156
"117",2017,"SEdist","CSEO",250,0,15,0.0354008783972508,0.0349272089762096,0.0151066634748396,0.0595220415758362,0.000129146623643708,0.320221192400805
"118",2017,"SEdist","SSEO",250,0,18,0.044486452955,0.0441157739216667,0.0297167046596944,0.0614987662889306,7.17899121115286e-05,0.189069092406312
"121",2018,"SEdist","EYKT",250,0,9,0.0379644819809524,0.0374269218365079,0.025439537685873,0.051005651305873,4.5165134544156e-05,0.178050945337141
"122",2018,"SEdist","NSEO",250,0,3,0.0345817218130952,0.0345817218130952,0,0.076127752125,0.000323268981998782,0.513622029499463
"123",2018,"SEdist","CSEO",250,0,18,0.0379139472486316,0.0372009145887112,0.0198878195774529,0.0566892949837281,9.05563022434299e-05,0.253326966076612
"124",2018,"SEdist","SSEO",250,0,21,0.0395831324909384,0.0399737487916141,0.0242456638272362,0.057195079633765,7.21483768447151e-05,0.21243288882772
"127",2019,"SEdist","EYKT",250,0,9,0.0239455228992063,0.0239455228992063,0.0117126312498611,0.0380038386394643,4.43197513181254e-05,0.278053967155154
"128",2019,"SEdist","NSEO",250,0,5,0.0440294263157143,0.0440294263157143,0.0189552043385714,0.0662051627942857,0.000151329761498241,0.281475170489532
"129",2019,"SEdist","CSEO",250,0,15,0.0444195883723809,0.0438220056338095,0.0253322341321905,0.0638843866659524,9.7826126707877e-05,0.22437021144993
"130",2019,"SEdist","SSEO",250,0,19,0.0446463247538378,0.043375105087978,0.024556138034718,0.071433779405923,0.000162044199861228,0.28370607613539
"133",2020,"SEdist","EYKT",250,0,10,0.05169837443625,0.050869941005,0.0263916368352812,0.07850002712375,0.00018843507064321,0.267138394178515
"134",2020,"SEdist","NSEO",250,0,4,0.0246366219671875,0.0246366219671875,0.0069588535734375,0.051167856759375,0.000130093843959338,0.462157348486571
"135",2020,"SEdist","CSEO",250,0,19,0.053507684250329,0.0522748616805921,0.0222233657258553,0.096589372005329,0.000367014291550115,0.355832350210167
"136",2020,"SEdist","SSEO",250,0,18,0.0571861658441468,0.0565357690036458,0.0314568507326922,0.0874111927267597,0.000206227142981585,0.252900084704017
"139",2021,"SEdist","EYKT",250,0,9,0.0509913803083333,0.0501925331375,0.0205873726030208,0.0896209923626042,0.000324098783251851,0.348337095617694
"140",2021,"SEdist","NSEO",250,0,5,0.10634023958625,0.10634023958625,0.00423481895625,0.22680231911625,0.00315933756859158,0.526954567956005
"141",2021,"SEdist","CSEO",250,0,18,0.0609153895680556,0.0592765392222222,0.031194909415191,0.101625310925417,0.000321444284029631,0.294556016225825
"142",2021,"SEdist","SSEO",250,0,20,0.0487690351892027,0.0488501330307429,0.03314123701453,0.065160532682457,6.74454781120017e-05,0.168901304494306
"145",2022,"SEdist","EYKT",250,0,7,0.0459562500415816,0.0444705950219388,0.0122049564017411,0.0895564998022385,0.000428189049494057,0.445348973738811
"146",2022,"SEdist","NSEO",250,0,2,0.0430221712607143,0.0430221712607143,0.0397127734714286,0.04633156905,5.47056436238552e-06,0.0543613627497449
"147",2022,"SEdist","CSEO",250,0,17,0.0757390501272059,0.0752857128613971,0.0372414485138419,0.121412713428382,0.000475392532681637,0.287518669256731
"148",2022,"SEdist","SSEO",250,0,12,0.08345441549856,0.0814197691052696,0.042035910711685,0.132630721395627,0.000567405817739455,0.285811507762434
