Stat.Area,State.MU,IFQ.area
18930,EYKT,3A
305431,SSEI,2C
305501,SSEI,2C
305531,SSEI,2C
305701,SSEI,2C
315401,SSEI,2C
315431,SSEI,2C
315432,SSEI,2C
315500,SSEI,2C
315502,SSEI,2C
315503,SSEI,2C
315504,SSEI,2C
315531,SSEI,2C
315532,SSEI,2C
315600,SSEI,2C
315630,SSEI,2C
315904,SSEI,2C
325401,SSEI,2C
325402,SSEO,2C
325431,SSEI,2C
325432,SSEO,2C
325433,SSEI,2C
325434,SSEO,2C
325501,SSEI,2C
325502,SSEI,2C
325503,SSEI,2C
325531,SSEI,2C
325532,SSEI,2C
325533,SSEI,2C
325600,SSEI,2C
325601,SSEI,2C
325602,SSEI,2C
325603,SSEI,2C
325604,SSEI,2C
325621,SSEI,2C
325623,SSEI,2C
325631,SSEI,2C
325632,SSEI,2C
325700,NSEI,2C
325701,NSEI,2C
325720,NSEI,2C
325733,NSEI,2C
333506,SSEI,2C
333602,SSEI,2C
335031,SSEO,2C
335101,SSEO,2C
335201,SSEO,2C
335401,SSEO,2C
335431,SSEO,2C
335432,SSEO,2C
335433,SSEO,2C
335434,SSEO,2C
335452,SSEO,2C
335500,SSEO,2C
335501,SSEO,2C
335502,SSEO,2C
335503,SSEO,2C
335504,SSEO,2C
335505,SSEO,2C
335506,SSEI,2C
335531,SSEO,2C
335532,SSEO,2C
335533,SSEI,2C
335534,SSEI,2C
335535,SSEI,2C
335537,SSEI,2C
335560,SSEI,2C
335571,SSEI,2C
335601,SSEI,2C
335602,SSEI,2C
335603,SSEI,2C
335631,NSEI,2C
335632,SSEI,2C
335633,SSEI,2C
335634,NSEI,2C
335700,NSEI,2C
335701,NSEI,2C
335702,NSEI,2C
335703,NSEI,2C
335704,NSEI,2C
335705,NSEI,2C
335707,NSEI,2C
335721,NSEI,2C
335730,NSEI,2C
335731,NSEI,2C
335732,NSEI,2C
335733,NSEI,2C
335734,NSEI,2C
335735,NSEI,2C
335752,NSEI,2C
335781,NSEI,2C
335801,NSEI,2C
335830,NSEI,2C
338504,NSEI,2C
345132,NSEI,2C
345302,NSEI,2C
345361,NSEI,2C
345401,SSEO,2C
345430,SSEO,2C
345500,SSEO,2C
345530,SSEO,2C
345532,SSEO,2C
345533,SSEO,2C
345534,NSEI,2C
345535,SSEI,2C
345536,SSEO,2C
345537,SSEO,2C
345602,CSEO,2C
345603,NSEI,2C
345604,SSEI,2C
345605,NSEI,2C
345606,NSEI,2C
345607,CSEO,2C
345608,CSEO,2C
345630,NSEI,2C
345631,NSEI,2C
345632,NSEI,2C
345637,NSEI,2C
345651,NSEI,2C
345701,NSEI,2C
345702,NSEI,2C
345703,NSEI,2C
345704,NSEI,2C
345705,NSEI,2C
345706,NSEI,2C
345707,NSEI,2C
345730,NSEI,2C
345731,NSEI,2C
345732,NSEI,2C
345801,NSEI,2C
345802,NSEI,2C
345803,NSEI,2C
345810,NSEI,2C
345830,NSEI,2C
348730,NSEI,2C
353732,NSEI,2C
354603,NSEI,2C
354801,NSEI,2C
355081,NSEI,2C
355230,NSEI,2C
355365,CSEO,2C
355401,SSEO,2C
355430,SSEO,2C
355500,SSEO,2C
355501,SSEO,2C
355530,SSEO,2C
355534,NSEI,2C
355570,CSEO,2C
355601,CSEO,2C
355602,CSEO,2C
355607,CSEO,2C
355630,CSEO,2C
355631,CSEO,2C
355632,CSEO,2C
355633,CSEO,2C
355634,CSEO,2C
355635,CSEO,2C
355637,CSEO,2C
355684,CSEO,2C
355702,CSEO,2C
355703,CSEO,2C
355704,CSEO,2C
355705,CSEO,2C
355706,CSEO,2C
355707,NSEI,2C
355723,NSEI,2C
355730,NSEI,2C
355731,NSEI,2C
355732,NSEI,2C
355733,NSEI,2C
355800,NSEI,2C
355801,NSEI,2C
355802,NSEI,2C
355803,NSEI,2C
355804,NSEI,2C
355807,NSEI,2C
355830,NSEI,2C
355831,NSEI,2C
355833,NSEI,2C
355835,NSEI,2C
355900,NSEI,2C
357801,NSEI,2C
364802,NSEO,2C
364804,NSEO,2C
365131,CSEO,2C
365301,CSEO,2C
365400,SSEO,2C
365430,SSEO,2C
365434,NSEO,2C
365500,SSEO,2C
365503,NSEO,3A
365504,NSEI,2C
365530,SSEO,2C
365600,CSEO,2C
365601,CSEO,2C
365603,CSEO,2C
365630,CSEO,2C
365631,CSEO,2C
365635,CSEO,2C
365636,CSEO,2C
365701,CSEO,2C
365702,CSEO,2C
365730,NSEO,2C
365731,NSEO,2C
365732,NSEO,2C
365733,NSEO,2C
365734,NSEO,2C
365735,NSEO,2C
365761,CSEO,2C
365800,NSEO,3A
365801,NSEO,3A
365802,NSEO,2C
365803,NSEO,3A
365804,NSEI,2C
365805,NSEO,2C
365809,NSEI,2C
365830,NSEI,2C
365831,NSEO,3A
365838,NSEO,3A
366501,CSEO,2C
367732,NSEO,2C
368380,NSEO,3A
375001,EYKT,3A
375230,EYKT,3A
375400,EYKT,2C
375430,EYKT,2C
375500,EYKT,2C
375530,EYKT,2C
375532,EYKT,2C
375600,EYKT,2C
375630,EYKT,2C
375700,EYKT,3A
375730,EYKT,3A
375731,EYKT,3A
375801,EYKT,3A
375802,EYKT,3A
375831,EYKT,3A
375832,EYKT,3A
375901,EYKT,3A
376801,EYKT,3A
377800,EYKT,3A
378801,EYKT,3A
385580,EYKT,3A
385701,EYKT,3A
385800,EYKT,3A
385830,EYKT,3A
385831,EYKT,3A
392931,EYKT,3A
395391,EYKT,3A
395431,EYKT,3A
395531,EYKT,3A
395800,EYKT,3A
395831,EYKT,3A
395900,EYKT,3A
395931,EYKT,3A
396931,EYKT,3A
