G_STAT_AREA,G_MANAGEMENT_AREA_CODE,LINGCOD_MANAGEMENT_AREA_CODE
345604,SSEI,SSEIW
345605,NSEI,NSEI
345631,NSEI,NSEI
345731,NSEI,NSEI
355530,SSEO,SSEOC
355701,CSEO,
355705,CSEO,CSEO
355801,NSEI,NSEI
355802,NSEI,NSEI
355900,NSEI,NSEI
365804,NSEI,NSEI
385800,EYKT,EYKT
385901,EYKT,EYKT
405934,IBS,IBS
010860,SSEI,SSEI
010380,SSEI,SSEI
010270,SSEI,SSEI
010943,NSEI,NSEI
010830,SSEI,SSEI
010120,SSEI,SSEI
011115,NSEI,NSEI
010810,SSEI,SSEI
000659,SEI,SEI
010450,SSEO,SSEO
011021,NSEI,NSEI
011022,NSEI,NSEI
010340,SSEI,SSEI
2065  ,NSEI,NSEI
3065  ,SSEO,SSEOC
375400,EYKT,EYKT
395530,EYKT,EYKT
395630,EYKT,EYKT
425700,IBS,IBS
445931,WYAK,
315531,SSEI,SSEIW
325434,SSEO,SSEOC
325501,SSEI,SSEOC
325504,SSEI,SSEIW
325532,SSEI,SSEIW
335433,SSEO,SSEOC
335532,SSEO,SSEOC
335534,SSEI,SSEOC
335535,SSEI,SSEOC
335602,SSEI,SSEIW
335631,NSEI,NSEI
345430,SSEO,SSEOC
345534,NSEI,NSEI
345732,NSEI,NSEI
355635,CSEO,CSEO
355706,CSEO,CSEO
355731,NSEI,NSEI
365530,SSEO,SSEOC
365630,CSEO,CSEO
395901,EYKT,EYKT
426002,IBS ,IBS
010144,SSEI,SSEI
010129,SSEI,SSEI
010111,SSEI,SSEI
010951,NSEI,NSEI
010420,SSEO,SSEO
010125,SSEI,SSEI
010541,SSEI,SSEI
010128,SSEI,SSEI
010147,SSEI,SSEI
010630,SSEI,SSEI
010610,SSEI,SSEI
010710,SSEI,SSEI
010000,OSSE,OSSE
335634,NSEI,NSEI
365430,SSEO,SSEOC
375530,EYKT,EYKT
375600,EYKT,EYKT
385500,EYKT,EYKT
385600,EYKT,EYKT
325533,SSEI,SSEIW
325631,SSEI,SSEIW
325700,NSEI,NSEI
335503,SSEO,SSEOC
335703,NSEI,NSEI
345532,SSEO,SSEOC
345535,SSEI,SSEOC
345705,NSEI,NSEI
355703,CSEO,CSEO
355704,CSEO,CSEO
365701,CSEO,CSEO
365731,NSEO,NSEO
365733,NSEO,NSEO
375730,EYKT,EYKT
385832,EYKT,EYKT
405931,WYAK,IBS
415932,WYAK,IBS
345537,SSEO,SSEOC
010180,SSEI,SSEI
010360,SSEI,SSEI
010520,SSEI,SSEI
010124,SSEI,SSEI
010250,SSEI,SSEI
010115,SSEI,SSEI
65    ,SE,XXXXX
325632,SSEI,SSEIW
375430,EYKT,EYKT
375700,EYKT,EYKT
385330,EYKT,EYKT
395932,IBS,IBS
396001,IBS,IBS
305502,SSEI,SSEIW
315503,SSEI,SSEIW
325402,SSEO,SSEOC
325433,SSEI,SSEOC
325531,SSEI,SSEIW
325602,SSEI,SSEIW
335432,SSEO,SSEOC
335505,SSEO,SSEOC
335601,SSEI,SSEIW
335701,NSEI,NSEI
335705,NSEI,NSEI
335733,NSEI,NSEI
335734,NSEI,NSEI
345702,NSEI,NSEI
355500,SSEO,SSEOC
355602,CSEO,CSEO
355830,NSEI,NSEI
365600,CSEO,CSEO
365732,NSEO,NSEO
365734,NSEO,NSEO
365802,NSEO,NSEO
365830,NSEI,NSEI
385902,EYKT,EYKT
435630,IBS,IBS
435830,IBS,IBS
010950,NSEI,NSEI
011131,NSEI,NSEI
010370,SSEI,SSEI
011014,NSEI,NSEI
010961,NSEI,NSEI
010620,SSEI,SSEI
010820,SSEI,SSEI
010740,SSEI,SSEI
010300,SSEI,SSEI
010100,SSEI,SSEI
010260,SSEI,SSEI
010190,SSEI,SSEI
325604,SSEI,SSEIW
335603,SSEI,SSEIW
365400,SSEO,SSEOC
375630,EYKT,EYKT
385430,EYKT,EYKT
395400,EYKT,EYKT
415700,IBS,IBS
425730,IBS,IBS
435931,WYAK,IBS
002065,NSEI,NSEI
315431,SSEI,SSEIW
335401,SSEO,SSEOC
335531,SSEO,SSEOC
335533,SSEI,SSEOC
335735,NSEI,NSEI
345632,NSEI,NSEI
345706,NSEI,NSEI
345830,NSEI,NSEI
355732,NSEI,NSEI
365735,NSEO,NSEO
365801,NSEO,NSEO
395730,EYKT,EYKT
395800,EYKT,EYKT
405932,WYAK,IBS
010280,SSEI,SSEI
011111,NSEI,NSEI
010550,SSEI,SSEI
010440,SSEO,SSEO
010325,SSEI,SSEI
011033,NSEI,NSEI
011134,NSEI,NSEI
010141,SSEI,SSEI
011132,NSEI,NSEI
010800,SSEI,SSEI
010410,SSEO,SSEO
010942,NSEI,NSEI
011012,NSEI,NSEI
010121,SSEI,SSEI
011016,NSEI,NSEI
010220,SSEI,SSEI
010321,SSEI,SSEI
010123,SSEI,SSEI
010143,SSEI,SSEI
010240,SSEI,SSEI
010230,SSEI,SSEI
010200,SSEI,SSEI
355401,SSEO,SSEOC
395700,EYKT,EYKT
405530,IBS,IBS
405630,IBS,IBS
405730,IBS,IBS
405800,IBS,IBS
415630,IBS,IBS
416000,IBS,IBS
425931,WYAK,IBS
435900,WYAK,IBS
004065,CSEO,CSEO
305503,SSEI,SSEIW
315432,SSEI,SSEIW
315504,SSEI,SSEIW
315532,SSEI,SSEIW
315600,SSEI,SSEIW
325603,SSEI,SSEIW
335501,SSEO,SSEOC
335704,NSEI,NSEI
345500,SSEO,SSEOC
345533,SSEO,SSEOC
345703,NSEI,NSEI
355601,CSEO,CSEO
355631,CSEO,CSEO
355702,CSEO,CSEO
365803,NSEO,NSEO
375832,EYKT,EYKT
345608,CSEO,CSEO
435700,IBS,IBS
435730,IBS,IBS
435932,IBS,IBS
436000,IBS,IBS
010145,SSEI,SSEI
005065,NSEO,NSEO
011031,NSEI,NSEI
010153,SSEI,SSEI
010720,SSEI,SSEI
010175,SSEI,SSEI
010641,SSEI,SSEI
003065,SSEO,SSEO
010390,SSEI,SSEI
010640,SSEI,SSEI
010311,SSEI,SSEI
010330,SSEI,SSEI
011015,NSEI,NSEI
011114,NSEI,NSEI
68    ,EYKT,XXXXX
305532,SSEI,SSEIW
335632,SSEI,SSEIW
355430,SSEO,SSEOC
375330,EYKT,EYKT
375500,EYKT,EYKT
385400,EYKT,EYKT
385530,EYKT,EYKT
395500,EYKT,EYKT
425830,IBS,IBS
