Filename,DIVE_NO,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Year,Transect_No,Dive Type,Family,Genus,Species,Code,Number,Stage,Activity,Start.End,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,64047,15:34:46,56086,NA,NA,634,895,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,68644,15:37:19,56239,NA,NA,634,876,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,74206,15:40:25,56425,NA,NA,616,872,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,76201,15:41:31,56491,NA,NA,614,871,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,77072,15:42:00,56520,NA,NA,641,885,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,77602,15:42:18,56538,NA,NA,608,860,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,79807,15:43:31,56611,NA,NA,620,868,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,82160,15:44:50,56690,NA,NA,633,875,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_11_16-18-54.000.avi,11,385,16:29:45,59385,NA,NA,638,884,0,0,QC,EricaEbert,95,N/A,2022,8,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_11_16-18-54.000.avi,11,1734,16:30:30,59430,NA,NA,593,846,0,0,QC,EricaEbert,95,N/A,2022,8,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_11_16-18-54.000.avi,11,2232,16:30:46,59446,NA,NA,622,877,0,0,QC,EricaEbert,95,N/A,2022,8,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_11_16-18-54.000.avi,11,5640,16:32:40,59560,NA,NA,616,865,0,0,QC,EricaEbert,95,N/A,2022,8,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_11_16-18-54.000.avi,11,13518,16:37:03,59823,NA,NA,600,859,0,0,QC,EricaEbert,95,N/A,2022,8,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
