"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1522","Bseo[52]",18065.396,3268.254,12517.183,17756.683,25376.089,FALSE,1,1.001,1838,0.180912391845714
"1523","Bseo[53]",18087.903,3407.336,12345.6,17729.01,25441.614,FALSE,1,1.001,2066,0.188376507768756
"1524","Bseo[54]",18091.358,3553.498,12153.308,17678.955,25843.722,FALSE,1,1.001,2322,0.196419638592084
"1525","Bseo[55]",18075.256,3652.564,11877.922,17708.142,26178.562,FALSE,1,1.001,2176,0.202075367563259
"1526","Bseo[56]",18112.522,3778.105,11687.235,17670.992,26495.358,FALSE,1,1.001,1953,0.2085907749346
"1527","Bseo[57]",18095.174,3911.717,11492.164,17662.278,26924.913,FALSE,1,1.001,1503,0.216174599923714
"1528","Bseo[58]",18074.083,4047.049,11331.239,17634.57,27035.491,FALSE,1,1.001,2114,0.223914485730756
"1529","Bseo[59]",18074.185,4210.923,11066.403,17631.307,27138.191,FALSE,1,1.001,1822,0.232979965625006
"1530","Bseo[60]",18055.071,4338.8,10858.995,17616.948,27993.483,FALSE,1,1.001,1940,0.240309218390778
"1531","Bseo[61]",18063.872,4487.68,10621.314,17523.378,28361.486,FALSE,1,1,3000,0.248434001303818
"1532","Bseo[62]",18073.588,4609.093,10545.226,17499.304,28659.557,FALSE,1,1,3000,0.255018151348808
"1533","Bseo[63]",18079.681,4747.143,10326.109,17535.356,28771.366,FALSE,1,1,3000,0.262567851722605
"1534","Bseo[64]",18092.972,4908.683,10244.161,17371.735,29251.464,FALSE,1,1,3000,0.271303299424771
"1535","Bseo[65]",18112.121,5054.709,10009.156,17368.576,29645.346,FALSE,1,1,3000,0.279078800323827
"1536","Bseo[66]",18114.374,5164.289,9893.913,17365.4,29619.38,FALSE,1,1,3000,0.285093429118776
"1537","Bseo[67]",18104.239,5278.909,9712.101,17399.797,29842.76,FALSE,1,1,3000,0.291584142255303
"1538","Bseo[68]",18109.219,5380.589,9503.354,17379.148,30063.697,FALSE,1,1,3000,0.29711877690584
"1539","Bseo[69]",18088.421,5480.365,9418.718,17265.966,30213.494,FALSE,1,1.001,3000,0.302976417897394
"1540","Bseo[70]",18060.261,5553.907,9194.59,17350.351,30252.699,FALSE,1,1.001,3000,0.307520860302074
"1541","Bseo[71]",18068.112,5679.954,9042.693,17346.546,30583.775,FALSE,1,1.001,3000,0.314363448710081
"1542","Bseo[72]",18045.97,5762.956,8932.173,17319.753,31298.31,FALSE,1,1.001,3000,0.319348641275587
"1543","Bseo[73]",18066.177,5877.887,8778.061,17355.487,31195.184,FALSE,1,1.001,3000,0.325353117042969
"1544","Bseo[74]",18066.138,6003.192,8665.371,17364.435,31496.703,FALSE,1,1.001,3000,0.332289723459436
"1545","Bseo[75]",18056.518,6095.556,8427.432,17288.774,31587.388,FALSE,1,1.001,3000,0.337582029935118
"1546","Bseo[76]",18023.364,6203.811,8226.984,17258.876,31844.303,FALSE,1,1.001,3000,0.344209382887678
"1547","Bseo[77]",17988.829,6285.716,7964.895,17268.772,31702.849,FALSE,1,1.001,3000,0.349423300427171
"1548","Bseo[78]",17974.836,6405.162,7895.033,17094.97,32236.07,FALSE,1,1.001,3000,0.356340497348627
"1549","Bseo[79]",17973.057,6495.343,7790.119,17120.154,32361.183,FALSE,1,1.001,3000,0.361393334478381
"1550","Bseo[80]",17938.827,6611.561,7549.551,17107.129,32056.462,FALSE,1,1.001,3000,0.368561500704589
"1551","Bseo[81]",17938.544,6737.009,7394.548,17088.188,32805.537,FALSE,1,1.001,3000,0.37556052486757
"1552","Bseo[82]",17918.719,6841.427,7211.896,17044.939,33036.278,FALSE,1,1.001,3000,0.381803353241936
"1553","Bseo[83]",17877.215,6949.834,7035.444,17061.934,33027.559,FALSE,1,1.001,3000,0.388753729258165
"1554","Bseo[84]",17876.714,7051.049,6897.986,16982.893,33479.563,FALSE,1,1.001,3000,0.394426458911856
"1555","Bseo[85]",17877.259,7155.563,6722.285,16940.3,33328.902,FALSE,1,1,3000,0.400260632796113
"1556","Bseo[86]",17871.4,7239.822,6633.027,16919.295,33970.637,FALSE,1,1,3000,0.405106594894636
"1557","Bseo[87]",17846.555,7309.432,6470.48,17035.735,34091.237,FALSE,1,1,3000,0.409571034857988
"1558","Bseo[88]",17823.629,7398.015,6338.019,16857.633,34121.664,FALSE,1,1,3000,0.415067829340478
"1559","Bseo[89]",17774.133,7462.961,6248.425,16875.918,34211.121,FALSE,1,1,3000,0.419877639038709
"1560","Bseo[90]",17783.885,7554.6,6111.062,16858.79,34466.19,FALSE,1,1,3000,0.42480031781582
"1561","Bseo[91]",17764.248,7651.419,5949.35,16830.779,34893.355,FALSE,1,1,3000,0.430720118296029
"1562","Bseo[92]",17782.73,7777.246,5685.413,16740.664,35099.482,FALSE,1,1,3000,0.437348258675693
"1563","Bseo[93]",17750.642,7842.113,5606.922,16704.47,34919.608,FALSE,1,1,3000,0.441793203873978
