DOL Year,CFEC Fishery Code,Gear Code and Name,Mgt Area,Whole Weight (sum)
2021,B06B,61 - Longline,NSEO,493936.0661
2021,B06B,61 - Longline,SSEO,294823.8817
2021,B61B,61 - Longline,CSEO,25899.048
2021,B61B,61 - Longline,EYKT,209043.3864
2021,B61B,61 - Longline,NSEO,778.512
2021,B61B,61 - Longline,SSEO,4193.616
2022,B06B,61 - Longline,CSEO,551698.6288
2022,B06B,61 - Longline,EYKT,1796859.358
2022,B06B,61 - Longline,NSEO,333826.1276
2022,B06B,61 - Longline,SSEO,450962.3745
2022,B61B,61 - Longline,CSEO,36318.1023
2022,B61B,61 - Longline,EYKT,350793.678
2022,B61B,61 - Longline,NSEO,44331.0372
2022,B61B,61 - Longline,SSEO,4534.4208
2023,B06B,61 - Longline,CSEO,553865.6544
2023,B06B,61 - Longline,EYKT,1428179.114
2023,B06B,61 - Longline,NSEO,260706.7358
2023,B06B,61 - Longline,SSEO,290521.238
2023,B61B,61 - Longline,CSEO,36424.3656
2023,B61B,61 - Longline,EYKT,206342.9916
2023,B61B,61 - Longline,NSEO,17514.168
2023,B61B,61 - Longline,SSEO,5069.6184
2024,B06B,61 - Longline,CSEO,182012.6952
2024,B06B,61 - Longline,EYKT,330008.34
2024,B06B,61 - Longline,NSEO,43151.2738
2024,B06B,61 - Longline,SSEO,223484.4274
2024,B61B,61 - Longline,CSEO,19127.64
2024,B61B,61 - Longline,EYKT,81202.776
2024,B61B,61 - Longline,NSEO,5194.392
2024,B61B,61 - Longline,SSEO,19127.64
