Year,2A,2B,2C,3A,3B,4,4A,4B,4CDE,Total
1986,263,"5,094","4,813","14,878","4,001",NA,"1,533",118,866,"31,565"
1985,222,"4,713","4,178","9,453","4,940",NA,780,562,585,"25,433"
1984,195,"4,105","2,663","8,968","3,035",NA,476,499,440,"20,380"
1983,122,"2,468","2,894","6,409","3,520",NA,"1,134",608,254,"17,409"
1982,95,"2,513","1,588","6,133","2,177",NA,531,5,113,"13,154"
1981,91,"2,567","1,819","6,455",204,NA,NA,NA,NA,"11,675"
1980,9,"2,563","1,470","5,429",127,322,NA,NA,NA,"9,920"
1979,23,"2,204","2,055","5,144",177,621,NA,NA,NA,"10,224"
1978,45,"2,091","1,960","4,672",599,612,NA,NA,NA,"9,979"
1977,95,"2,463","1,447","3,919","1,447",553,NA,NA,NA,"9,925"
1976,109,"3,302","2,508","5,008","1,238",327,NA,NA,NA,"12,492"
1975,209,"3,234","2,830","4,808","1,161",286,NA,NA,NA,"12,528"
1974,236,"2,096","2,540","3,715",757,322,NA,NA,NA,"9,666"
1973,104,"3,053","2,712","6,123","2,173",236,NA,NA,NA,"14,402"
1972,168,"4,595","2,622","7,394","4,209",463,NA,NA,NA,"19,450"
1971,145,"4,468","2,998","8,056","5,008",490,NA,NA,NA,"21,165"
1970,73,"4,654","4,250","9,031","6,065",807,NA,NA,NA,"24,880"
1969,104,"5,815","4,232","9,108","6,314",862,NA,NA,NA,"26,435"
1968,64,"4,604","2,771","6,700","7,180",726,NA,NA,NA,"22,045"
1967,91,"4,586","4,268","8,918","6,015","1,170",NA,NA,NA,"25,047"
1966,82,"5,008","5,461","11,689","5,012",880,NA,NA,NA,"28,132"
1965,95,"5,429","5,475","10,424","6,382",853,NA,NA,NA,"28,658"
1964,127,"5,380","3,370","10,233","6,822","1,188",NA,NA,NA,"27,120"
1963,186,"7,040","4,645","10,120","6,341","3,978",NA,NA,NA,"32,309"
1962,204,"6,817","6,006","10,904","6,114","3,910",NA,NA,NA,"33,956"
1961,227,"7,294","5,575","10,464","6,024","1,846",NA,NA,NA,"31,429"
1960,404,"8,237","5,770","9,548","5,851","2,676",NA,NA,NA,"32,486"
1959,304,"7,634","5,910","11,503","4,990","1,955",NA,NA,NA,"32,296"
1958,236,"8,387","5,080","11,122","3,447",989,NA,NA,NA,"29,261"
1957,272,"8,024","5,557","10,365","3,370",18,NA,NA,NA,"27,606"
1956,240,"9,099","6,582","10,029","4,137",118,NA,NA,NA,"30,205"
1955,277,"8,459","3,874","10,460","2,980",41,NA,NA,NA,"26,091"
1954,386,"11,294","5,008","13,363","1,910",59,NA,NA,NA,"32,019"
1953,227,"10,795","3,815","10,360","1,728",218,NA,NA,NA,"27,143"
1952,281,"9,358","4,336","12,369","1,642",254,NA,NA,NA,"28,241"
1951,268,"9,090","4,522","9,462","2,059",23,NA,NA,NA,"25,424"
1950,318,"7,920","4,010","10,823","2,858",36,NA,NA,NA,"25,964"
1949,281,"7,412","4,286","9,580","3,348",54,NA,NA,NA,"24,961"
1948,186,"8,015","4,423","9,040","3,402",136,NA,NA,NA,"25,202"
1947,259,"8,015","4,309","9,271","3,325",86,NA,NA,NA,"25,265"
1946,408,"8,332","4,491","10,160","3,856",91,NA,NA,NA,"27,338"
1945,331,"6,613","3,851","9,104","4,318",5,NA,NA,NA,"24,222"
1944,408,"6,836","4,708","9,235","3,053",0,NA,NA,NA,"24,240"
1943,562,"7,244","3,697","9,303","3,552",0,NA,NA,NA,"24,358"
1942,327,"6,518","3,787","9,752","2,477",0,NA,NA,NA,"22,861"
1941,231,"7,498","3,289","9,906","2,767",0,NA,NA,NA,"23,691"
1940,445,"8,078","3,456","10,206","2,032",0,NA,NA,NA,"24,217"
1939,617,"8,015","2,976","9,598","1,882",0,NA,NA,NA,"23,088"
1938,431,"7,257","3,243","9,371","2,173",0,NA,NA,NA,"22,475"
1937,417,"6,935","3,570","9,285","2,268",0,NA,NA,NA,"22,475"
1936,408,"6,201","3,969","9,113","2,504",0,NA,NA,NA,"22,194"
1935,803,"6,446","3,438","9,054","1,733",0,NA,NA,NA,"21,473"
1934,"1,111","6,405","3,484","7,203","2,077",0,NA,NA,NA,"20,285"
1933,794,"6,065","3,697","8,922","1,801",0,NA,NA,NA,"21,278"
1932,862,"6,010","3,511","7,580","2,218",0,NA,NA,NA,"20,180"
1931,739,"6,137","3,352","6,627","3,202",0,NA,NA,NA,"20,058"
1930,717,"5,498","3,869","8,251","4,123",0,NA,NA,NA,"22,457"
1929,989,"6,246","4,468","10,101","4,019",0,NA,NA,NA,"25,823"
1928,"1,030","7,543","3,438","10,224","2,381",0,NA,NA,NA,"24,612"
1927,"1,188","6,391","3,366","10,260","3,719",0,NA,NA,NA,"24,925"
1926,"1,052","7,312","3,252","9,530","2,654",0,NA,NA,NA,"23,800"
1925,998,"6,192","3,624","10,052","2,114",0,NA,NA,NA,"22,979"
1924,826,"6,867","4,472","11,258",680,0,NA,NA,NA,"24,104"
1923,"1,188","7,580","4,409","9,798",304,0,NA,NA,NA,"23,278"
1922,"1,184","8,627","4,182","5,275",9,0,NA,NA,NA,"19,278"
1921,"1,538","10,600","4,636","6,690",331,0,NA,NA,NA,"23,795"
1920,735,"8,949","4,994","6,164",304,0,NA,NA,NA,"21,146"
1919,608,"7,357","4,105","5,851",290,0,NA,NA,NA,"18,207"
1918,599,"7,267","4,051","4,935",245,0,NA,NA,NA,"17,096"
1917,703,"8,518","4,749","7,693",381,0,NA,NA,NA,"22,045"
1916,694,"8,373","4,672","8,419",417,0,NA,NA,NA,"22,571"
1915,"1,007","12,174","6,790","10,573",522,0,NA,NA,NA,"31,062"
1914,"1,016","12,297","6,858","9,920",490,0,NA,NA,NA,"30,586"
1913,"1,266","15,331","8,550","4,799",236,0,NA,NA,NA,"30,182"
1912,"1,361","16,461","9,181",390,18,0,NA,NA,NA,"27,411"
1911,"1,302","15,744","8,782",0,0,0,NA,NA,NA,"25,823"
1910,"1,184","14,338","7,997",0,0,0,NA,NA,NA,"23,519"
1909,"1,170","14,166","7,902",0,0,0,NA,NA,NA,"23,238"
1908,"1,157","13,998","7,806",0,0,0,NA,NA,NA,"22,961"
1907,"1,143","13,825","7,711",0,0,0,NA,NA,NA,"22,680"
1906,821,"9,956","5,552",0,0,0,NA,NA,NA,"16,329"
1905,503,"6,083","3,393",0,0,0,NA,NA,NA,"9,979"
1904,640,"7,765","4,332",0,0,0,NA,NA,NA,"12,737"
1903,576,"6,972","3,887",0,0,0,NA,NA,NA,"11,435"
1902,513,"6,178","3,447",0,0,0,NA,NA,NA,"10,133"
1901,408,"4,944","2,758",0,0,0,NA,NA,NA,"8,106"
1900,308,"3,706","2,068",0,0,0,NA,NA,NA,"6,083"
1899,204,"2,472","1,379",0,0,0,NA,NA,NA,"4,055"
1898,177,"2,145","1,197",0,0,0,NA,NA,NA,"3,524"
1897,150,"1,823","1,016",0,0,0,NA,NA,NA,"2,989"
1896,122,"1,501",835,0,0,0,NA,NA,NA,"2,458"
1895,95,"1,175",658,0,0,0,NA,NA,NA,"1,928"
1894,86,"1,039",581,0,0,0,NA,NA,NA,"1,706"
1893,73,889,494,0,0,0,NA,NA,NA,"1,461"
1892,64,767,426,0,0,0,NA,NA,NA,"1,256"
1891,50,590,331,0,0,0,NA,NA,NA,966
1890,32,381,213,0,0,0,NA,NA,NA,621
1889,32,358,200,0,0,0,NA,NA,NA,585
1888,32,404,227,0,0,0,NA,NA,NA,667
