Year,Trip Target Name,Species Common Name,FMP Area,FMP Gear,Retained/Discarded,Weight Posted (Tons),Confidential Flag - Fed,AKFIN Load Date
2016,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.079860028,C,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,0.571931748,N,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,15.13504643,N,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.162922974,C,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.068629304,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.644946329,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,41.27001034,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,99.72030676,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.203320466,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,1.028162932,N,6/26/2023 10:40
2017,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,15.33419381,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,1.099637518,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.349599839,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,60.63273818,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,85.03372778,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.027308112,C,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,0.110676538,C,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,0.968274339,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,16.996177,N,6/26/2023 10:40
2018,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.009173674,C,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,1.065721595,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.49209218,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,36.99504032,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,95.11651861,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.279940548,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,0.012700586,C,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,3.391739144,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,17.6454737,N,6/26/2023 10:40
2019,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.018745399,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.024573377,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.970350995,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,15.96652325,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,116.7630102,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.520779583,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,1.016648613,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,2.447541371,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,17.93360759,N,6/26/2023 10:40
2020,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.054699537,C,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,1.180265861,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",BSAI,POT,Retained,0.06894604,C,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,32.81150165,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,130.2578791,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.228045878,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Discarded,0.068684473,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,0.557520565,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,2.559322882,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,26.73053896,N,6/26/2023 10:40
2021,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.019439673,C,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.610847363,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,1.554331455,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,61.3329169,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,215.5473471,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.248550105,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Discarded,0.019986634,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,0.832267943,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,2.599969764,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,29.55395144,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.130495748,N,6/26/2023 10:40
2022,Halibut,"rockfish, yelloweye (red snapper)",INSD,POT,Discarded,0.000372855,C,6/26/2023 10:40
2023,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.470983101,C,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,5.720772771,N,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,118.1999078,N,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.068298051,N,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",GOA,POT,Retained,0.478993543,C,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,0.730829259,N,7/17/2023 13:56
2023,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,17.08229052,N,7/17/2023 13:56
