,Area,,,,,,,,,,,,Area,,,,,,,,,
1912,1360.78,16460.85,9180.7,390.09,18.14,0,NA,NA,NA,27410.56,,1912,1995.001864,24132.79622,13459.56996,571.9001435,26.59455152,0,NA,NA,NA,40185.86274
1913,1265.52,15331.41,8550.21,4799,235.87,0,NA,NA,NA,30182.01,,1913,1855.343817,22476.95552,12535.22604,7035.680968,345.8024734,0,NA,NA,NA,44249.00882
1914,1016.05,12296.88,6858.31,9920.06,489.88,0,NA,NA,NA,30585.71,,1914,1489.60276,18028.11514,10054.77832,14543.52518,718.1994983,0,NA,NA,NA,44840.86221
1915,1006.97,12174.41,6790.27,10573.23,521.63,0,NA,NA,NA,31061.98,,1915,1476.290824,17848.56527,9955.026757,15501.11962,764.7472938,0,NA,NA,NA,45539.10846
1916,694,8373.31,4672,8418.67,417.3,0,NA,NA,NA,22570.74,,1916,1017.454176,12275.87785,6849.489786,12342.37889,611.7919708,0,NA,NA,NA,33090.3367
1917,703.07,8518.46,4749.11,7692.92,381.02,0,NA,NA,NA,22044.57,,1917,1030.751452,12488.67824,6962.538621,11278.37692,558.6028677,0,NA,NA,NA,32318.93344
1918,598.74,7266.54,4050.58,4935.08,244.94,0,NA,NA,NA,17095.88,,1918,877.7961289,10653.27301,5938.443137,7235.184086,359.0997492,0,NA,NA,NA,25063.79611
1919,607.81,7357.26,4105.01,5851.34,290.3,0,NA,NA,NA,18207.18,,1919,891.0934047,10786.27509,6018.241452,8578.487492,425.6007887,0,NA,NA,NA,26693.04226
1920,734.82,8949.37,4994.05,6164.32,303.91,0,NA,NA,NA,21146.46,,1920,1077.299247,13120.42346,7321.63837,9037.3388,445.5540327,0,NA,NA,NA,31002.23925
1921,1537.68,10600.45,4635.71,6690.48,331.12,0,NA,NA,NA,23795.44,,1921,2254.350054,15541.02611,6796.286022,9808.727402,485.44586,0,NA,NA,NA,34885.83545
1922,1183.88,8627.32,4182.12,5275.27,9.07,0,NA,NA,NA,19277.66,,1922,1735.653675,12648.27488,6131.290287,7733.927222,13.29727576,0,NA,NA,NA,28262.44333
1923,1188.41,7579.52,4408.91,9797.59,303.91,0,NA,NA,NA,23278.34,,1923,1742.294982,11112.12432,6463.780824,14363.97531,445.5540327,0,NA,NA,NA,34127.72946
1924,825.54,6867.38,4472.42,11258.15,680.39,0,NA,NA,NA,24103.88,,1924,1210.301327,10068.07559,6556.891076,16505.26186,997.5009322,0,NA,NA,NA,35338.03079
1925,997.9,6191.53,3624.2,10051.6,2113.74,0,NA,NA,NA,22978.97,,1925,1462.993548,9077.230628,5313.33923,14736.37233,3098.895663,0,NA,NA,NA,33688.8314
1926,1052.33,7311.9,3252.25,9529.97,2653.51,0,NA,NA,NA,23799.97,,1926,1542.791863,10719.77405,4768.033638,13971.62504,3890.237509,0,NA,NA,NA,34892.47676
1927,1188.41,6391.11,3365.65,10260.25,3719.45,0,NA,NA,NA,24924.88,,1927,1742.294982,9369.829337,4934.286236,15042.26832,5452.982616,0,NA,NA,NA,36541.67615
1928,1029.65,7543.23,3438.23,10223.96,2381.36,0,NA,NA,NA,24611.9,,1928,1509.541344,11058.92056,5040.693764,14989.06455,3491.245932,0,NA,NA,NA,36082.82484
1929,988.83,6245.96,4467.88,10101.49,4018.83,0,NA,NA,NA,25822.99,,1929,1449.696272,9157.028943,6550.235108,14809.51468,5891.895341,0,NA,NA,NA,37858.37034
1930,716.68,5497.54,3869.14,8250.84,4123.15,0,NA,NA,NA,22457.34,,1930,1050.704696,8059.791112,5672.438979,12096.32798,6044.836004,0,NA,NA,NA,32924.08411
1931,739.35,6137.1,3352.04,6626.98,3202.36,0,NA,NA,NA,20057.84,,1931,1083.940555,8997.432312,4914.332992,9715.631811,4694.891291,0,NA,NA,NA,29406.24362
1932,861.82,6010.09,3510.8,7579.52,2218.06,0,NA,NA,NA,20180.31,,1932,1263.49043,8811.22647,5147.086631,11112.12432,3251.836326,0,NA,NA,NA,29585.7935
1933,793.79,6064.53,3696.77,8922.15,1800.76,0,NA,NA,NA,21278,,1933,1163.753531,8891.039446,5419.732096,13080.51697,2640.044355,0,NA,NA,NA,31195.0864
1934,1111.3,6404.72,3483.59,7203.04,2077.45,0,NA,NA,NA,20284.63,,1934,1629.246147,9389.782581,5107.194804,10560.17742,3045.6919,0,NA,NA,NA,29738.73416
1935,802.86,6445.54,3438.23,9053.7,1732.72,0,NA,NA,NA,21473.05,,1935,1177.050807,9449.627653,5040.693764,13273.37878,2540.292796,0,NA,NA,NA,31481.0438
1936,408.23,6200.6,3968.93,9112.66,2503.83,0,NA,NA,NA,22194.26,,1936,598.494695,9090.527903,5818.738334,13359.81841,3670.795807,0,NA,NA,NA,32538.3898
1937,417.3,6935.42,3569.77,9285.03,2267.96,0,NA,NA,NA,22475.48,,1937,611.7919708,10167.82715,5233.540914,13612.52529,3324.993334,0,NA,NA,NA,32950.67866
1938,430.91,7257.47,3243.18,9371.21,2172.71,0,NA,NA,NA,22475.48,,1938,631.7452148,10639.97574,4754.736362,13738.8714,3185.349947,0,NA,NA,NA,32950.67866
1939,616.89,8014.97,2975.56,9598.01,1882.41,0,NA,NA,NA,23087.83,,1939,904.4053411,11750.5255,4362.386093,14071.3766,2759.749158,0,NA,NA,NA,33848.42803
1940,444.52,8078.47,3456.37,10205.82,2032.09,0,NA,NA,NA,24217.28,,1940,651.6984588,11843.62109,5067.288316,14962.47,2979.19086,0,NA,NA,NA,35504.28339
1941,231.33,7497.88,3288.54,9906.45,2766.91,0,NA,NA,NA,23691.11,,1941,339.1465052,10992.43418,4821.237401,14523.57194,4056.490108,0,NA,NA,NA,34732.88013
1942,326.59,6518.12,3787.49,9752.23,2476.61,0,NA,NA,NA,22861.04,,1942,478.8045525,9556.03518,5552.734176,14297.47427,3630.889319,0,NA,NA,NA,33515.93749
1943,562.45,7243.86,3696.77,9303.17,3551.63,0,NA,NA,NA,24357.89,,1943,824.5923651,10620.02249,5419.732096,13639.11984,5206.946363,0,NA,NA,NA,35710.42782
1944,408.23,6835.63,4708.28,9235.13,3052.67,0,NA,NA,NA,24239.96,,1944,598.494695,10021.5278,6902.678889,13539.36828,4475.434928,0,NA,NA,NA,35537.53391
1945,331.12,6613.37,3851,9103.59,4318.2,4.54,NA,NA,NA,24221.81,,1945,485.44586,9695.678567,5645.844427,13346.52113,6330.793406,6.655968242,NA,NA,NA,35510.9247
1946,408.23,8332.49,4490.56,10160.46,3855.53,90.72,NA,NA,NA,27337.99,,1946,598.494695,12216.03278,6583.485627,14895.96896,5652.485735,133.0020791,NA,NA,NA,40079.46988
1947,258.55,8014.97,4309.12,9271.42,3324.83,86.18,NA,NA,NA,25265.07,,1947,379.0529932,11750.5255,6317.481469,13592.57204,4874.441165,126.3461108,NA,NA,NA,37040.41928
1948,185.97,8014.97,4422.52,9040.09,3401.94,136.08,NA,NA,NA,25201.57,,1948,272.6454656,11750.5255,6483.734068,13253.42554,4987.49,199.5031186,NA,NA,NA,36947.32369
1949,281.23,7411.69,4286.44,9579.86,3347.51,54.43,NA,NA,NA,24961.17,,1949,412.3035129,10866.07341,6284.23095,14044.76738,4907.691685,79.79831529,NA,NA,NA,36594.87991
1950,317.51,7919.72,4009.75,10822.71,2857.63,36.29,NA,NA,NA,25963.61,,1950,465.492616,11610.88212,5878.583405,15866.87534,4189.492187,53.20376377,NA,NA,NA,38064.52943
1951,267.62,9089.98,4522.31,9461.93,2059.31,22.68,NA,NA,NA,25423.83,,1951,392.3502689,13326.56789,6630.033423,13871.87348,3019.097348,33.25051976,NA,NA,NA,37273.17292
1952,281.23,9357.6,4336.34,12369.45,1642,254.01,NA,NA,NA,28240.64,,1952,412.3035129,13718.91815,6357.387957,18134.50801,2407.290717,372.3970249,NA,NA,NA,41402.82004
1953,226.8,10795.49,3814.71,10360.04,1728.19,217.72,NA,NA,NA,27142.95,,1953,332.5051976,15826.96885,5592.640664,15188.56767,2533.651488,319.1932612,NA,NA,NA,39793.52714
1954,385.55,11294.44,5007.66,13362.82,1909.62,58.97,NA,NA,NA,32019.06,,1954,565.2441753,16558.46563,7341.591614,19590.86025,2799.640986,86.45428353,NA,NA,NA,46942.25694
1955,276.69,8459.49,3873.68,10459.83,2980.1,40.82,NA,NA,NA,26090.61,,1955,405.6475447,12402.22396,5679.094947,15334.86703,4369.042061,59.84507129,NA,NA,NA,38250.72061
1956,240.4,9099.06,6581.62,10028.92,4136.76,117.93,NA,NA,NA,30204.69,,1956,352.4437809,13339.87982,9649.130771,14703.12181,6064.789248,172.8939063,NA,NA,NA,44282.25934
1957,272.16,8024.04,5556.5,10364.58,3370.19,18.14,NA,NA,NA,27605.61,,1957,399.0062372,11763.82278,8146.230735,15195.22364,4940.942205,26.59455152,NA,NA,NA,40471.82015
1958,235.87,8386.92,5080.23,11122.08,3447.3,988.83,NA,NA,NA,29261.22,,1958,345.8024734,12295.83109,7447.984481,16305.77341,5053.99104,1449.696272,NA,NA,NA,42899.06411
1959,303.91,7633.95,5910.3,11503.09,4989.51,1954.98,NA,NA,NA,32295.75,,1959,445.5540327,11191.92263,8664.927115,16864.36161,7314.982402,2866.142025,NA,NA,NA,47347.90448
1960,403.7,8237.23,5769.69,9548.11,5851.34,2676.19,NA,NA,NA,32486.26,,1960,591.8533875,12076.37473,8458.782689,13998.21959,8578.487492,3923.488029,NA,NA,NA,47627.20592
1961,226.8,7293.76,5574.65,10464.37,6023.7,1846.12,NA,NA,NA,31429.39,,1961,332.5051976,10693.1795,8172.839947,15341.52299,8831.179714,2706.545394,NA,NA,NA,46077.75808
1962,204.12,6817.49,6005.56,10904.35,6114.42,3909.96,NA,NA,NA,33955.9,,1962,299.2546779,9994.933245,8804.585162,15986.56548,8964.181793,5732.28405,NA,NA,NA,49781.80441
1963,185.97,7039.75,4644.78,10119.64,6341.22,3978,NA,NA,NA,32309.36,,1963,272.6454656,10320.78247,6809.583298,14836.12389,9296.68699,5832.035609,NA,NA,NA,47367.85773
1964,127.01,5379.6,3370.19,10233.04,6822.02,1188.41,NA,NA,NA,27120.27,,1964,186.2058428,7886.882545,4940.942205,15002.37649,10001.57455,1742.294982,NA,NA,NA,39760.27662
1965,95.25,5429.5,5474.86,10423.54,6382.04,852.75,NA,NA,NA,28657.94,,1965,139.6433866,7960.039553,8026.540592,15281.66326,9356.532061,1250.193154,NA,NA,NA,42014.61201
1966,81.65,5007.66,5461.25,11689.07,5012.19,879.97,NA,NA,NA,28131.78,,1966,119.7048033,7341.591614,8006.587348,17137.02174,7348.232921,1290.099642,NA,NA,NA,41243.22341
1967,90.72,4585.82,4268.3,8917.62,6014.63,1170.27,NA,NA,NA,25047.35,,1967,133.0020791,6723.143675,6257.636398,13073.87566,8817.882438,1715.700431,NA,NA,NA,36721.22602
1968,63.5,4603.96,2771.45,6699.55,7180.36,725.75,NA,NA,NA,22044.57,,1968,93.09559105,6749.738226,4063.146076,9822.024677,10526.9269,1064.001972,NA,NA,NA,32318.93344
1969,104.33,5815.05,4232.01,9108.13,6314,861.82,NA,NA,NA,26435.34,,1969,152.9553231,8525.283728,6204.432634,13353.1771,9256.780502,1263.49043,NA,NA,NA,38756.11972
1970,72.57,4653.85,4250.16,9031.02,6064.53,807.39,NA,NA,NA,24879.52,,1970,106.3928668,6822.880573,6231.041847,13240.12826,8891.039446,1183.692114,NA,NA,NA,36475.17511
1971,145.15,4467.88,2998.24,8055.79,5007.66,489.88,NA,NA,NA,21164.6,,1971,212.8003943,6550.235108,4395.636613,11810.37057,7341.591614,718.1994983,NA,NA,NA,31028.8338
1972,167.83,4594.89,2621.76,7393.55,4209.33,462.66,NA,NA,NA,19450.02,,1972,246.0509141,6736.440951,3843.689713,10839.47885,6171.182115,678.2930103,NA,NA,NA,28515.13556
1973,104.33,3052.67,2712.48,6123.49,2172.71,235.87,NA,NA,NA,14401.55,,1973,152.9553231,4475.434928,3976.691792,8977.479068,3185.349947,345.8024734,NA,NA,NA,21113.71353
1974,235.87,2095.6,2540.12,3714.92,757.5,322.05,NA,NA,NA,9666.05,,1974,345.8024734,3072.301112,3723.999571,5446.341309,1110.549767,472.1485842,NA,NA,NA,14171.12816
1975,208.65,3234.11,2830.41,4808.08,1161.2,285.76,NA,NA,NA,12528.21,,1975,305.8959854,4741.439086,4149.585699,7048.992904,1702.403155,418.9448204,NA,NA,NA,18367.26165
1976,108.86,3302.15,2508.36,5007.66,1238.31,326.59,NA,NA,NA,12491.92,,1976,159.5966306,4841.190645,3677.437114,7341.591614,1815.45199,478.8045525,NA,NA,NA,18314.05789
1977,95.25,2463,1446.96,3919.03,1446.96,553.38,NA,NA,NA,9924.59,,1977,139.6433866,3610.936075,2121.347975,5745.581326,2121.347975,811.2950894,NA,NA,NA,14550.16649
1978,45.36,2091.06,1959.52,4672,598.74,612.35,NA,NA,NA,9979.02,,1978,66.50103953,3065.645144,2872.797993,6849.489786,877.7961289,897.7493729,NA,NA,NA,14629.9648
1979,22.68,2204.46,2054.77,5143.73,176.9,621.42,NA,NA,NA,10223.96,,1979,33.25051976,3231.897742,3012.44138,7541.080072,259.3481899,911.0466487,NA,NA,NA,14989.06455
1980,9.07,2562.79,1469.64,5429.5,127.01,322.05,NA,NA,NA,9920.06,,1980,13.29727576,3757.23543,2154.598495,7960.039553,186.2058428,472.1485842,NA,NA,NA,14543.52518
1981,90.72,2567.33,1818.9,6454.61,204.12,NA,222.26,176.9,140.61,11675.46,,1981,133.0020791,3763.891398,2666.638906,9462.924928,299.2546779,NA,325.8492294,259.3481899,206.1444261,17117.0685
1982,95.25,2512.9,1587.57,6132.56,2177.24,NA,530.7,4.54,113.4,13154.17,,1982,139.6433866,3684.093083,2327.492401,8990.776344,3191.991254,NA,778.0445696,6.655968242,166.2525988,19284.96427
1983,122.47,2467.54,2893.92,6409.25,3519.87,NA,1133.98,607.81,263.08,17417.93,,1983,179.5498746,3617.592043,4242.69595,9396.423889,5160.383907,NA,1662.496667,891.0934047,385.6943007,25535.9447
1984,195.04,4105.01,2662.59,8967.51,3034.53,NA,476.27,498.95,458.13,20398.03,,1984,285.9427414,6018.241452,3903.549445,13147.01801,4448.840377,NA,698.2462543,731.4967741,671.6517028,29904.98676
1985,222.26,4712.82,4177.58,9452.86,4939.62,NA,780.18,562.45,603.28,25451.05,,1985,325.8492294,6909.334857,6124.634319,13858.5762,7241.840055,NA,1143.800287,824.5923651,884.4520971,37313.07941
1986,263.08,5093.84,4812.61,14877.82,4000.68,NA,1533.14,117.93,884.5,31583.61,,1986,385.6943007,7467.937725,7055.634212,21811.95979,5865.286129,NA,2247.694086,172.8939063,1296.740949,46303.85576
1987,267.62,5556.5,4848.9,14201.97,3519.87,NA,1673.75,680.39,766.57,31515.57,,1987,392.3502689,8146.230735,7108.837975,20821.11482,5160.383907,NA,2453.838512,997.5009322,1123.847043,46204.1042
1988,222.26,5833.19,5152.81,17195.67,3211.43,NA,875.43,721.21,530.7,33742.71,,1988,325.8492294,8551.87828,7554.392008,25210.09547,4708.188566,NA,1283.443674,1057.346003,778.0445696,49469.25246
1989,213.19,4730.96,4322.73,15304.19,3556.16,NA,467.2,1202.02,571.53,30367.98,,1989,312.5519536,6935.929408,6337.434713,22437.04903,5213.58767,NA,684.9489786,1762.248226,837.9043016,44521.65428
1990,149.69,3887.28,4413.45,13086.13,3941.71,NA,1133.98,603.28,721.21,27936.73,,1990,219.4563626,5699.03353,6470.436792,19185.21271,5778.831846,NA,1662.496667,884.4520971,1057.346003,40957.26601
1991,163.29,3261.33,3941.71,10400.86,5411.35,NA,1025.12,684.92,1006.97,25895.57,,1991,239.3949459,4781.345574,5778.831846,15248.41274,7933.430341,NA,1502.900036,1004.14224,1476.290824,37964.77787
1992,199.58,3460.91,4454.27,12147.19,3909.96,NA,1224.7,1052.33,721.21,27170.16,,1992,292.5987096,5073.944284,6530.281864,17808.65878,5732.28405,NA,1795.498746,1542.791863,1057.346003,39833.41896
1993,226.8,4821.68,5121.05,10314.68,3565.23,NA,1161.2,889.04,784.71,26884.4,,1993,332.5051976,7068.931487,7507.829552,15122.06663,5226.884946,NA,1702.403155,1303.396918,1150.441595,39414.47414
1994,167.83,4495.1,4708.28,11267.23,1750.87,NA,816.47,916.26,703.07,24825.09,,1994,246.0509141,6590.141596,6902.678889,16518.5738,2566.902008,NA,1197.004051,1343.303406,1030.751452,36395.37679
1995,136.08,4363.56,3524.41,8318.88,1419.74,NA,734.82,762.03,653.17,19912.69,,1995,199.5031186,6397.294445,5167.039875,12196.07954,2081.441487,NA,1077.299247,1117.191075,957.5944442,29193.44323
1996,136.08,4331.8,4023.36,8931.23,1660.15,NA,771.11,938.94,684.92,21477.58,,1996,199.5031186,6350.731989,5898.536649,13093.82891,2433.899929,NA,1130.503011,1376.553925,1004.14224,31487.68511
1997,185.97,5633.61,4499.63,11176.51,4109.54,NA,1319.95,1505.93,1143.05,29574.2,,1997,272.6454656,8259.27957,6596.782903,16385.57172,6024.88276,NA,1935.142132,2207.802259,1675.793943,43357.91541
1998,208.65,5973.81,4626.64,11657.31,5062.09,NA,1551.28,1315.42,1247.38,31642.58,,1998,305.8959854,8758.037366,6782.988746,17090.45928,7421.389929,NA,2274.288638,1928.500825,1828.749266,46390.31004
1999,204.12,5765.15,4599.42,11484.95,6277.71,NA,1982.2,1619.32,1778.08,33710.96,,1999,299.2546779,8452.12672,6743.082258,16837.76706,9203.576738,NA,2906.048513,2374.040197,2606.793835,49422.70466
2000,217.72,4903.33,3832.85,8740.72,6989.85,NA,2340.53,2127.35,1823.44,30975.8,,2000,319.1932612,7188.636291,5619.235215,12814.52747,10247.62547,NA,3431.3862,3118.848907,2673.294875,45412.76235
2001,308.44,4667.46,3810.17,9770.37,7411.69,NA,2277.03,2027.56,1800.76,32073.49,,2001,452.1953402,6842.833817,5585.984695,14324.06882,10866.07341,NA,3338.290609,2972.549553,2640.044355,47022.05525
2002,385.55,5474.86,3900.89,10491.58,7851.68,NA,2308.78,1850.66,1596.64,33860.64,,2002,565.2441753,8026.540592,5718.986774,15381.41482,11511.13056,NA,3384.838405,2713.201363,2340.789677,49642.14636
2003,371.95,5347.85,3814.71,10319.22,7810.85,NA,2277.03,1750.87,1478.71,33171.18,,2003,545.305592,7840.33475,5592.640664,15128.7226,11451.27082,NA,3338.290609,2566.902008,2167.895771,48631.34816
2004,399.16,5515.68,4640.25,11416.91,7012.53,NA,1614.79,1233.77,1324.49,33157.58,,2004,585.1974193,8086.385664,6802.94199,16738.0155,10280.87599,NA,2367.398889,1808.796022,1941.798101,48611.40957
2005,362.87,5592.79,4821.68,11807,5973.81,NA,1542.21,898.11,1578.5,32576.98,,2005,531.9936555,8199.434499,7068.931487,17309.91565,8758.037366,NA,2260.991362,1316.694193,2314.195126,47760.208
2006,376.48,5447.64,4758.18,11661.85,4894.26,NA,1510.46,721.21,1465.1,30835.18,,2006,551.9468995,7986.634104,6975.835896,17097.11525,7175.339015,NA,2214.443566,1057.346003,2147.942527,45206.60326
2007,358.34,4431.59,3841.92,12015.65,4195.73,NA,1283.67,644.1,1746.33,28517.33,,2007,525.352348,6497.031344,5632.532491,17615.81163,6151.243531,NA,1881.953029,944.2971684,2560.24604,41808.46758
2008,308.44,3519.87,2816.81,11122.08,4876.11,NA,1369.85,798.32,1759.94,26571.42,,2008,452.1953402,5160.383907,4129.647115,16305.77341,7148.729803,NA,2008.29914,1170.394839,2580.199284,38955.62283
2009,222.26,3011.85,2249.82,9870.16,4889.72,NA,1147.59,721.21,1501.39,23614,,2009,325.8492294,4415.589857,3298.398782,14470.36817,7168.683047,NA,1682.449911,1057.346003,2201.14629,34619.83129
2010,190.51,3052.67,2036.63,9298.64,4585.82,NA,1056.87,830.07,1505.93,22557.13,,2010,279.3014339,4475.434928,2985.846828,13632.47853,6723.143675,NA,1549.447832,1216.942634,2207.802259,33070.38346
2011,244.94,3034.53,1111.3,6654.19,3320.29,NA,1065.94,929.86,1555.82,17916.88,,2011,359.0997492,4448.840377,1629.246147,9755.523638,4867.785197,NA,1562.745107,1363.241989,2280.944606,26267.44147
2012,258.55,2712.48,1220.16,5456.71,2290.64,NA,716.68,789.25,1061.41,14505.87,,2012,379.0529932,3976.691792,1788.842778,7999.93138,3358.243853,NA,1050.704696,1157.097563,1556.1038,21266.65419
2013,244.94,2739.7,1374.38,5025.8,1855.19,NA,557.92,566.99,802.86,13167.78,,2013,359.0997492,4016.59828,2014.940448,7368.186165,2719.84267,NA,817.9510576,831.2483334,1177.050807,19304.91751
2014,240.4,2667.12,1551.28,3474.51,1324.49,NA,412.77,508.02,571.53,10750.13,,2014,352.4437809,3910.190753,2274.288638,5093.882867,1941.798101,NA,605.1506633,744.7940498,837.9043016,15760.46781
2015,258.55,2717.02,1710.04,3615.13,1224.7,NA,621.42,503.49,539.77,11190.11,,2015,379.0529932,3983.347761,2507.042276,5300.041954,1795.498746,NA,911.0466487,738.1527423,791.3418454,16405.5103
2016,294.83,2785.05,1814.37,3433.69,1233.77,NA,625.96,503.49,671.32,11362.48,,2016,432.2420962,4083.084659,2659.997599,5034.037796,1808.796022,NA,917.7026169,738.1527423,984.2036564,16658.21719
2017,335.66,2830.41,1914.16,3556.16,1406.14,NA,585.13,498.95,743.89,11870.5,,2017,492.1018282,4149.585699,2806.296954,5213.58767,2061.502904,NA,857.8428849,731.4967741,1090.596523,17403.01124
2018,308.44,2467.54,1646.54,3401.94,1133.98,NA,566.99,485.34,653.17,10663.95,,2018,452.1953402,3617.592043,2413.946685,4987.49,1662.496667,NA,831.2483334,711.5435301,957.5944442,15634.1217
2019,381.02,2331.46,1669.22,3723.99,1047.8,NA,635.03,462.66,752.96,11004.14,,2019,558.6028677,3418.088925,2447.197205,5459.638584,1536.150556,NA,930.9998927,678.2930103,1103.893799,16132.86484
2020,371.95,2408.57,1515,3252.25,1043.26,NA,535.24,417.3,739.35,10282.93,,2020,545.305592,3531.13776,2221.099535,4768.033638,1529.494588,NA,784.7005379,611.7919708,1083.940555,15075.51884
