year,mgmt_area,fishery,fishery_type,gear,whole_pounds
1987,SSEI,M61B,Misc Incidental,Longline,10740.21454
1987,SSEO,M61B,Misc Incidental,Longline,195.3975762
1987,SEO,0,Mixed,Non-pelagic/bottom trawl,56.55804516
1987,NSEI,C61A,Sablefish Incidental,Longline,4.685903699
1987,SSEI,C61A,Sablefish Incidental,Longline,0.879283633
1987,CSEO,C61B,Sablefish Incidental,Longline,1.145789111
1987,EYKT,C61B,Sablefish Incidental,Longline,161.6160223
1987,NSEO,C61B,Sablefish Incidental,Longline,46.220215
1987,SSEI,C61B,Sablefish Incidental,Longline,33.2548229
1987,SSEO,C61B,Sablefish Incidental,Longline,119.3035563
1987,SSEI,C61C,Sablefish Incidental,Longline,11.46754343
1987,SSEO,S15B,Salmon Incidental,Power gurdy troll,4.553412916
1987,NSEI,S15B,Salmon Incidental,troll/salmon,0.916210344
1987,SSEO,M07B,Trawl Incidental,Non-pelagic/bottom trawl,171.9
1988,SSEI,B06B,Halibut Incidental,Longline,5.885779729
1988,SSEI,B61B,Halibut Incidental,Longline,100.0544102
1988,SSEO,B61B,Halibut Incidental,Longline,2.096486103
1988,CSEO,M06B,Misc Incidental,Longline,21.06722029
1988,NSEI,M06B,Misc Incidental,Longline,117.9447598
1988,NSEO,M06B,Misc Incidental,Longline,109.4273666
1988,SSEI,M06B,Misc Incidental,Longline,4.612901043
1988,CSEO,M26B,Misc Incidental,Mechanical jigs,6.665360934
1988,NSEO,M26B,Misc Incidental,Mechanical jigs,13.40430283
1988,CSEO,M61B,Misc Incidental,Longline,101.289096
1988,EYKT,M61B,Misc Incidental,Longline,37.12009288
1988,NSEI,M61B,Misc Incidental,Longline,740.9157999
1988,NSEO,M61B,Misc Incidental,Longline,185.1982714
1988,SEO,M61B,Misc Incidental,Longline,181.8874064
1988,SSEI,M61B,Misc Incidental,Longline,195.8967009
1988,SSEO,M61B,Misc Incidental,Longline,0.677050407
1988,CSEO,0,Mixed,Non-pelagic/bottom trawl,6353.199302
1988,EYKT,0,Mixed,Non-pelagic/bottom trawl,1692.572023
1988,NSEO,0,Mixed,Non-pelagic/bottom trawl,2718.9528
1988,CSEO,C61B,Sablefish Incidental,Longline,6.079697476
1988,NSEO,C61B,Sablefish Incidental,Longline,0.223840092
1988,SSEI,C61C,Sablefish Incidental,Longline,20.85168484
1988,CSEO,S15B,Salmon Incidental,troll/salmon,4.335712215
1988,NSEI,S15B,Salmon Incidental,troll/salmon,0.203602299
1988,SSEI,S15B,Salmon Incidental,troll/salmon,2.169423616
1989,SSEI,S05B,Salmon Incidental,troll/salmon,3.904962509
1990,NSEI,Y61A,Directed,Longline,77.03912348
1992,NSEO,Y61A,Directed,Longline,27.20197673
1994,SSEI,Y61A,Directed,Longline,82.6026412
1994,NSEI,M61B,Misc Incidental,Longline,0.347779841
1996,CSEO,Y61A,Directed,Longline,1.723932727
1996,NSEO,C61B,Sablefish Incidental,Longline,7.984887642
1999,NSEI,B06B,Halibut Incidental,Longline,7.986673748
1980,CSEO,B05B,Halibut Incidental,Hand troll,1.659690578
1980,NSEI,B05B,Halibut Incidental,Hand troll,5.761639698
1980,CSEO,B06B,Halibut Incidental,Longline,4091.137276
1980,EYKT,B06B,Halibut Incidental,Longline,87.89988213
1980,NSEI,B06B,Halibut Incidental,Longline,479.4290717
1980,NSEO,B06B,Halibut Incidental,Longline,43.91846595
1980,SSEI,B06B,Halibut Incidental,Longline,577.9240102
1980,SSEO,B06B,Halibut Incidental,Longline,231.1267281
1980,CSEO,B61B,Halibut Incidental,Longline,12260.1343
1980,EYKT,B61B,Halibut Incidental,Longline,9296.058858
1980,NSEI,B61B,Halibut Incidental,Longline,1839.479285
1980,NSEO,B61B,Halibut Incidental,Longline,1651.07972
1980,SSEI,B61B,Halibut Incidental,Longline,3867.80995
1980,SSEO,B61B,Halibut Incidental,Longline,603.3400172
1980,CSEO,M05B,Misc Incidental,Hand troll,48.32250871
1980,NSEI,M05B,Misc Incidental,Hand troll,0.449108265
1980,CSEO,M06B,Misc Incidental,Longline,4193.398881
1980,NSEI,M06B,Misc Incidental,Longline,96.5582769
1980,SSEI,M06B,Misc Incidental,Longline,2830.401524
1980,SSEI,M09B,Misc Incidental,Pot,150.2588124
1980,CSEO,M26B,Misc Incidental,Mechanical jigs,14826.48267
1980,NSEI,M26B,Misc Incidental,Mechanical jigs,546.3402039
1980,NSEO,M26B,Misc Incidental,Mechanical jigs,5620.278736
1980,SSEI,M26B,Misc Incidental,Mechanical jigs,581.2643532
1980,CSEO,M61B,Misc Incidental,Longline,31757.83698
1980,EYKT,M61B,Misc Incidental,Longline,209.8591549
1980,NSEI,M61B,Misc Incidental,Longline,913.037102
1980,NSEO,M61B,Misc Incidental,Longline,151.8994253
1980,SSEI,M61B,Misc Incidental,Longline,6910.323699
1980,SSEO,M61B,Misc Incidental,Longline,51.22329236
