"","year.landed","mgmt.area","permit.fishery","gear.description","round.lbs"
"100",1978,"CSEO","S15B","Power gurdy troll",28150
"101",1978,"EYKT","","Hand troll",527
"102",1978,"EYKT","","Longline",4740
"103",1978,"EYKT","B06B","Longline",7355
"104",1978,"EYKT","B61B","Longline",252952
"105",1978,"EYKT","C61B","Longline",1428
"106",1978,"EYKT","S05B","Hand troll",472
"107",1978,"EYKT","S05B","Longline",34
"108",1978,"EYKT","S15B","Power gurdy troll",18391
"109",1978,"NSEI","","Hand troll",3257
"110",1978,"NSEI","","Longline",62194
"111",1978,"NSEI","","Other/unspecified/missing",447
"112",1978,"NSEI","B05B","Longline",92
"113",1978,"NSEI","B06B","Hand troll",1345
"114",1978,"NSEI","B06B","Longline",124192
"115",1978,"NSEI","B61B","Hand troll",965
"116",1978,"NSEI","B61B","Longline",805542
"117",1978,"NSEI","C61B","Longline",87
"118",1978,"NSEI","M06B","Longline",50
"119",1978,"NSEI","M61B","Longline",4743
"120",1978,"NSEI","S05B","Hand troll",13557
"121",1978,"NSEI","S05B","Longline",528
"122",1978,"NSEI","S15B","Power gurdy troll",21525
"123",1978,"NSEO","","Hand troll",371
"124",1978,"NSEO","","Longline",9206
"125",1978,"NSEO","B06B","Longline",19182
"126",1978,"NSEO","B61B","Longline",152723
"127",1978,"NSEO","C61B","Longline",1255
"128",1978,"NSEO","S05B","Hand troll",184
"129",1978,"NSEO","S15B","Power gurdy troll",8114
"130",1978,"SSEI","","Hand troll",4054
"131",1978,"SSEI","","Longline",7964
"132",1978,"SSEI","","Other/unspecified/missing",60
"133",1978,"SSEI","B05B","Longline",19
"134",1978,"SSEI","B06B","Hand troll",799
"135",1978,"SSEI","B06B","Longline",15477
"136",1978,"SSEI","B61B","Hand troll",254
"137",1978,"SSEI","B61B","Longline",209211
"138",1978,"SSEI","C09B","Longline",174
"139",1978,"SSEI","S05B","Hand troll",4207
"140",1978,"SSEI","S05B","Longline",1547
"141",1978,"SSEI","S15B","Power gurdy troll",6950
"142",1978,"SSEO","","Hand troll",1700
"143",1978,"SSEO","","Longline",32274
"144",1978,"SSEO","","Power gurdy troll",18
"145",1978,"SSEO","B06B","Longline",6735
"146",1978,"SSEO","B61B","Longline",104662
"147",1978,"SSEO","S01A","Hand troll",102
"148",1978,"SSEO","S05B","Hand troll",457
"149",1978,"SSEO","S15B","Power gurdy troll",7646
"150",1979,"CSEO","","Hand troll",4570
"151",1979,"CSEO","","Longline",54344
"152",1979,"CSEO","B05B","Longline",646
"153",1979,"CSEO","B06B","Longline",142573
"154",1979,"CSEO","B61B","Longline",486078
"155",1979,"CSEO","M06B","Longline",838
"156",1979,"CSEO","M61B","Longline",157
"157",1979,"CSEO","M99B","Hand troll",24
"158",1979,"CSEO","M99B","Longline",76
"159",1979,"CSEO","S05B","Hand troll",10904
"160",1979,"CSEO","S05B","Longline",453
"161",1979,"CSEO","S15B","Power gurdy troll",43056
"162",1979,"EYKT","","Hand troll",48
"163",1979,"EYKT","","Longline",79018
"164",1979,"EYKT","B06B","Longline",29778
"165",1979,"EYKT","B61B","Longline",803971
"166",1979,"EYKT","S05B","Hand troll",530
"167",1979,"EYKT","S05B","Longline",114
"168",1979,"EYKT","S15B","Power gurdy troll",22354
"169",1979,"NSEI","","Hand troll",2745
"170",1979,"NSEI","","Longline",60536
"171",1979,"NSEI","B05B","Longline",1182
"172",1979,"NSEI","B06B","Hand troll",106
"173",1979,"NSEI","B06B","Longline",330498
"174",1979,"NSEI","B61B","Longline",1035189
"175",1979,"NSEI","B99B","Longline",940
"176",1979,"NSEI","C61B","Longline",355
"177",1979,"NSEI","M06B","Longline",443
"178",1979,"NSEI","M99B","Longline",462
"179",1979,"NSEI","S01A","Hand troll",79
"180",1979,"NSEI","S05B","Hand troll",22181
"181",1979,"NSEI","S05B","Longline",2422
"182",1979,"NSEI","S15B","Power gurdy troll",22674
"183",1979,"NSEO","","Hand troll",851
"184",1979,"NSEO","","Longline",26598
"185",1979,"NSEO","B06B","Longline",50997
"186",1979,"NSEO","B61B","Longline",337842
"187",1979,"NSEO","B99B","Longline",186
"188",1979,"NSEO","S05B","Hand troll",74
"189",1979,"NSEO","S15B","Power gurdy troll",18000
"190",1979,"SSEI","","Hand troll",383
"191",1979,"SSEI","","Longline",7794
"192",1979,"SSEI","B05B","Longline",50
"193",1979,"SSEI","B06B","Longline",79259
"194",1979,"SSEI","B61B","Longline",225155
"195",1979,"SSEI","C09B","Longline",207
"196",1979,"SSEI","M61B","Longline",1530
"197",1979,"SSEI","S05B","Hand troll",7049
"198",1979,"SSEI","S05B","Longline",1564
"199",1979,"SSEI","S15B","Power gurdy troll",9618
"200",1979,"SSEO","","Hand troll",199
"201",1979,"SSEO","","Longline",15886
"202",1979,"SSEO","B06B","Longline",35549
"203",1979,"SSEO","B61B","Longline",209648
"204",1979,"SSEO","S05B","Hand troll",2434
"205",1979,"SSEO","S15B","Power gurdy troll",19403
"206",1980,"CSEO","","Hand troll",26
"207",1980,"CSEO","","Longline",19289
"208",1980,"CSEO","B05B","Hand troll",36
"209",1980,"CSEO","B06B","Longline",36617
"210",1980,"CSEO","B26B","Mechanical jigs",49
"211",1980,"CSEO","B61B","Longline",240989
"212",1980,"CSEO","M06B","Longline",77
"213",1980,"CSEO","S05B","Hand troll",795
"214",1980,"CSEO","S15B","Power gurdy troll",15467
"215",1980,"EYKT","","Hand troll",141
"216",1980,"EYKT","","Longline",69744
"217",1980,"EYKT","B05B","Hand troll",93
"218",1980,"EYKT","B06B","Longline",53623
"219",1980,"EYKT","B61B","Longline",750787
"220",1980,"EYKT","L99B","Longline",2970
"221",1980,"EYKT","S05B","Hand troll",187
"222",1980,"EYKT","S15B","Power gurdy troll",15510
"223",1980,"NSEI","","Hand troll",35
"224",1980,"NSEI","","Longline",119604
"225",1980,"NSEI","","Mechanical jigs",366
"226",1980,"NSEI","","Power gurdy troll",38
"227",1980,"NSEI","B05B","Hand troll",628
"228",1980,"NSEI","B06B","Longline",262414
"229",1980,"NSEI","B26B","Mechanical jigs",56
"230",1980,"NSEI","B61B","Longline",854547
"231",1980,"NSEI","M05B","Hand troll",40
"232",1980,"NSEI","S05B","Hand troll",1786
"233",1980,"NSEI","S15B","Power gurdy troll",3450
"234",1980,"NSEO","","Longline",33679
"235",1980,"NSEO","","Power gurdy troll",19
"236",1980,"NSEO","B06B","Longline",18504
"237",1980,"NSEO","B61B","Longline",325107
"238",1980,"NSEO","S03A","Hand troll",146
"239",1980,"NSEO","S05B","Hand troll",172
"240",1980,"NSEO","S15B","Power gurdy troll",7439
"241",1980,"SSEI","","Hand troll",476
"242",1980,"SSEI","","Longline",9527
"243",1980,"SSEI","B05B","Hand troll",50
"244",1980,"SSEI","B06B","Longline",33887
"245",1980,"SSEI","B26B","Mechanical jigs",340
"246",1980,"SSEI","B61B","Longline",258500
"247",1980,"SSEI","S05B","Hand troll",1221
"248",1980,"SSEI","S15B","Power gurdy troll",3025
"249",1980,"SSEO","","Hand troll",81
"250",1980,"SSEO","","Power gurdy troll",44
"251",1980,"SSEO","B06B","Longline",10595
"252",1980,"SSEO","B61B","Longline",114465
"253",1980,"SSEO","S05B","Hand troll",403
"254",1980,"SSEO","S15B","Power gurdy troll",4438
"255",1981,"CSEO","","Hand troll",243
"256",1981,"CSEO","","Longline",5209
"257",1981,"CSEO","","Other/unspecified/missing",93
"258",1981,"CSEO","B05B","Hand troll",117
"259",1981,"CSEO","B06B","Longline",48508
"260",1981,"CSEO","B26B","Mechanical jigs",1613
"261",1981,"CSEO","B61B","Longline",268842
"262",1981,"CSEO","M06B","Longline",612
"263",1981,"CSEO","S05B","Hand troll",977
"264",1981,"CSEO","S15B","Power gurdy troll",30280
"265",1981,"EYKT","","Hand troll",55
"266",1981,"EYKT","B05B","Hand troll",112
"267",1981,"EYKT","B06B","Longline",27375
"268",1981,"EYKT","B61B","Longline",848962
"269",1981,"EYKT","S04D","Hand troll",715
"270",1981,"EYKT","S15B","Power gurdy troll",10572
"271",1981,"NSEI","","Hand troll",2476
"272",1981,"NSEI","","Longline",13447
"273",1981,"NSEI","","Mechanical jigs",14
"274",1981,"NSEI","","Power gurdy troll",33
"275",1981,"NSEI","B05B","Hand troll",2011
"276",1981,"NSEI","B06B","Longline",376417
"277",1981,"NSEI","B26B","Mechanical jigs",2218
"278",1981,"NSEI","B61B","Longline",1028678
"279",1981,"NSEI","M05B","Hand troll",757
"280",1981,"NSEI","M06B","Longline",1214
"281",1981,"NSEI","S05B","Hand troll",15573
"282",1981,"NSEI","S15B","Power gurdy troll",10647
"283",1981,"NSEO","","Hand troll",52
"284",1981,"NSEO","","Longline",6388
"285",1981,"NSEO","B06B","Longline",19374
"286",1981,"NSEO","B61B","Longline",365935
"287",1981,"NSEO","S05B","Hand troll",593
"288",1981,"NSEO","S15B","Power gurdy troll",10167
"289",1981,"SSEI","","Hand troll",478
"290",1981,"SSEI","","Longline",6497
"291",1981,"SSEI","","Mechanical jigs",394
"292",1981,"SSEI","B05B","Hand troll",180
"293",1981,"SSEI","B06B","Longline",79173
"294",1981,"SSEI","B26B","Mechanical jigs",201
"295",1981,"SSEI","B61B","Longline",303582
"296",1981,"SSEI","S05B","Hand troll",2258
"297",1981,"SSEI","S15B","Power gurdy troll",4753
"298",1981,"SSEO","","Hand troll",103
"299",1981,"SSEO","B06B","Longline",17633
"300",1981,"SSEO","B26B","Mechanical jigs",210
"301",1981,"SSEO","B61B","Longline",104109
"302",1981,"SSEO","S05B","Hand troll",156
"303",1981,"SSEO","S15B","Power gurdy troll",12020
"304",1982,"CSEO","","Hand troll",122
"305",1982,"CSEO","","Longline",38360
"306",1982,"CSEO","","Mechanical jigs",78
"307",1982,"CSEO","B05B","Hand troll",67
"308",1982,"CSEO","B06B","Longline",53835
"309",1982,"CSEO","B26B","Mechanical jigs",796
"310",1982,"CSEO","B61B","Longline",268998
"311",1982,"CSEO","M61B","Longline",298
"312",1982,"CSEO","S05B","Hand troll",55
"313",1982,"CSEO","S15B","Power gurdy troll",308
"314",1982,"EYKT","","Longline",44824
"315",1982,"EYKT","B05B","Hand troll",48
"316",1982,"EYKT","B06B","Longline",43989
"317",1982,"EYKT","B26B","Mechanical jigs",1550
"318",1982,"EYKT","B61B","Longline",555602
"319",1982,"EYKT","S15B","Power gurdy troll",1027
"320",1982,"NSEI","","Hand troll",929
"321",1982,"NSEI","","Longline",44257
"322",1982,"NSEI","","Mechanical jigs",5109
"323",1982,"NSEI","B05B","Hand troll",3817
"324",1982,"NSEI","B06B","Longline",252164
"325",1982,"NSEI","B26B","Mechanical jigs",5492
"326",1982,"NSEI","B61B","Longline",865552
"327",1982,"NSEI","M06B","Longline",14
"328",1982,"NSEI","S05B","Hand troll",763
"329",1982,"NSEI","S15B","Power gurdy troll",239
"330",1982,"NSEO","","Hand troll",39
"331",1982,"NSEO","","Longline",21212
"332",1982,"NSEO","","Mechanical jigs",28
"333",1982,"NSEO","","Power gurdy troll",17
"334",1982,"NSEO","B05B","Hand troll",159
"335",1982,"NSEO","B06B","Longline",16296
"336",1982,"NSEO","B26B","Mechanical jigs",1364
"337",1982,"NSEO","B61B","Longline",345770
"338",1982,"NSEO","C61B","Longline",304
"339",1982,"NSEO","S05B","Hand troll",152
"340",1982,"NSEO","S15B","Power gurdy troll",15
"341",1982,"SSEI","","Hand troll",65
"342",1982,"SSEI","","Longline",3551
"343",1982,"SSEI","B05B","Hand troll",118
"344",1982,"SSEI","B06B","Longline",62917
"345",1982,"SSEI","B26B","Mechanical jigs",281
"346",1982,"SSEI","B61B","Longline",198370
"347",1982,"SSEI","S05B","Hand troll",159
"348",1982,"SSEI","S15B","Power gurdy troll",276
"349",1982,"SSEO","","Hand troll",51
"350",1982,"SSEO","","Longline",3600
"351",1982,"SSEO","","Mechanical jigs",420
"352",1982,"SSEO","B05B","Hand troll",1130
"353",1982,"SSEO","B06B","Longline",15006
"354",1982,"SSEO","B26B","Mechanical jigs",828
"355",1982,"SSEO","B61B","Longline",131953
"356",1982,"SSEO","S05B","Hand troll",136
"357",1982,"SSEO","S15B","Power gurdy troll",1059
"358",1983,"CSEO","","Longline",11022
"359",1983,"CSEO","","Mechanical jigs",163
"360",1983,"CSEO","B05B","Hand troll",5736
"361",1983,"CSEO","B06B","Longline",110432
"362",1983,"CSEO","B26B","Mechanical jigs",49679
"363",1983,"CSEO","B61B","Longline",655730
"364",1983,"CSEO","M26B","Mechanical jigs",821
"365",1983,"CSEO","S05B","Hand troll",99
"366",1983,"EYKT","","Longline",63398
"367",1983,"EYKT","B05B","Hand troll",273
"368",1983,"EYKT","B06B","Longline",47248
"369",1983,"EYKT","B26B","Mechanical jigs",55
"370",1983,"EYKT","B61B","Longline",606195
"371",1983,"EYKT","C61B","Longline",24020
"372",1983,"EYKT","S15B","Power gurdy troll",5095
"373",1983,"NSEI","","Longline",22131
"374",1983,"NSEI","B05B","Hand troll",24315
"375",1983,"NSEI","B06B","Longline",557484
"376",1983,"NSEI","B26B","Mechanical jigs",55919
"377",1983,"NSEI","B61B","Longline",1562297
"378",1983,"NSEI","M06B","Longline",324
"379",1983,"NSEI","S05B","Hand troll",598
"380",1983,"NSEO","","Longline",10349
"381",1983,"NSEO","B06B","Longline",18261
"382",1983,"NSEO","B26B","Mechanical jigs",2721
"383",1983,"NSEO","B61B","Longline",225614
"384",1983,"SSEI","","Longline",6503
"385",1983,"SSEI","","Other/unspecified/missing",3315
"386",1983,"SSEI","B05B","Hand troll",3024
"387",1983,"SSEI","B06B","Longline",88759
"388",1983,"SSEI","B26B","Mechanical jigs",14762
"389",1983,"SSEI","B61B","Longline",352166
"390",1983,"SSEI","M61B","Longline",3016
"391",1983,"SSEI","S05B","Hand troll",233
"392",1983,"SSEO","","Longline",36817
"393",1983,"SSEO","B05B","Hand troll",2243
"394",1983,"SSEO","B06B","Longline",50808
"395",1983,"SSEO","B26B","Mechanical jigs",11706
"396",1983,"SSEO","B61B","Longline",203336
"397",1984,"CSEO","","Longline",6664
"398",1984,"CSEO","","Other/unspecified/missing",385
"399",1984,"CSEO","B05B","Hand troll",4043
"400",1984,"CSEO","B06B","Hand troll",15
"401",1984,"CSEO","B06B","Longline",86122
"402",1984,"CSEO","B26B","Mechanical jigs",7183
"403",1984,"CSEO","B61B","Longline",754310
"404",1984,"EYKT","","Other/unspecified/missing",150495
"405",1984,"EYKT","B05B","Hand troll",2684
"406",1984,"EYKT","B06B","Longline",47990
"407",1984,"EYKT","B26B","Mechanical jigs",1168
"408",1984,"EYKT","B61B","Longline",591688
"409",1984,"NSEI","","Longline",33421
"410",1984,"NSEI","","Other/unspecified/missing",31393
"411",1984,"NSEI","B05B","Hand troll",7241
"412",1984,"NSEI","B06B","Longline",353969
"413",1984,"NSEI","B26B","Mechanical jigs",13124
"414",1984,"NSEI","B61B","Longline",1338575
"415",1984,"NSEI","M61B","Longline",8786
"416",1984,"NSEI","S15B","Power gurdy troll",68
"417",1984,"NSEO","","Other/unspecified/missing",974
"418",1984,"NSEO","B06B","Longline",37308
"419",1984,"NSEO","B26B","Mechanical jigs",3238
"420",1984,"NSEO","B61B","Longline",557109
"421",1984,"NSEO","S15B","Power gurdy troll",5924
"422",1984,"SSEI","B05B","Hand troll",1808
"423",1984,"SSEI","B06B","Longline",84218
"424",1984,"SSEI","B26B","Mechanical jigs",6266
"425",1984,"SSEI","B61B","Longline",292594
"426",1984,"SSEI","B61B","Mechanical jigs",113
"427",1984,"SSEI","M06B","Longline",115
"428",1984,"SSEO","","Longline",9592
"429",1984,"SSEO","","Other/unspecified/missing",95662
"430",1984,"SSEO","B05B","Hand troll",493
"431",1984,"SSEO","B06B","Longline",29354
"432",1984,"SSEO","B26B","Mechanical jigs",4623
"433",1984,"SSEO","B61B","Longline",286794
"434",1984,"SSEO","B61B","Mechanical jigs",240
"435",1985,"CSEO","","Longline",57
"436",1985,"CSEO","","Other/unspecified/missing",95384
"437",1985,"CSEO","B05B","Hand troll",739
"438",1985,"CSEO","B06B","Longline",152929
"439",1985,"CSEO","B26B","Longline",575
"440",1985,"CSEO","B26B","Mechanical jigs",359
"441",1985,"CSEO","B61B","Longline",1291294
"442",1985,"CSEO","C61B","Longline",834
"443",1985,"EYKT","","Other/unspecified/missing",161572
"444",1985,"EYKT","B05B","Hand troll",345
"445",1985,"EYKT","B06B","Longline",49158
"446",1985,"EYKT","B26B","Mechanical jigs",28
"447",1985,"EYKT","B61B","Longline",461569
"448",1985,"EYKT","B61B","Mechanical jigs",7556
"449",1985,"NSEI","","Hand troll",109
"450",1985,"NSEI","","Longline",10122
"451",1985,"NSEI","","Other/unspecified/missing",245508
"452",1985,"NSEI","B05B","Hand troll",7360
"453",1985,"NSEI","B05B","Longline",137
"454",1985,"NSEI","B06B","Hand troll",150
"455",1985,"NSEI","B06B","Longline",582961
"456",1985,"NSEI","B26B","Mechanical jigs",8014
"457",1985,"NSEI","B61B","Longline",2400183
"458",1985,"NSEI","M61B","Longline",467
"459",1985,"NSEI","S05B","Hand troll",564
"460",1985,"NSEO","","Other/unspecified/missing",17319
"461",1985,"NSEO","B05B","Hand troll",2800
"462",1985,"NSEO","B06B","Longline",39510
"463",1985,"NSEO","B26B","Mechanical jigs",839
"464",1985,"NSEO","B61B","Longline",508721
"465",1985,"NSEO","B61B","Power gurdy troll",3535
"466",1985,"NSEO","C61B","Longline",8417
"467",1985,"NSEO","S15B","Power gurdy troll",2071
"468",1985,"SSEI","","Mechanical jigs",37
"469",1985,"SSEI","","Other/unspecified/missing",8295
"470",1985,"SSEI","B05B","Hand troll",2064
"471",1985,"SSEI","B05B","Longline",830
"472",1985,"SSEI","B05B","Mechanical jigs",43
"473",1985,"SSEI","B06B","Longline",120539
"474",1985,"SSEI","B26B","Longline",310
"475",1985,"SSEI","B26B","Mechanical jigs",1344
"476",1985,"SSEI","B61B","Longline",539738
"477",1985,"SSEI","S05B","Hand troll",167
"478",1985,"SSEO","","Other/unspecified/missing",155992
"479",1985,"SSEO","B05B","Hand troll",711
"480",1985,"SSEO","B06B","Longline",32093
"481",1985,"SSEO","B26B","Mechanical jigs",3575
"482",1985,"SSEO","B61B","Longline",263004
"483",1986,"CSEO","","Longline",131806
"484",1986,"CSEO","","Mechanical jigs",133166
"485",1986,"CSEO","B05B","Hand troll",2254
"486",1986,"CSEO","B05B","Longline",2227
"487",1986,"CSEO","B06B","Longline",169969
"488",1986,"CSEO","B26B","Longline",89
"489",1986,"CSEO","B26B","Mechanical jigs",5479
"490",1986,"CSEO","B61B","Longline",1174570
"491",1986,"CSEO","M26B","Longline",865
"492",1986,"EYKT","","Longline",35367
"493",1986,"EYKT","","Mechanical jigs",103827
"494",1986,"EYKT","B06B","Longline",66147
"495",1986,"EYKT","B61B","Longline",1154462
"496",1986,"NSEI","","Longline",155086
"497",1986,"NSEI","","Mechanical jigs",121094
"498",1986,"NSEI","","Other/unspecified/missing",3514
"499",1986,"NSEI","B05B","Hand troll",9925
"500",1986,"NSEI","B05B","Longline",351
"501",1986,"NSEI","B05B","Mechanical jigs",505
"502",1986,"NSEI","B06B","Longline",864488
"503",1986,"NSEI","B26B","Mechanical jigs",14836
"504",1986,"NSEI","B61B","Longline",3263148
"505",1986,"NSEI","C61B","Longline",7795
"506",1986,"NSEI","M06B","Longline",150
"507",1986,"NSEI","P09B","Mechanical jigs",3701
"508",1986,"NSEI","S03A","Longline",3492
"509",1986,"NSEI","S05B","Hand troll",2596
"510",1986,"NSEO","","Longline",14350
"511",1986,"NSEO","","Mechanical jigs",5034
"512",1986,"NSEO","B05B","Hand troll",3349
"513",1986,"NSEO","B06B","Longline",129615
"514",1986,"NSEO","B26B","Mechanical jigs",123
"515",1986,"NSEO","B61B","Longline",1026041
"516",1986,"NSEO","M26B","Mechanical jigs",1663
"517",1986,"SSEI","","Longline",15142
"518",1986,"SSEI","","Mechanical jigs",3290
"519",1986,"SSEI","B05B","Hand troll",4777
"520",1986,"SSEI","B05B","Mechanical jigs",42
"521",1986,"SSEI","B06B","Longline",167722
"522",1986,"SSEI","B06B","Mechanical jigs",49
"523",1986,"SSEI","B26B","Mechanical jigs",1214
"524",1986,"SSEI","B61B","Longline",569403
"525",1986,"SSEI","M06B","Longline",168
"526",1986,"SSEI","M61B","Longline",8206
"527",1986,"SSEO","","Longline",140516
"528",1986,"SSEO","","Mechanical jigs",150709
"529",1986,"SSEO","B05B","Hand troll",1226
"530",1986,"SSEO","B06B","Longline",42964
"531",1986,"SSEO","B26B","Mechanical jigs",59
"532",1986,"SSEO","B61B","Longline",569208
"533",1986,"SSEO","M61B","Longline",1342
"534",1986,"SSEO","S05B","Hand troll",21
"535",1987,"CSEO","","Hand troll",353
"536",1987,"CSEO","","Longline",225424
"537",1987,"CSEO","","Mechanical jigs",51327
"538",1987,"CSEO","","Other/unspecified/missing",52255
"539",1987,"CSEO","B05B","Hand troll",3293
"540",1987,"CSEO","B06B","Longline",182615
"541",1987,"CSEO","B26B","Mechanical jigs",3131
"542",1987,"CSEO","B61B","Longline",1315623
"543",1987,"CSEO","B61B","Power gurdy troll",1056
"544",1987,"CSEO","M61B","Longline",4211
"545",1987,"EYKT","","Longline",42896
"546",1987,"EYKT","","Mechanical jigs",54777
"547",1987,"EYKT","","Other/unspecified/missing",903
"548",1987,"EYKT","B06B","Longline",40783
"549",1987,"EYKT","B61B","Longline",486159
"550",1987,"NSEI","","Longline",158242
"551",1987,"NSEI","","Mechanical jigs",158751
"552",1987,"NSEI","B05B","Hand troll",15234
"553",1987,"NSEI","B06B","Longline",971087
"554",1987,"NSEI","B26B","Mechanical jigs",4374
"555",1987,"NSEI","B61B","Longline",3311886
"556",1987,"NSEI","B61B","Mechanical jigs",324
"557",1987,"NSEI","M61B","Longline",2657
"558",1987,"NSEI","S05B","Hand troll",2560
"559",1987,"NSEI","S15B","Power gurdy troll",68
"560",1987,"NSEO","","Longline",43172
"561",1987,"NSEO","","Mechanical jigs",31823
"562",1987,"NSEO","B05B","Hand troll",8188
"563",1987,"NSEO","B06B","Longline",73239
"564",1987,"NSEO","B26B","Mechanical jigs",899
"565",1987,"NSEO","B61B","Longline",747379
"566",1987,"NSEO","S03A","Longline",4407
"567",1987,"SSEI","","Longline",6478
"568",1987,"SSEI","","Mechanical jigs",529
"569",1987,"SSEI","B05B","Hand troll",1707
"570",1987,"SSEI","B05B","Longline",819
"571",1987,"SSEI","B06B","Longline",235158
"572",1987,"SSEI","B26B","Longline",450
"573",1987,"SSEI","B26B","Mechanical jigs",356
"574",1987,"SSEI","B61B","Longline",654687
"575",1987,"SSEI","M61B","Longline",2059
"576",1987,"SSEI","S05B","Hand troll",74
"577",1987,"SSEI","S15B","Power gurdy troll",36
"578",1987,"SSEO","","Longline",200399
"579",1987,"SSEO","","Mechanical jigs",109638
"580",1987,"SSEO","B06B","Longline",42292
"581",1987,"SSEO","B26B","Mechanical jigs",1080
"582",1987,"SSEO","B61B","Longline",613654
"583",1988,"CSEO","","Longline",10937
"584",1988,"CSEO","","Mechanical jigs",11239
"585",1988,"CSEO","B05B","Hand troll",8157
"586",1988,"CSEO","B06B","Longline",286110
"587",1988,"CSEO","B26B","Mechanical jigs",9446
