Year,"IPHC
Regulatory Area","IPHC 
Statistical Area",Net wt (lb),Unique vessels
2022,2C ,151,288027,44
2022,2C ,152,232386,53
2022,2C ,153,44789,18
2022,2C ,160,368994,88
2022,2C ,161,237629,45
2022,2C ,162,679998,80
2022,2C ,163,99234,23
2022,2C ,170,202493,80
2022,2C ,171,93185,35
2022,2C ,173,35869,15
2022,2C ,174,16297,14
2022,2C ,181,351903,58
2022,2C ,182,195352,49
2022,2C ,183,32272,13
2022,2C ,184,89076,10
2022,3A ,185,946872,101
2022,3A ,190,718526,70
2022,3A ,200,806610,61
2022,3A ,210,423809,47
2022,3A ,220,528442,35
2022,3A ,230,266773,46
2022,3A ,232,320788,44
2022,3A ,240,556507,63
2022,3A ,242,628505,57
2022,3A ,250,542148,76
2022,3A ,260,400601,65
2022,3A ,261,532899,67
2022,3A ,270,832644,98
2022,3A ,271,392180,51
2022,3A ,280,728414,60
2022,3A ,281,138897,18
2022,3B ,290,1529914,114
2022,3B ,300,312159,44
2022,3B ,310,173439,25
2022,3B ,320,397521,42
2022,3B ,330,290643,25
2022,3B ,340,150221,27
2022,4A ,350,213756,31
2022,4A ,360,338880,33
2022,4A ,370,164885,20
2022,4A ,380,89506,17
2022,4A ,390,1124,3
2022,4A ,Bering Sea,462988,49
2022,4B ,400,51900,7
2022,4B ,410,67806,6
2022,4B ,420,41305,5
2022,4B ,430,26722,7
2022,4B ,440/450,60190,7
2022,4B ,480,3950,3
2022,4B ,490,15529,3
2022,4B ,Bering Sea,279254,16
2022,4CDE,Bering Sea,1570847,36
2021,2A ,006/007/008,4582,5
2021,2A ,009,29353,17
2021,2A ,010,94453,31
2021,2A ,020,61111,52
2021,2A ,030,21816,14
2021,2A ,040,33445,24
2021,2A ,050,502375,133
2021,2B ,060,156781,17
2021,2B ,070,142407,17
2021,2B ,080,122016,34
2021,2B ,081,4337,3
2021,2B ,090,145340,36
2021,2B ,091,371892,44
2021,2B ,092,11291,13
2021,2B ,100,317758,38
2021,2B ,102,558574,41
2021,2B ,103,13284,11
2021,2B ,110,31805,17
2021,2B ,112,781731,57
2021,2B ,114,75064,15
2021,2B ,120,26351,16
2021,2B ,121,90258,16
2021,2B ,122,16122,11
2021,2B ,130,295777,32
2021,2B ,131,525738,33
2021,2B ,132,406486,49
2021,2B ,133,385365,39
2021,2B ,134,72075,20
2021,2B ,135,567484,55
2021,2C ,140,15253,5
2021,2C ,141,535,3
2021,2C ,142,62838,16
2021,2C ,143,41210,30
2021,2C ,144,24585,7
2021,2C ,150,122197,24
2021,2C ,151,292284,47
2021,2C ,152,223848,57
2021,2C ,153,33242,19
2021,2C ,160,361765,75
2021,2C ,161,214090,45
2021,2C ,162,742645,87
2021,2C ,163,87041,22
2021,2C ,170,215517,82
2021,2C ,171,99611,41
2021,2C ,173,37016,16
2021,2C ,174,25304,20
2021,2C ,181,332623,57
2021,2C ,182,275251,53
2021,2C ,183,16215,8
2021,2C ,184,91528,11
2021,3A ,185,1066433,98
2021,3A ,190,432480,40
2021,3A ,200,951299,56
2021,3A ,210,616867,47
2021,3A ,220,586263,47
2021,3A ,230,435548,48
2021,3A ,232,309805,39
2021,3A ,240,466049,59
2021,3A ,242,761063,56
2021,3A ,250,516671,73
2021,3A ,260,413367,61
2021,3A ,261,376166,57
2021,3A ,270,839640,94
2021,3A ,271,280717,40
2021,3A ,280,534780,46
2021,3A ,281,106841,17
2021,3B ,290,1413560,110
2021,3B ,300,264739,29
2021,3B ,310,113746,21
2021,3B ,320,248181,25
2021,3B ,330,192133,14
2021,3B ,340,165037,15
2021,4A ,350,268120,29
2021,4A ,360,439495,31
2021,4A ,370,123450,14
2021,4A ,380,42856,11
2021,4A ,390/395,20227,3
2021,4A ,Bering Sea,535924,47
2021,4B ,400,75484,8
2021,4B ,410,36844,8
2021,4B ,420,65906,7
2021,4B ,430,53688,7
2021,4B ,440/480/490/500,163843,7
2021,4B ,Bering Sea,357395,19
2021,4CDE,Bering Sea,1383472,46
2020,2A ,007-008,11369,3
2020,2A ,009,33824,18
2020,2A ,010,41805,26
2020,2A ,020,107280,55
2020,2A ,030,35456,17
2020,2A ,040,36020,29
2020,2A ,050,529664,113
2020,2B ,060,163374,17
2020,2B ,070,169136,18
2020,2B ,080,188131,39
2020,2B ,081,1504,3
2020,2B ,090,119740,35
2020,2B ,091,176148,34
2020,2B ,092,31157,11
2020,2B ,100,326016,36
2020,2B ,102,795541,60
2020,2B ,103,21936,15
2020,2B ,110,32967,22
2020,2B ,112,753520,53
2020,2B ,114,55180,15
2020,2B ,120,21728,11
2020,2B ,121,95085,22
2020,2B ,122,24252,7
2020,2B ,130,346257,36
2020,2B ,131,403885,35
2020,2B ,132,464781,44
2020,2B ,133,254153,41
2020,2B ,134,55068,16
2020,2B ,135,392201,41
2020,2C ,140,30636,10
2020,2C ,141,10719,5
2020,2C ,142,55537,18
2020,2C ,143,63626,39
2020,2C ,144,9118,6
2020,2C ,150,179321,37
2020,2C ,151,239739,38
2020,2C ,152,214297,65
2020,2C ,153,54103,23
2020,2C ,160,359075,93
2020,2C ,161,180602,45
2020,2C ,162,708726,82
2020,2C ,163,50915,14
2020,2C ,170,256096,91
2020,2C ,171,114793,37
2020,2C ,173,23556,14
2020,2C ,174,16453,15
2020,2C ,181,304254,53
2020,2C ,182,257968,53
2020,2C ,183,20116,17
2020,2C ,184,85235,12
2020,3A ,185,776566,87
2020,3A ,190,301464,45
2020,3A ,200,738553,52
2020,3A ,210,504763,44
2020,3A ,220,542169,41
2020,3A ,230,256486,37
2020,3A ,232,108789,26
2020,3A ,240,334411,41
2020,3A ,242,547146,49
2020,3A ,250,496924,66
2020,3A ,260,503734,62
2020,3A ,261,317051,50
2020,3A ,270,618202,92
2020,3A ,271,304347,34
2020,3A ,280,391761,35
2020,3A ,281,63201,9
2020,3B ,290,1343136,108
2020,3B ,300,242823,35
2020,3B ,310,117840,20
2020,3B ,320,258428,29
2020,3B ,330,153307,19
2020,3B ,340,133750,21
2020,4A ,350,178758,24
2020,4A ,360,251486,28
2020,4A ,370,49336,10
2020,4A ,380,71639,14
2020,4A ,390/395,28025,5
2020,4A ,Bering Sea,573182,48
2020,4B ,400,99507,9
2020,4B ,410,61521,8
2020,4B ,420,29433,6
2020,4B ,430,64284,8
2020,4B ,440,141708,6
2020,4B ,450/460/480,12276,3
2020,4B ,490/500,68703,3
2020,4B ,Bering Sea,411577,19
2020,4CDE,Bering Sea,1605139,53
2019,2A ,006,2612,3
2019,2A ,007,6096,5
2019,2A ,008,6074,5
2019,2A ,009,20358,20
2019,2A ,010,59889,45
2019,2A ,020,99355,89
2019,2A ,030,37758,16
2019,2A ,040,56742,27
2019,2A ,050,539153,225
2019,2B ,060,160100,19
2019,2B ,070,158471,18
2019,2B ,080/081,75483,34
2019,2B ,090,127064,29
2019,2B ,091,177928,35
2019,2B ,092,11439,9
2019,2B ,100,423653,36
2019,2B ,102,489173,49
2019,2B ,103,8597,11
2019,2B ,110,43018,19
2019,2B ,112,626208,51
2019,2B ,114,64401,16
2019,2B ,120,51193,15
2019,2B ,121,90594,28
2019,2B ,122,26242,12
2019,2B ,130,338456,46
2019,2B ,131,509816,41
2019,2B ,132,575454,54
2019,2B ,133,361062,45
2019,2B ,134,93833,27
2019,2B ,135,668844,55
2019,2C ,140,20015,9
2019,2C ,141,4996,5
2019,2C ,142,78253,16
2019,2C ,143,67243,40
2019,2C ,144,19197,7
2019,2C ,150,171147,36
2019,2C ,151,251191,37
2019,2C ,152,285655,56
2019,2C ,153,72640,25
2019,2C ,160,424391,101
2019,2C ,161,138793,46
2019,2C ,162,757139,97
2019,2C ,163,55720,19
2019,2C ,170,182568,76
2019,2C ,171,141745,38
2019,2C ,173,50240,22
2019,2C ,174,21229,14
2019,2C ,181,332254,65
2019,2C ,182,220569,55
2019,2C ,183,30002,16
2019,2C ,184,94839,15
2019,3A ,185,655256,92
2019,3A ,190,560415,55
2019,3A ,200,844265,58
2019,3A ,210,511282,42
2019,3A ,220,799370,60
2019,3A ,230,368005,43
2019,3A ,232,96396,21
2019,3A ,240,589668,69
2019,3A ,242,478127,41
2019,3A ,250,888832,76
2019,3A ,260,585591,74
2019,3A ,261,290411,39
2019,3A ,270,596835,104
2019,3A ,271,233330,34
2019,3A ,280,389769,53
2019,3A ,281,43587,7
2019,3B ,290,1337812,126
2019,3B ,300,251929,30
2019,3B ,310,78987,17
2019,3B ,320,213193,26
2019,3B ,330,164503,22
2019,3B ,340,135840,20
2019,4A ,350,196081,30
2019,4A ,360,231231,30
2019,4A ,370,65348,15
2019,4A ,380,86274,19
2019,4A ,390/395,53900,9
2019,4A ,Bering Sea,734744,53
2019,4B ,400,76196,5
2019,4B ,410,33917,8
2019,4B ,420,61313,8
2019,4B ,430,51207,7
2019,4B ,440,211922,9
2019,4B ,490,81228,3
2019,4B ,Bering Sea,463165,24
2019,4CDE,Bering Sea,1638582,83
2018,2A ,007/008/009,9130,8
2018,2A ,010,83708,34
2018,2A ,020,45211,37
2018,2A ,030,23688,7
2018,2A ,040,94072,40
2018,2A ,050,385070,206
2018,2B ,060/061,112023,19
2018,2B ,070,229254,19
2018,2B ,080,55723,36
2018,2B ,081,4095,5
2018,2B ,090,75763,29
2018,2B ,091,266832,44
2018,2B ,092,41438,17
2018,2B ,100,489670,32
2018,2B ,102,730879,47
2018,2B ,103,71118,20
2018,2B ,110,51012,19
2018,2B ,112,660408,52
2018,2B ,114,178383,19
2018,2B ,120,34244,17
2018,2B ,121,138581,24
2018,2B ,122,29104,10
2018,2B ,130,323247,37
2018,2B ,131,508839,37
2018,2B ,132,377833,33
2018,2B ,133,278513,35
2018,2B ,134,143422,24
2018,2B ,135,492335,39
2018,2C ,140,23871,10
2018,2C ,141,12250,6
2018,2C ,142,70665,19
2018,2C ,143,75986,49
2018,2C ,144,11840,6
2018,2C ,150,143540,28
2018,2C ,151,201749,37
2018,2C ,152,287514,52
2018,2C ,153,78286,26
2018,2C ,160,532408,91
2018,2C ,161,159753,31
2018,2C ,162,701440,88
2018,2C ,163,77528,19
2018,2C ,170,162631,79
2018,2C ,171,129687,33
2018,2C ,173,42989,17
2018,2C ,174,33904,17
2018,2C ,181,329104,60
2018,2C ,182,255121,57
2018,2C ,183,21809,16
2018,2C ,184,79080,14
2018,3A ,185,719168,92
2018,3A ,190,354890,45
2018,3A ,200,595758,47
2018,3A ,210,462892,46
2018,3A ,220,614726,41
2018,3A ,230,282039,34
2018,3A ,232,107878,21
2018,3A ,240,795246,78
2018,3A ,242,314718,42
2018,3A ,250,999321,92
2018,3A ,260,483144,73
2018,3A ,261,345314,50
2018,3A ,270,544687,82
2018,3A ,271,185587,35
2018,3A ,280,352178,54
2018,3A ,281,46079,9
2018,3B ,290,1331977,136
2018,3B ,300,365272,45
2018,3B ,310,151424,27
2018,3B ,320,207345,40
2018,3B ,330,188789,34
2018,3B ,340,180417,28
2018,4A ,350,150227,22
2018,4A ,360,182921,35
2018,4A ,370,30069,10
2018,4A ,380,143081,18
2018,4A ,390/395,65734,4
2018,4A ,Bering Sea,645290,56
2018,4B ,400,150812,9
2018,4B ,410,42216,9
2018,4B ,420,125642,11
2018,4B ,430,54514,6
2018,4B ,440/490,155961,8
2018,4B ,Bering Sea,509745,25
2018,4CDE,Bering Sea,1412954,79
2017,2A ,007/009,24828,17
2017,2A ,010,112972,32
2017,2A ,020,22183,61
2017,2A ,030,26789,12
2017,2A ,040,86784,58
2017,2A ,050,449618,243
2017,2B ,060,153436,19
2017,2B ,070,73371,16
2017,2B ,080,119977,33
2017,2B ,081,23988,10
2017,2B ,090,88578,23
2017,2B ,091,321414,43
2017,2B ,092,69225,15
2017,2B ,100,491680,28
2017,2B ,102,502006,50
2017,2B ,103,27620,9
2017,2B ,110,65283,17
2017,2B ,112,764728,56
2017,2B ,114,133197,18
2017,2B ,120,38381,20
2017,2B ,121,143655,25
2017,2B ,122,54133,14
2017,2B ,130,401778,44
2017,2B ,131,1012685,47
2017,2B ,132,547276,41
2017,2B ,133,273010,40
2017,2B ,134,196243,29
2017,2B ,135,676042,49
2017,2C ,140,15832,5
2017,2C ,141,33241,7
2017,2C ,142,56581,15
2017,2C ,143,112985,53
2017,2C ,144,29029,9
2017,2C ,150,212022,33
2017,2C ,151,276668,45
2017,2C ,152,404815,68
2017,2C ,153,70826,24
2017,2C ,160,575499,98
2017,2C ,161,137678,34
2017,2C ,162,825365,90
2017,2C ,163,57241,14
2017,2C ,170,266556,84
2017,2C ,171,127669,36
2017,2C ,173,46183,20
2017,2C ,174,24868,19
2017,2C ,181,418820,63
2017,2C ,182,233386,60
2017,2C ,183,56987,22
2017,2C ,184,116502,15
2017,3A ,185,805580,93
2017,3A ,190,404850,43
2017,3A ,200,667368,61
2017,3A ,210,557094,51
2017,3A ,220,521363,40
2017,3A ,230,261777,24
2017,3A ,232,42241,17
2017,3A ,240,816242,87
2017,3A ,242,217067,30
2017,3A ,250,830261,102
2017,3A ,260,720533,84
2017,3A ,261,321657,50
2017,3A ,270,679033,103
2017,3A ,271,127560,31
2017,3A ,280,631314,66
2017,3A ,281,36116,9
2017,3B ,290,1491388,138
2017,3B ,300,438976,43
2017,3B ,310,237339,26
2017,3B ,320,349713,49
2017,3B ,330,229929,30
2017,3B ,340,247774,31
2017,4A ,350,187820,24
2017,4A ,360,282960,33
2017,4A ,370,50855,17
2017,4A ,380,119242,18
2017,4A ,390/395,17971,5
2017,4A ,Bering Sea,602494,52
2017,4B ,400,134061,8
2017,4B ,410,46032,9
2017,4B ,420,124648,15
2017,4B ,430,93048,13
2017,4B ,440/450,194065,10
2017,4B ,480/490/500,34508,3
2017,4B ,Bering Sea,423718,26
2017,4CDE,Bering Sea,1619412,85
2016,2A ,009,3717,9
2016,2A ,010,80651,52
2016,2A ,020,73139,102
2016,2A ,030,23808,11
2016,2A ,040,65167,48
2016,2A ,050,395344,278
2016,2B ,060/061,135350,18
2016,2B ,070/071,93739,12
2016,2B ,080,99684,38
2016,2B ,081,12265,6
2016,2B ,090,139193,32
2016,2B ,091,313500,45
2016,2B ,092,40483,11
2016,2B ,100,563696,35
2016,2B ,102,724864,56
2016,2B ,103,51463,12
2016,2B ,110,25439,12
2016,2B ,112,1003359,54
2016,2B ,114,78587,15
2016,2B ,120,21889,13
2016,2B ,121,223781,25
2016,2B ,122,29648,13
2016,2B ,130,468732,36
2016,2B ,131,676953,30
2016,2B ,132,381815,26
2016,2B ,133,234785,35
2016,2B ,134,129055,29
2016,2B ,135,597746,42
2016,2C ,140,39815,10
2016,2C ,141,6399,6
2016,2C ,142,69515,20
2016,2C ,143,125521,60
2016,2C ,144,19919,4
2016,2C ,150,171036,36
2016,2C ,151,290052,38
2016,2C ,152,387660,70
2016,2C ,153,64262,25
2016,2C ,160,542304,93
2016,2C ,161,135244,32
2016,2C ,162,790011,95
2016,2C ,163,57013,20
2016,2C ,170,212337,94
2016,2C ,171,122671,37
2016,2C ,173,41884,20
2016,2C ,174,31574,23
2016,2C ,181,330721,53
2016,2C ,182,294647,57
2016,2C ,183,37191,17
2016,2C ,184,102110,14
2016,3A ,185,675280,88
2016,3A ,190,375042,45
2016,3A ,200,626581,60
2016,3A ,210,459989,49
2016,3A ,220,566927,50
2016,3A ,230,245612,37
2016,3A ,232,71615,24
2016,3A ,240,706931,95
2016,3A ,242,186781,37
2016,3A ,250,1076616,116
2016,3A ,260,846874,92
2016,3A ,261,316637,49
2016,3A ,270,543674,94
2016,3A ,271,147067,38
2016,3A ,280,438773,55
2016,3A ,281,28425,11
2016,3B ,290,1283482,137
2016,3B ,300,470512,43
2016,3B ,310,131403,19
2016,3B ,320,299308,47
2016,3B ,330,251838,33
2016,3B ,340,173553,23
2016,4A ,350,228371,30
2016,4A ,360,346398,29
2016,4A ,370,40229,8
2016,4A ,380/395,83325,12
2016,4A ,Bering Sea,646933,52
2016,4B ,400,83374,9
2016,4B ,410,176148,14
2016,4B ,420,71898,8
2016,4B ,430,54176,6
2016,4B ,440,117668,8
2016,4B ,450/460/490,48241,5
2016,4B ,Bering Sea,532684,30
2016,4CDE,Bering Sea,1463106,80
2015,2A ,009,7143,9
2015,2A ,010,44950,48
2015,2A ,020,104120,115
2015,2A ,030,9636,9
2015,2A ,040,58230,54
2015,2A ,050,327286,268
2015,2B ,060,173116,23
2015,2B ,061,8349,3
2015,2B ,070,135752,21
2015,2B ,080,134891,37
2015,2B ,081,2038,3
2015,2B ,090,135632,39
2015,2B ,091,354851,45
2015,2B ,092,28506,11
2015,2B ,100,492856,38
2015,2B ,102,878967,68
2015,2B ,103,44146,13
2015,2B ,110,47017,16
2015,2B ,112,962337,56
2015,2B ,114,71896,20
2015,2B ,120,32450,16
2015,2B ,121,198919,32
2015,2B ,122,30008,12
2015,2B ,130,409534,41
2015,2B ,131,558752,28
2015,2B ,132,385791,26
2015,2B ,133,213613,34
2015,2B ,134,89976,22
2015,2B ,135,494298,35
2015,2C ,140,19917,6
2015,2C ,141,6471,6
2015,2C ,142,66478,27
2015,2C ,143,131544,61
2015,2C ,144,26314,7
2015,2C ,150,147249,29
2015,2C ,151,215445,33
2015,2C ,152,349648,67
2015,2C ,153,55400,20
2015,2C ,160,549245,100
2015,2C ,161,124534,34
2015,2C ,162,678726,87
2015,2C ,163,76285,18
2015,2C ,170,168249,79
2015,2C ,171,141210,47
2015,2C ,173,61744,22
2015,2C ,174,37432,28
2015,2C ,181,343536,50
2015,2C ,182,239872,50
2015,2C ,183,55733,19
2015,2C ,184,107570,15
2015,3A ,185,648159,91
2015,3A ,190,390663,40
2015,3A ,200,647169,60
2015,3A ,210,584189,50
2015,3A ,220,736796,50
2015,3A ,230,233204,34
2015,3A ,232,64714,16
2015,3A ,240,574109,76
2015,3A ,242,151752,30
2015,3A ,250,1307229,124
2015,3A ,260,632181,79
2015,3A ,261,368319,60
2015,3A ,270,639944,103
2015,3A ,271,150423,32
2015,3A ,280,540957,63
2015,3A ,281,51472,16
2015,3B ,290,1224477,132
2015,3B ,300,514460,47
2015,3B ,310,158944,31
2015,3B ,320,379010,54
2015,3B ,330,184383,26
2015,3B ,340,117531,23
2015,4A ,350,95099,19
2015,4A ,360,257155,24
2015,4A ,370,70579,11
2015,4A ,380,93144,10
2015,4A ,390/395,23892,4
2015,4A ,Bering Sea,786726,59
2015,4B ,400,113248,10
2015,4B ,410,82049,13
2015,4B ,420,59902,10
2015,4B ,430,34667,6
2015,4B ,440,186574,10
2015,4B ,450/470/490,68484,5
2015,4B ,Bering Sea,534476,29
2015,4CDE,Bering Sea,1177327,81
2014,2A ,005/007/009,1290,5
2014,2A ,010,38072,64
2014,2A ,020,102093,120
2014,2A ,030,2512,10
2014,2A ,040,38357,42
2014,2A ,050,327704,265
2014,2B ,060/061,114533,17
2014,2B ,070,97388,21
2014,2B ,080,98776,27
2014,2B ,081,4832,8
2014,2B ,090,137708,28
2014,2B ,091,279222,41
2014,2B ,092,35416,11
2014,2B ,100,697062,38
2014,2B ,102,760324,55
2014,2B ,103,57111,9
2014,2B ,110,72171,12
2014,2B ,112,845857,51
2014,2B ,114,101635,18
2014,2B ,120,38125,13
2014,2B ,121,97194,19
2014,2B ,122,24467,14
2014,2B ,130,429734,32
2014,2B ,131,763978,33
2014,2B ,132,429110,28
2014,2B ,133,189396,29
2014,2B ,134,39459,21
2014,2B ,135,462778,34
2014,2C ,140,32851,5
2014,2C ,141,18155,4
2014,2C ,142,63346,24
2014,2C ,143,124714,54
2014,2C ,144,17546,7
2014,2C ,150,127432,29
2014,2C ,151,178587,38
2014,2C ,152,289292,68
2014,2C ,153,83074,25
2014,2C ,160,494445,114
2014,2C ,161,134578,33
2014,2C ,162,597727,85
2014,2C ,163,61384,14
2014,2C ,170,176932,100
2014,2C ,171,120275,53
2014,2C ,173,46565,21
2014,2C ,174,42805,28
2014,2C ,181,294233,62
2014,2C ,182,220036,53
2014,2C ,183,38421,14
2014,2C ,184,110020,13
2014,3A ,185,644726,94
2014,3A ,190,346738,49
2014,3A ,200,692397,65
