"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1528","Bseo[58]",18365.556,4181.002,11417.783,17953.151,27612.651,FALSE,1,1,2559,0.22765452894538
"1529","Bseo[59]",18354.494,4291.775,11265.391,17961.635,27756.326,FALSE,1,1,3000,0.23382693088679
"1530","Bseo[60]",18371.743,4409.505,11130.69,17944.308,28103.607,FALSE,1,1,3000,0.240015604398559
"1531","Bseo[61]",18362.079,4523.851,10867.373,17931.819,28456.184,FALSE,1,1,3000,0.24636921559917
"1532","Bseo[62]",18374.979,4667.981,10656.709,17853.167,28716.926,FALSE,1,1,3000,0.254040072644437
"1533","Bseo[63]",18419,4795.269,10626.692,17893.9,29336.049,FALSE,1,1,3000,0.260343612573973
"1534","Bseo[64]",18425.937,4914.82,10390.993,17816.825,29609.983,FALSE,1,1,3000,0.266733789440396
"1535","Bseo[65]",18427.864,5030.908,10300.02,17934.427,29810.891,FALSE,1,1,2347,0.273005487776554
"1536","Bseo[66]",18424.841,5123.155,10097.2,17847.272,29944.946,FALSE,1,1.001,2004,0.278056944969023
"1537","Bseo[67]",18438.702,5237.82,9921.495,17808.643,30273.416,FALSE,1,1.001,1809,0.284066633323756
"1538","Bseo[68]",18437.185,5346.199,9687.095,17775.171,30460.421,FALSE,1,1,2353,0.289968289627728
"1539","Bseo[69]",18441.309,5483.792,9476.789,17773.376,30868.455,FALSE,1,1,2228,0.297364574282661
"1540","Bseo[70]",18431.726,5580.583,9278.764,17792.939,30895.661,FALSE,1,1,3000,0.302770505594538
"1541","Bseo[71]",18421.674,5673.011,9072.017,17827.284,31353.44,FALSE,1,1,3000,0.307953066588845
"1542","Bseo[72]",18399.787,5781.831,8877.484,17782.309,31238.795,FALSE,1,1,3000,0.314233583247458
"1543","Bseo[73]",18416.819,5915.474,8795.751,17892.326,31701.028,FALSE,1,1,2965,0.321199551344888
"1544","Bseo[74]",18416.726,6011.476,8468.763,17846.071,31638.246,FALSE,1,1,3000,0.326413934811215
"1545","Bseo[75]",18387.756,6078.863,8421.612,17834.689,31948.805,FALSE,1,1,3000,0.330592977196347
"1546","Bseo[76]",18374.802,6192.938,8202.268,17759.044,32247.77,FALSE,1,1,3000,0.33703427117201
"1547","Bseo[77]",18383.439,6295.832,8035.889,17763.823,32198.37,FALSE,1,1,3000,0.342473026945611
"1548","Bseo[78]",18371.542,6394.812,7973.955,17664.09,33003.419,FALSE,1,1,3000,0.348082485400518
"1549","Bseo[79]",18392.797,6513.63,7908.079,17751.856,32673.06,FALSE,1,1,3000,0.3541402648004
"1550","Bseo[80]",18391.457,6593.395,7798.837,17764.753,32802.247,FALSE,1,1,3000,0.358503135450334
"1551","Bseo[81]",18421.889,6717.527,7675.036,17772.329,33248.816,FALSE,1,1,3000,0.364649195313249
"1552","Bseo[82]",18398.739,6828.178,7392.728,17713.831,33622.483,FALSE,1,1,3000,0.371122064398
"1553","Bseo[83]",18393.04,6904.162,7256.551,17753.733,34012.83,FALSE,1,1,3000,0.375368182747387
"1554","Bseo[84]",18346.706,6970.334,7156.108,17783.357,34214.744,FALSE,1,1,3000,0.379922913682707
"1555","Bseo[85]",18316.638,7073.014,6899.337,17766.472,34304.365,FALSE,1,1.001,3000,0.386152415088402
"1556","Bseo[86]",18290.715,7138.834,6686.936,17721.409,34416.248,FALSE,1,1,3000,0.390298246952074
"1557","Bseo[87]",18279.914,7222.038,6518.024,17712.995,34657.132,FALSE,1,1.001,3000,0.395080523901808
"1558","Bseo[88]",18270.815,7293.618,6393.19,17698.403,34417.221,FALSE,1,1.001,3000,0.399195000332498
"1559","Bseo[89]",18247.142,7353.984,6351.902,17701.008,34424.631,FALSE,1,1.001,3000,0.403021141612204
"1560","Bseo[90]",18198.633,7405.108,6072.849,17703.786,34285.3,FALSE,1,1.001,3000,0.406904628495997
"1561","Bseo[91]",18202.849,7507.686,5965.109,17728.494,34471.731,FALSE,1,1.001,3000,0.412445656171734
"1562","Bseo[92]",18197.258,7589.447,5800.247,17785.739,34667.276,FALSE,1,1,3000,0.417065417218352
"1563","Bseo[93]",18188.578,7679.661,5616.661,17729.234,34698.165,FALSE,1,1,3000,0.422224376199173
