Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect_Number,Dive_Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_15_11-05-29.000.avi,11733,11:12:09,40329,,,582,817,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,lost bottom visual,BLB,BLB,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,12594,11:12:38,40358,,,593,825,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,12726,11:12:42,40362,,,578,827,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,lost bottom visual,BLB,BLB,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,12867,11:12:47,40367,,,590,830,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,15415,11:14:12,40452,,,576,827,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,15916,11:14:29,40469,,,593,839,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,26880,11:20:34,40834,,,592,829,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,27211,11:20:45,40845,,,603,844,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,43453,11:29:46,41386,,,568,813,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,43843,11:29:59,41399,,,593,835,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,59606,11:38:45,41925,,,598,834,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_16_08-22-19.000.avi,389,8:22:35,30155,,,618,857,QC,EricaEbert,70,N/A,2018,16,54,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
