"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"462","D[51]",261.18,84.287,136.525,248.384,467.809,FALSE,1,1,3000
"463","D[52]",259.089,82.466,136.751,246.116,454.459,FALSE,1,1.003,3000
"464","D[53]",249.465,77.302,129.539,238.898,428.359,FALSE,1,1,3000
"465","D[54]",223.336,71.96,114.959,212.114,393.656,FALSE,1,1,3000
"466","D[55]",267.927,80.679,146.174,256.32,461.143,FALSE,1,1.002,961
"467","D[56]",224.42,68.845,119.93,213.606,381.576,FALSE,1,1.001,3000
"468","D[57]",295.607,83.274,165.687,284.841,484.222,FALSE,1,1.001,3000
"469","D[58]",208.099,64.292,109.85,199.167,360.254,FALSE,1,1,3000
"470","D[59]",299.37,85.14,164.414,288.31,490.014,FALSE,1,1,3000
"471","D[60]",309.237,90.628,169.322,297.739,515.443,FALSE,1,1,3000
"472","D[61]",270.053,77.668,152.004,258.099,446.59,FALSE,1,1.003,1157
"473","D[62]",305.297,88.343,168.797,294.905,515.358,FALSE,1,1.002,928
"474","D[63]",266.949,80.129,144.517,256.508,447.596,FALSE,1,1.002,814
"475","D[64]",292.407,85.002,159.48,280.688,482.206,FALSE,1,1,3000
"476","D[65]",322.001,96.375,172.657,306.586,545.949,FALSE,1,1.001,3000
"477","D[66]",267.08,85.704,139.977,254.96,465.227,FALSE,1,1.001,3000
"478","D[67]",298.33,95.985,158.146,282.262,531.35,FALSE,1,1.001,2809
"479","D[68]",234.008,76.555,119.607,222.788,415.692,FALSE,1,1.003,764
"480","D[69]",298.781,82.351,170.941,287.893,484.221,FALSE,1,1,2147
"481","D[70]",301.517,83.542,169.282,290.958,493.746,FALSE,1,1.001,3000
"482","D[71]",323.663,92.538,180.759,313.356,532.542,FALSE,1,1,3000
"483","D[72]",404.228,108.244,232.505,391.312,658.302,FALSE,1,1.001,2629
"484","D[73]",359.673,95.951,205.68,349.07,573.315,FALSE,1,1.003,966
"485","D[74]",339.419,92.938,193.34,324.951,551.045,FALSE,1,1,3000
"486","D[75]",395.099,103.339,234.522,379.504,626.926,FALSE,1,1,3000
"487","D[76]",307.596,85.88,173.402,297.527,501.054,FALSE,1,1,3000
"488","D[77]",251.628,77.758,133.232,240.94,435.994,FALSE,1,1.003,950
"489","D[78]",371.369,98.393,212.684,361.577,593.46,FALSE,1,1.003,636
"490","D[79]",383.589,102.894,217.954,369.673,617.549,FALSE,1,1.001,1226
"491","D[80]",226.635,69.229,122.781,217.089,394.062,FALSE,1,1.001,3000
"492","D[81]",180.649,58.851,92.185,172.862,315.62,FALSE,1,1,3000
"493","D[82]",268.129,79.986,146.127,257.922,456.736,FALSE,1,1.002,911
"494","D[83]",244.245,75.134,127.998,233.746,415.24,FALSE,1,1,3000
"495","D[84]",191.568,61.677,97.087,182.313,339.233,FALSE,1,1.002,1495
"496","D[85]",183.693,59.897,94.823,173.449,329.905,FALSE,1,1.002,870
"497","D[86]",159.727,56.526,79.519,150.205,291.949,FALSE,1,1.001,2689
"498","D[87]",163.357,55.234,82.396,154.573,295.268,FALSE,1,1,3000
"499","D[88]",193.286,62.719,99.457,184.252,347.464,FALSE,1,1,3000
"500","D[89]",151.81,53.561,72.591,143.394,285.082,FALSE,1,1.002,3000
"501","D[90]",107.986,42.162,47.474,100.851,209.045,FALSE,1,1.001,2195
"502","D[91]",149.69,52.402,73.596,141.905,272.341,FALSE,1,1.001,1603
"503","D[92]",129.487,47.892,60.742,122.107,239.931,FALSE,1,1,3000
"504","D[93]",78.586,42.38,21.92,70.758,183.856,FALSE,1,1,3000
"505","D[94]",94.918,47.281,32.402,85.514,210.525,FALSE,1,1.004,1876
"506","D[95]",63.981,32.718,21.07,56.883,145.324,FALSE,1,1.001,2039
"507","D[96]",102.672,41.363,41.617,95.026,203.654,FALSE,1,1.001,2556
"508","D[97]",109.587,45.089,46.245,100.659,217.492,FALSE,1,1.002,1514
"509","D[98]",131.419,51.31,56.077,123.514,253.762,FALSE,1,1,3000
"510","D[99]",169.494,59.075,81.966,160.01,308.058,FALSE,1,1,3000
"511","D[100]",145.92,52.103,67.74,137.174,267.558,FALSE,1,1.004,944
"512","D[101]",173.717,59.951,80.751,164.855,314.657,FALSE,1,1,3000
"513","D[102]",114.637,60.592,22.127,106.315,253.557,FALSE,1,1,3000
"514","D[103]",154.523,67.706,51.716,145.065,314.68,FALSE,1,1,3000
"515","D[104]",103.512,56.055,20.757,95.518,234.611,FALSE,1,1,3000
"516","D[105]",82.884,59.538,1,74.866,221.59,FALSE,1,1.003,827
"517","D[106]",87.826,66.877,1,79.105,242.387,FALSE,1,1.002,861
"518","D[107]",67.301,64.424,1,52.243,223.697,FALSE,1,1,3000
"519","D[108]",92.439,52.723,13.365,84.146,217.952,FALSE,1,1,3000
"520","D[109]",79.776,35.881,22.973,75.344,163.609,FALSE,1,1.003,935
"521","D[110]",83.256,39.25,19.944,78.326,171.889,FALSE,1,1,3000
"522","D[111]",157.524,54.334,66.16,151.785,279.346,FALSE,1,1.002,1247
"523","D[112]",47.55,40.257,1,40.051,139.575,FALSE,1,1.002,2698
"524","D[113]",28,31.054,1,18.53,108.026,FALSE,1,1,3000
"525","D[114]",11.425,17.801,1,1,61.565,FALSE,1,1.001,1616
"526","D[115]",1.361,2.931,1,1,3.422,FALSE,1,1,3000
"527","D[116]",2.778,6.727,1,1,25.309,FALSE,1,1.006,3000
"528","D[117]",73.94,59.176,1,64.212,206.184,FALSE,1,1,3000
"529","D[118]",37.403,33.577,1,31.018,118.651,FALSE,1,1.001,2298
"530","D[119]",35.213,35.287,1,26.33,120.091,FALSE,1,1.001,1567
"531","D[120]",85.357,69.302,1,74.313,252.007,FALSE,1,1.002,1693
"532","D[121]",37.515,31.912,1,32.375,111.385,FALSE,1,1,3000
"533","D[122]",51.334,33.981,1,47.443,126.509,FALSE,1,1,3000
"534","D[123]",87.01,38.776,20.159,83.4,173.539,FALSE,1,1,3000
"535","D[124]",1.299,2.221,1,1,3.528,FALSE,1,1.013,2728
"536","D[125]",1.003,0.16,1,1,1,FALSE,1,1.291,3000
"537","D[126]",1.011,0.236,1,1,1,FALSE,1,1.039,3000
"538","D[127]",3.283,4.787,1,1,17.516,FALSE,1,1.003,1570
"539","D[128]",1.044,0.472,1,1,1,FALSE,1,1.011,3000
"540","D[129]",11.119,17.403,1,1,59.273,FALSE,1,1.001,3000
"541","D[130]",1.275,1.847,1,1,4.554,FALSE,1,1.001,3000
"542","D[131]",19.332,19.355,1,14.505,65.911,FALSE,1,1.001,3000
"543","D[132]",2.07,3.84,1,1,14.765,FALSE,1,1.007,3000
