"GFMU","Year","Average Weight","SD","#YE"
"SEO",1994,"-","-","-"
"SEO",1995,"-","-","-"
"SEO",1996,"-","-","-"
"SEO",1997,"-","-","-"
"SEO",1998,"-","-","-"
"SEO",1999,"-","-","-"
"SEO",2000,"-","-","-"
"SEO",2001,"-","-","-"
"SEO",2002,"-","-","-"
"SEO",2003,"-","-","-"
"SEO",2004,"-","-","-"
"SEO",2005,"-","-","-"
"SEO",2006,"-","-","-"
"SEO",2007,"-","-","-"
"SEO",2008,"-","-","-"
"SEO",2009,"-","-","-"
"SEO",2010,"-","-","-"
"SEO",2011,"-","-","-"
"SEO",2012,"-","-","-"
"SEO",2013,"-","-","-"
"SEO",2014,"-","-","-"
"SEO",2015,"-","-","-"
"SEO",2016,"-","-","-"
"SEO",2017,"-","-","-"
"SEO",2018,"-","-","-"
"SEO",2019,"-","-","-"
"SEO",2020,"-","-","-"
"SEO",2021,"-","-","-"
"SEO",2022,"3.321","1.355","62"
"SEO",2023,"-","-","-"
"SEO",2024,"-","-","-"
"SEO",2025,"-","-","-"
"SEO",2026,"-","-","-"
"SSEO",1981,"-","-","-"
"SSEO",1982,"-","-","-"
"SSEO",1983,"-","-","-"
"SSEO",1984,"-","-","-"
"SSEO",1985,"-","-","-"
"SSEO",1986,"-","-","-"
"SSEO",1987,"2.959","1.508","30"
"SSEO",1988,"3.409","1.535","282"
"SSEO",1989,"3.53","1.231","140"
"SSEO",1990,"-","-","-"
"SSEO",1991,"-","-","-"
"SSEO",1992,"3.155","1.786","29"
"SSEO",1993,"2.904","1.394","25"
"SSEO",1994,"4.372","1.588","52"
"SSEO",1995,"3.68","1.179","222"
"SSEO",1996,"3.272","1.35","1287"
"SSEO",1997,"3.089","1.197","522"
"SSEO",1998,"3.057","1.143","426"
"SSEO",1999,"3.028","1.24","328"
"SSEO",2000,"3.471","1.296","707"
"SSEO",2001,"3.268","1.114","221"
"SSEO",2002,"3.441","1.226","439"
"SSEO",2003,"3.378","1.207","165"
"SSEO",2004,"3.254","1.148","395"
"SSEO",2005,"-","-","-"
"SSEO",2006,"-","-","-"
"SSEO",2007,"-","-","-"
"SSEO",2008,"3.73","1.327","180"
"SSEO",2009,"3.531","1.318","170"
"SSEO",2010,"3.377","1.124","540"
"SSEO",2011,"3.509","1.304","249"
"SSEO",2012,"3.676","1.247","278"
"SSEO",2013,"3.535","1.286","559"
"SSEO",2014,"-","-","-"
"SSEO",2015,"-","-","-"
"SSEO",2016,"3.315","1.224","155"
"SSEO",2017,"4.587","1.309","31"
"SSEO",2018,"4.973","0.897","11"
"SSEO",2019,"3.493","1.25","553"
"SSEO",2020,"-","-","-"
"SSEO",2021,"4.192","1.125","46"
"SSEO",2022,"4.155","1.569","83"
"SSEO",2023,"-","-","-"
"SSEO",2024,"4.761","1.45","37"
"SSEO",2025,"4.013","1.303","644"
"SSEO",2026,"3.611","1.413","360"
