Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
11,2020,20200045,ALL,4198,11,3A,260,Gore Pt.,Standard Grid,1-Jul-20,Y,,58.166,-149.4962,58,58.1682,-149.5817,60,58.1672,-149.539,59,58.167,-149.533,44,49,677,379,8,8,99,7.95,683,,,,,,,,,,,
12,2020,20200046,ALL,4212,12,3A,260,Gore Pt.,Standard Grid,2-Jul-20,Y,,58.5197,-150.167,54,58.4777,-150.1677,47,58.4987,-150.1673,48,58.5,-150.167,7,23,95,150,8,8,99,7.95,491,,,,,,,,,,,
13,2020,20200047,ALL,4205,13,3A,260,Gore Pt.,Standard Grid,2-Jul-20,Y,,58.3538,-150.1667,30,58.312,-150.1702,28,58.3328,-150.1683,28,58.333,-150.167,2,2,23,18,8,6,99,6.36,595,,,,,,,,,,,
14,2020,20200048,ALL,4206,14,3A,260,Gore Pt.,Standard Grid,2-Jul-20,Y,,58.3352,-150.443,28,58.3348,-150.5233,32,58.335,-150.4832,30,58.333,-150.483,1,12,15,97,8,8,99,7.95,673,,,,,,,,,,,
15,2020,20200049,ALL,4219,15,3A,260,Gore Pt.,Standard Grid,3-Jul-20,Y,,58.6875,-150.4853,111,58.6492,-150.4837,111,58.6683,-150.4845,111,58.667,-150.483,31,13,478,119,8,8,99,7.95,516,,,,,,,,,,,
16,2020,20200050,ALL,4213,16,3A,260,Gore Pt.,Standard Grid,3-Jul-20,Y,,58.5197,-150.4852,52,58.4772,-150.4868,42,58.4985,-150.486,46,58.5,-150.483,4,27,71,167,8,8,99,7.95,652,,,,,,,,,,,
17,2020,20200051,ALL,4214,17,3A,260,Gore Pt.,Standard Grid,3-Jul-20,Y,,58.5182,-150.8003,65,58.478,-150.7993,48,58.498,-150.7998,53,58.5,-150.8,14,50,221,362,8,8,99,7.95,729,,,,,,,,,,,
18,2020,20200052,ALL,4226,18,3A,260,Gore Pt.,Standard Grid,4-Jul-20,Y,,58.8515,-150.8163,86,58.8137,-150.8178,103,58.8325,-150.817,95,58.833,-150.817,50,13,948,111,8,8,99,7.95,495,,,,,,,,,,,
19,2020,20200053,ALL,4221,20,3A,260,Gore Pt.,Standard Grid,4-Jul-20,Y,,58.6845,-151.1322,100,58.647,-151.1328,106,58.6658,-151.1325,103,58.667,-151.133,50,7,949,62,8,8,99,7.95,657,,,,,,,,,,,
20,2020,20200054,ALL,4220,19,3A,260,Gore Pt.,Standard Grid,4-Jul-20,Y,,58.6858,-150.8175,107,58.6473,-150.8167,111,58.6665,-150.817,109,58.667,-150.817,28,21,386,201,8,8,99,7.95,609,,,,,,,,,,,
21,2020,20200055,ALL,4233,21,3A,260,Gore Pt.,Standard Grid,8-Jul-20,Y,,59.0187,-151.1493,80,58.9833,-151.1518,85,59.001,-151.1507,81,59,-151.15,131,20,2706,168,8,8,99,7.95,919,,,,,,,,,,,
22,2020,20200056,ALL,4550,22,3A,260,Gore Pt.,Standard Grid,8-Jul-20,N,ST,59.1682,-151.504,14,59.1657,-151.4227,83,59.167,-151.4633,26,59.167,-151.467,50,19,1390,161,8,8,99,7.95,410,,,,,,,,,,,
23,2020,20200057,ALL,4238,23,3A,260,Gore Pt.,Standard Grid,9-Jul-20,Y,,59.1888,-151.1478,24,59.153,-151.1518,43,59.171,-151.1498,31,59.167,-151.15,60,30,1170,269,8,8,99,7.95,516,,,,,,,,,,,
24,2020,20200058,ALL,4237,24,3A,260,Gore Pt.,Standard Grid,9-Jul-20,Y,,59.1485,-150.8338,56,59.1867,-150.8323,76,59.1675,-150.8332,64,59.167,-150.833,49,59,845,473,8,8,99,7.95,639,,,,,,,,,,,
25,2020,20200059,ALL,4551,25,3A,260,Gore Pt.,Standard Grid,9-Jul-20,Y,,59.3482,-150.8322,89,59.3112,-150.8362,120,59.3297,-150.8342,111,59.333,-150.833,70,16,1960,138,8,8,99,7.95,733,,,,,,,,,,,
26,2020,20200060,ALL,4239,26,3A,250,Gore Pt.,Standard Grid,10-Jul-20,Y,,59.3522,-150.5187,159,59.3178,-150.518,116,59.335,-150.5183,139,59.333,-150.517,95,5,2729,48,8,8,99,7.95,533,,,,,,,,,,,
27,2020,20200061,ALL,4236,27,3A,260,Gore Pt.,Standard Grid,10-Jul-20,Y,,59.1848,-150.502,80,59.1463,-150.5007,63,59.1655,-150.5013,68,59.167,-150.5,66,37,1371,275,8,8,99,7.95,636,,,,,,,,,,,
28,2020,20200062,ALL,4235,28,3A,250,Gore Pt.,Standard Grid,10-Jul-20,Y,,59.1863,-150.1832,68,59.151,-150.1845,70,59.1687,-150.1838,67,59.167,-150.183,28,46,472,339,8,8,99,7.95,726,,,,,,,,,,,
29,2020,20200063,ALL,4222,29,3A,250,Gore Pt.,Standard Grid,11-Jul-20,Y,,58.8325,-149.4987,122,58.8338,-149.5717,125,58.8332,-149.5352,123,58.833,-149.533,20,3,411,26,8,8,99,7.95,470,,,,,,,,,,,
30,2020,20200064,ALL,4223,30,3A,250,Gore Pt.,Standard Grid,11-Jul-20,Y,,58.8337,-149.816,134,58.8368,-149.8873,129,58.8353,-149.8517,131,58.833,-149.85,28,2,492,17,8,8,99,7.95,538,,,,,,,,,,,
31,2020,20200065,ALL,4229,31,3A,250,Gore Pt.,Standard Grid,11-Jul-20,Y,,58.9988,-149.8167,125,58.9998,-149.8855,119,58.9993,-149.851,123,59,-149.85,45,2,852,18,8,8,99,7.95,584,,,,,,,,,,,
32,2020,20200066,ALL,4224,32,3A,260,Gore Pt.,Standard Grid,12-Jul-20,Y,,58.8353,-150.1335,93,58.8348,-150.2108,82,58.8352,-150.1722,88,58.833,-150.167,86,18,1440,143,8,8,99,7.95,523,,,,,,,,,,,
33,2020,20200067,ALL,4230,33,3A,250,Gore Pt.,Standard Grid,12-Jul-20,Y,,59.0002,-150.1522,109,59.001,-150.2288,101,59.0007,-150.1905,104,59,-150.183,80,10,1274,83,8,8,99,7.95,588,,,,,,,,,,,
34,2020,20200068,ALL,4231,34,3A,260,Gore Pt.,Standard Grid,12-Jul-20,Y,,59,-150.4647,68,59.002,-150.5377,64,59.001,-150.5012,65,59,-150.5,44,49,747,355,8,8,99,7.95,667,,,,,,,,,,,
35,2020,20200069,ALL,4225,35,3A,260,Gore Pt.,Standard Grid,13-Jul-20,Y,,58.8332,-150.4683,82,58.8333,-150.5483,102,58.8333,-150.5083,95,58.833,-150.5,84,17,1423,147,8,8,99,7.95,428,,,,,,,,,,,
36,2020,20200070,ALL,4232,36,3A,260,Gore Pt.,Standard Grid,13-Jul-20,Y,,58.999,-150.7997,92,59.0008,-150.8753,91,58.9998,-150.8375,90,59,-150.833,126,27,2169,223,8,8,99,7.95,537,,,,,,,,,,,
37,2020,20200088,KSU,4338,35,3A,281,Shelikof,Standard Grid,27-Jun-20,Y,,57.98,-153.6162,68,58.0207,-153.617,105,58.0003,-153.6165,89,58,-153.617,36,55,584,422,8,8,100,8.03,455,,,,,,,,,,,
38,2020,20200089,KSU,4558,36,3A,281,Shelikof,Standard Grid,28-Jun-20,Y,,57.8188,-153.9592,42,57.8478,-153.9068,29,57.8333,-153.933,41,57.833,-153.937,4,30,60,173,8,8,100,8.03,455,,,,,,,,,,,
39,2020,20200090,KSU,4557,37,3A,281,Shelikof,Standard Grid,28-Jun-20,Y,,57.6667,-153.8963,24,57.6668,-153.971,84,57.6667,-153.9337,84,57.666,-153.937,35,69,605,505,8,8,99,7.95,532,,,,,,,,,,,
40,2020,20200091,KSU,4556,38,3A,281,Shelikof,Standard Grid,28-Jun-20,Y,,57.6788,-154.2353,28,57.6543,-154.2988,23,57.6665,-154.2672,21,57.666,-154.272,25,112,336,743,8,8,99,7.95,660,,,,,,,,,,,
41,2020,20200092,KSU,4335,39,3A,281,Shelikof,Standard Grid,29-Jun-20,Y,,57.8135,-154.25,111,57.8535,-154.2498,113,57.8335,-154.25,112,57.833,-154.25,104,65,1677,574,8,8,100,8.03,522,,,,,,,,,,,
42,2020,20200093,KSU,4336,40,3A,281,Shelikof,Standard Grid,29-Jun-20,Y,,57.8133,-154.567,124,57.8532,-154.5672,128,57.8332,-154.5672,126,57.833,-154.567,131,61,2205,533,8,8,99,7.95,662,,,,,,,,,,,
43,2020,20200094,KSU,4332,41,3A,281,Shelikof,Standard Grid,29-Jun-20,Y,,57.6867,-154.5833,117,57.6472,-154.5825,119,57.6668,-154.583,118,57.667,-154.583,35,26,551,224,8,8,100,8.03,790,,,,,,,,,,,
44,2020,20200095,KSU,4331,42,3A,281,Shelikof,Standard Grid,30-Jun-20,Y,,57.5002,-154.9533,126,57.4998,-154.8798,134,57.5,-154.9167,128,57.5,-154.917,40,50,593,434,8,8,100,8.03,555,,,,,,,,,,,
45,2020,20200096,KSU,4333,43,3A,281,Shelikof,Standard Grid,30-Jun-20,Y,,57.687,-154.8998,130,57.6462,-154.9008,127,57.6667,-154.9003,128,57.667,-154.9,75,26,1288,242,8,8,100,8.03,643,,,,,,,,,,,
46,2020,20200097,KSU,4334,44,3A,281,Shelikof,Standard Grid,30-Jun-20,N,PS,57.647,-155.2172,159,57.6882,-155.2167,163,57.6675,-155.217,161,57.667,-155.217,78,60,1241,543,8,8,99,7.95,758,,,,,,,,,,,
47,2020,20200098,KSU,4337,45,3A,281,Shelikof,Standard Grid,1-Jul-20,Y,,57.8135,-154.8838,156,57.8542,-154.8833,150,57.8338,-154.8837,155,57.833,-154.883,88,69,1337,623,8,8,99,7.95,532,,,,,,,,,,,
48,2020,20200099,KSU,4560,46,3A,281,Shelikof,Standard Grid,1-Jul-20,Y,,57.9893,-154.9335,15,57.99,-154.859,16,57.9897,-154.8963,17,58,-154.883,58,56,1242,438,8,8,98,7.87,668,,,,,,,,,,,
49,2020,20200100,KSU,4561,47,3A,281,Shelikof,Standard Grid,1-Jul-20,Y,,58,-154.604,21,58.0002,-154.526,56,58,-154.565,31,58,-154.567,50,112,809,770,8,8,98,7.87,823,,,,,,,,,,,
50,2020,20200101,KSU,4339,48,3A,281,Shelikof,Standard Grid,2-Jul-20,Y,,58.02,-153.933,107,57.9802,-153.9325,107,58.0002,-153.9328,107,58,-153.933,97,40,1695,339,8,8,99,7.95,500,,,,,,,,,,,
51,2020,20200102,KSU,4340,49,3A,281,Shelikof,Standard Grid,2-Jul-20,Y,,57.9803,-154.2337,120,58.0207,-154.2338,137,58.0005,-154.2338,127,58,-154.233,98,85,1592,755,8,7,99,7.06,654,,,,,,,,,,,
52,2020,20200103,KSU,4562,50,3A,281,Shelikof,Standard Grid,2-Jul-20,Y,,58.1747,-154.2695,42,58.1595,-154.1977,47,58.1672,-154.2337,44,58.167,-154.233,98,147,2001,1088,8,8,100,8.03,763,,,,,,,,,,,
53,2020,20200104,KSU,4342,51,3A,271,Shelikof,Standard Grid,3-Jul-20,Y,,58.147,-153.633,108,58.1868,-153.6333,104,58.1668,-153.6332,105,58.167,-153.633,111,49,1865,438,8,8,98,7.87,500,,,,,,,,,,,
54,2020,20200105,KSU,4343,52,3A,281,Shelikof,Standard Grid,3-Jul-20,Y,,58.1467,-153.9498,113,58.1865,-153.9502,118,58.1665,-153.95,114,58.167,-153.95,176,126,2758,1114,8,8,100,8.03,625,,,,,,,,,,,
55,2020,20200106,KSU,4346,53,3A,271,Shelikof,Standard Grid,3-Jul-20,Y,,58.3135,-153.9668,70,58.3528,-153.9672,16,58.3332,-153.967,45,58.333,-153.967,91,109,1908,831,8,8,100,8.03,741,,,,,,,,,,,
56,2020,20200107,KSU,4581,54,3A,261,Shelikof,Standard Grid,6-Jul-20,Y,,60.3335,-151.8908,21,60.3332,-151.8137,23,60.3333,-151.8523,25,60.333,-151.85,3,0,58,0,8,6,100,6.02,476,,,,,,,,,,,
57,2020,20200108,KSU,4579,55,3A,261,Shelikof,Standard Grid,6-Jul-20,Y,,60.1448,-151.8105,14,60.132,-151.8992,22,60.1383,-151.8548,20,60.166,-151.85,0,0,0,0,8,8,99,7.95,634,,,,,,,,,,,
58,2020,20200109,KSU,4568,56,3A,261,Shelikof,Standard Grid,7-Jul-20,Y,,59.5002,-153.5057,11,59.5003,-153.4263,13,59.5003,-153.466,12,59.5,-153.462,37,8,779,63,8,8,100,8.03,503,,,,,,,,,,,
59,2020,20200110,KSU,4569,57,3A,261,Shelikof,Standard Grid,7-Jul-20,Y,,59.5,-153.1722,19,59.4995,-153.0917,21,59.4998,-153.1318,19,59.5,-153.133,80,29,1633,248,8,8,100,8.03,624,,,,,,,,,,,
60,2020,20200111,KSU,4369,58,3A,261,Shelikof,Standard Grid,7-Jul-20,Y,,59.354,-153.1327,25,59.3123,-153.1327,28,59.3332,-153.1327,27,59.333,-153.133,29,31,443,268,8,8,101,8.11,732,,,,,,,,,,,
61,2020,20200112,KSU,4365,59,3A,261,Shelikof,Standard Grid,8-Jul-20,Y,,59.1667,-153.473,23,59.1667,-153.39,24,59.1667,-153.4315,23,59.167,-153.433,143,45,3127,360,8,8,101,8.11,562,,,,,,,,,,,
62,2020,20200113,KSU,4364,60,3A,261,Shelikof,Standard Grid,8-Jul-20,Y,,59.1668,-153.1395,45,59.167,-153.0575,51,59.167,-153.0985,47,59.167,-153.1,26,48,594,350,8,8,99,7.95,692,,,,,,,,,,,
63,2020,20200114,KSU,4360,61,3A,261,Shelikof,Standard Grid,8-Jul-20,Y,,59.02,-153.0833,79,58.978,-153.0822,85,58.999,-153.0828,82,59,-153.083,99,35,1924,272,8,8,99,7.95,886,,,,,,,,,,,
64,2020,20200115,KSU,4355,62,3A,271,Shelikof,Standard Grid,9-Jul-20,Y,,58.8333,-153.1065,95,58.8333,-153.0298,87,58.8333,-153.0682,90,58.833,-153.067,107,43,2278,330,8,8,100,8.03,528,,,,,,,,,,,
65,2020,20200116,KSU,4354,63,3A,271,Shelikof,Standard Grid,9-Jul-20,Y,,58.8333,-152.7877,96,58.8338,-152.7132,107,58.8335,-152.7505,102,58.833,-152.75,79,47,1434,396,8,8,100,8.03,681,,,,,,,,,,,
66,2020,20200117,KSU,4359,64,3A,271,Shelikof,Standard Grid,9-Jul-20,Y,,59.02,-152.7658,89,58.9793,-152.7668,94,58.9997,-152.7663,91,59,-152.767,111,40,1952,335,8,8,100,8.03,770,,,,,,,,,,,
67,2020,20200118,KSU,4356,65,3A,260,Shelikof,Standard Grid,10-Jul-20,Y,,58.98,-151.8002,77,59.0203,-151.8005,93,59.0002,-151.8003,77,59,-151.8,112,87,2231,633,8,8,100,8.03,563,,,,,,,,,,,
68,2020,20200119,KSU,4357,66,3A,261,Shelikof,Standard Grid,10-Jul-20,Y,,58.9802,-152.1153,46,59.0197,-152.1165,91,59,-152.116,74,59,-152.117,71,102,1393,766,8,8,100,8.03,699,,,,,,,,,,,
69,2020,20200120,KSU,4361,67,3A,261,Shelikof,Standard Grid,10-Jul-20,Y,,59.1865,-152.1325,65,59.1453,-152.1333,82,59.1658,-152.133,76,59.167,-152.133,72,69,1433,532,8,8,100,8.03,781,,,,,,,,,,,
70,2020,20200121,KSU,4372,68,3A,261,Shelikof,Standard Grid,11-Jul-20,Y,,59.5003,-152.4427,29,59.5,-152.5217,32,59.5002,-152.4822,31,59.5,-152.483,31,51,725,376,8,8,100,8.03,495,,,,,,,,,,,
71,2020,20200122,KSU,4373,69,3A,261,Shelikof,Standard Grid,11-Jul-20,Y,,59.4998,-152.7767,34,59.5,-152.856,27,59.4998,-152.8163,29,59.5,-152.817,51,46,921,376,8,8,99,7.95,587,,,,,,,,,,,
72,2020,20200123,KSU,4571,70,3A,261,Shelikof,Standard Grid,11-Jul-20,Y,,59.6665,-152.8567,19,59.6663,-152.7787,19,59.6663,-152.8177,18,59.667,-152.817,29,12,717,100,8,8,100,8.03,687,,,,,,,,,,,
73,2020,20200124,KSU,4575,71,3A,261,Shelikof,Standard Grid,12-Jul-20,Y,,59.8132,-152.5002,22,59.8543,-152.4992,23,59.8338,-152.4997,22,59.833,-152.5,24,15,692,118,8,8,99,7.95,440,,,,,,,,,,,
74,2020,20200125,KSU,4576,72,3A,261,Shelikof,Standard Grid,12-Jul-20,Y,,59.9792,-152.5167,16,60.0203,-152.5163,29,59.9998,-152.5165,24,60,-152.517,6,1,209,6,8,8,100,8.03,547,,,,,,,,,,,
75,2020,20200126,KSU,4578,73,3A,261,Shelikof,Standard Grid,12-Jul-20,Y,,59.9797,-152.1837,41,60.0197,-152.1835,25,59.9997,-152.1837,35,60,-152.183,105,27,2325,216,8,8,100,8.03,665,,,,,,,,,,,
76,2020,20200127,KSU,4375,74,3A,261,Shelikof,Standard Grid,13-Jul-20,Y,,59.8505,-152.1623,27,59.8172,-152.2063,29,59.8338,-152.1843,27,59.833,-152.183,43,45,667,377,8,8,99,7.95,480,,,,,,,,,,,
77,2020,20200128,KSU,4572,75,3A,261,Shelikof,Standard Grid,13-Jul-20,Y,,59.6668,-152.109,19,59.6673,-152.19,20,59.667,-152.1495,19,59.667,-152.15,55,103,1039,770,8,8,100,8.03,561,,,,,,,,,,,
78,2020,20200129,KSU,4374,76,3A,261,Shelikof,Standard Grid,13-Jul-20,Y,,59.6668,-152.4597,43,59.6668,-152.5358,38,59.6668,-152.4977,43,59.667,-152.5,91,38,2012,311,8,8,100,8.03,702,,,,,,,,,,,
79,2020,20200130,KSU,4570,77,3A,261,Shelikof,Standard Grid,14-Jul-20,Y,,59.6512,-151.2338,28,59.6832,-151.1838,27,59.6672,-151.2088,29,59.666,-151.174,39,24,675,148,8,8,100,8.03,418,,,,,,,,,,,
80,2020,20200131,SEY,4058,1,3A,200,Yakutat,Standard Grid,29-Jun-20,Y,,59.1652,-140.0423,66,59.1663,-139.9662,66,59.1657,-140.0043,65,59.167,-140,3,0,77,0,8,8,99,7.95,485,,,,,,,,,,,
81,2020,20200132,SEY,4057,2,3A,200,Yakutat,Standard Grid,29-Jun-20,Y,,59.145,-139.6828,70,59.1847,-139.6835,79,59.1648,-139.6832,74,59.167,-139.683,7,6,136,50,8,8,99,7.95,600,,,,,,,,,,,
82,2020,20200133,SEY,4064,3,3A,200,Yakutat,Standard Grid,29-Jun-20,Y,,59.3128,-139.6668,95,59.3515,-139.6682,82,59.3322,-139.6675,89,59.333,-139.667,5,0,193,0,8,8,99,7.95,740,,,,,,,,,,,
83,2020,20200134,SEY,4053,4,3A,200,Yakutat,Standard Grid,30-Jun-20,Y,,59.0002,-139.982,73,58.9998,-140.0608,78,59,-140.0213,76,59,-140.017,54,41,1710,310,8,8,98,7.87,484,,,,,,,,,,,
84,2020,20200135,SEY,4054,5,3A,200,Yakutat,Standard Grid,30-Jun-20,Y,,59.0003,-140.3027,87,58.9998,-140.3752,89,59.0002,-140.339,88,59,-140.333,47,49,1569,371,8,8,98,7.87,652,,,,,,,,,,,
85,2020,20200136,SEY,4051,6,3A,200,Yakutat,Standard Grid,30-Jun-20,Y,,58.8333,-140.3703,106,58.833,-140.2947,104,58.8332,-140.3325,104,58.833,-140.333,74,56,2078,419,8,8,98,7.87,803,,,,,,,,,,,
86,2020,20200137,SEY,4052,7,3A,200,Yakutat,Standard Grid,1-Jul-20,Y,,58.8545,-140.6675,108,58.817,-140.6668,111,58.8358,-140.6672,108,58.833,-140.667,93,57,2150,435,8,8,99,7.95,505,,,,,,,,,,,
87,2020,20200138,SEY,4503,8,3A,200,Yakutat,Standard Grid,1-Jul-20,Y,,58.6822,-140.7055,224,58.6817,-140.6342,136,58.6818,-140.6698,195,58.667,-140.667,61,4,1373,35,8,8,98,7.87,672,,,,,,,,,,,
88,2020,20200139,SEY,4504,9,3A,200,Yakutat,Standard Grid,1-Jul-20,Y,,58.6667,-140.3703,152,58.6672,-140.296,120,58.6668,-140.3332,134,58.667,-140.333,154,21,2952,175,8,8,98,7.87,873,,,,,,,,,,,
89,2020,20200140,SEY,4059,10,3A,200,Yakutat,Standard Grid,2-Jul-20,Y,,59.1672,-140.2887,71,59.169,-140.3623,72,59.1682,-140.3255,72,59.167,-140.333,62,35,1660,253,8,8,97,7.79,475,,,,,,,,,,,
90,2020,20200141,SEY,4060,11,3A,200,Yakutat,Standard Grid,2-Jul-20,Y,,59.1663,-140.6267,83,59.1657,-140.7032,87,59.166,-140.665,84,59.167,-140.65,28,49,729,372,8,8,97,7.79,610,,,,,,,,,,,
91,2020,20200142,SEY,4067,12,3A,200,Yakutat,Standard Grid,2-Jul-20,Y,,59.333,-140.6848,82,59.3333,-140.6097,79,59.3332,-140.6473,81,59.333,-140.65,23,13,632,92,8,8,98,7.87,789,,,,,,,,,,,
92,2020,20200143,SEY,4075,13,3A,200,Yakutat,Standard Grid,3-Jul-20,Y,,59.5203,-140.9845,152,59.483,-140.9832,169,59.5017,-140.9838,162,59.5,-140.983,16,2,266,20,8,8,99,7.95,473,,,,,,,,,,,
93,2020,20200144,SEY,4074,14,3A,200,Yakutat,Standard Grid,3-Jul-20,Y,,59.5002,-140.687,160,59.4997,-140.6103,153,59.4998,-140.6487,156,59.5,-140.65,25,2,517,18,8,8,99,7.95,604,,,,,,,,,,,
94,2020,20200145,SEY,4512,15,3A,200,Yakutat,Standard Grid,3-Jul-20,Y,,59.6673,-140.6158,27,59.6668,-140.693,30,59.6672,-140.6545,28,59.667,-140.65,29,24,563,169,8,8,98,7.87,721,,,,,,,,,,,
95,2020,20200146,SEY,4065,16,3A,200,Yakutat,Standard Grid,4-Jul-20,Y,,59.3153,-140.0002,88,59.3558,-139.9998,95,59.3357,-140,92,59.333,-140,3,0,57,0,8,8,96,7.71,467,,,,,,,,,,,
96,2020,20200147,SEY,4066,17,3A,200,Yakutat,Standard Grid,4-Jul-20,Y,,59.3328,-140.2935,73,59.333,-140.3708,71,59.3328,-140.3322,72,59.333,-140.333,39,59,931,423,8,8,96,7.71,597,,,,,,,,,,,
97,2020,20200148,SEY,4073,18,3A,200,Yakutat,Standard Grid,4-Jul-20,Y,,59.4807,-140.3168,135,59.521,-140.3175,119,59.5008,-140.3172,126,59.5,-140.317,7,0,156,0,8,8,100,8.03,720,,,,,,,,,,,
98,2020,20200149,SEY,4515,19,3A,200,Yakutat,Standard Grid,5-Jul-20,Y,,59.815,-139.6507,28,59.8543,-139.6503,35,59.8347,-139.6505,35,59.833,-139.652,123,32,4237,230,8,8,99,7.95,625,,,,,,,,,,,
99,2020,20200150,SEY,4079,20,3A,200,Yakutat,Standard Grid,5-Jul-20,Y,,59.6665,-139.9475,75,59.6672,-140.0217,63,59.6668,-139.9845,74,59.667,-139.983,77,45,2240,373,8,8,99,7.95,785,,,,,,,,,,,
100,2020,20200151,SEY,4072,21,3A,200,Yakutat,Standard Grid,5-Jul-20,Y,,59.4997,-139.9657,51,59.4993,-140.0467,76,59.4995,-140.0062,63,59.5,-140,0,0,0,0,8,8,98,7.87,912,,,,,,,,,,,
101,2020,20200152,SEY,4055,22,3A,200,Yakutat,Standard Grid,8-Jul-20,Y,,58.9992,-140.6182,99,58.9995,-140.6965,104,58.9993,-140.6573,102,59,-140.65,34,26,893,203,8,8,98,7.56,482,,,,,,,,,,,
102,2020,20200153,SEY,4056,23,3A,200,Yakutat,Standard Grid,8-Jul-20,Y,,58.9998,-140.9467,107,59,-141.0228,111,58.9998,-140.9848,109,59,-140.983,111,57,2444,407,8,8,97,7.79,623,,,,,,,,,,,
103,2020,20200154,SEY,4505,24,3A,200,Yakutat,Standard Grid,8-Jul-20,N,DS,58.8578,-140.9517,127,58.816,-140.9508,225,58.837,-140.9512,171,58.834,-140.983,76,4,1635,36,8,8,99,7.95,780,,,,,,,,,,,
104,2020,20200155,SEY,4061,25,3A,200,Yakutat,Standard Grid,9-Jul-20,Y,,59.1497,-140.9827,106,59.1887,-140.9845,102,59.1692,-140.9835,103,59.167,-140.983,35,23,792,176,8,8,99,7.95,498,,,,,,,,,,,
105,2020,20200156,SEY,4068,26,3A,200,Yakutat,Standard Grid,9-Jul-20,Y,,59.3335,-140.9452,91,59.3333,-141.0248,91,59.3335,-140.985,91,59.333,-140.983,18,11,346,84,8,8,99,7.95,649,,,,,,,,,,,
