Row number,Year,Stlkey,Vessel code,Station,Setno,Gear,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
42,2023,20230287,BDP,4021,42,Fixed Hook,3A,185,Fairweather,Standard Grid,23-Jun-23,Y,,58.4523,-137.5017,97,58.4805,-137.4998,75,58.4665,-137.5008,85,58.5,-137.467,0,0,0,0,6,6,100,6.02,590,,,,,,,,,,,
43,2023,20230288,BDP,4022,43,Fixed Hook,3A,185,Fairweather,Standard Grid,23-Jun-23,Y,,58.4997,-137.7432,90,58.5003,-137.7948,85,58.5,-137.769,86,58.5,-137.783,5,2,101,15,6,6,98,5.9,689,,,,,,,,,,,
44,2023,20230289,BDP,4015,44,Fixed Hook,3A,185,Fairweather,Standard Grid,23-Jun-23,Y,,58.3555,-137.804,97,58.3263,-137.8002,94,58.3408,-137.802,96,58.333,-137.8,1,0,72,0,6,6,99,5.96,777,,,,,,,,,,,
45,2023,20230290,BDP,4024,45,Fixed Hook,3A,190,Fairweather,Standard Grid,24-Jun-23,Y,,58.4995,-138.4467,64,58.5002,-138.389,65,58.4998,-138.4178,64,58.5,-138.433,5,37,176,270,6,6,99,5.96,509,,,,,,,,,,,
46,2023,20230291,BDP,4023,46,Fixed Hook,3A,190,Fairweather,Standard Grid,24-Jun-23,Y,,58.5003,-138.1592,72,58.5,-138.1033,76,58.5002,-138.1313,73,58.5,-138.117,0,0,0,0,6,6,98,5.9,596,,,,,,,,,,,
47,2023,20230292,BDP,4016,47,Fixed Hook,3A,185,Fairweather,Standard Grid,24-Jun-23,Y,,58.3242,-138.1163,71,58.3552,-138.117,69,58.3397,-138.1167,70,58.333,-138.117,0,4,0,33,6,6,99,5.96,675,,,,,,,,,,,
48,2023,20230293,BDP,4017,48,Fixed Hook,3A,190,Fairweather,Standard Grid,24-Jun-23,Y,,58.328,-138.4337,72,58.358,-138.4338,72,58.343,-138.4338,72,58.333,-138.433,4,1,53,10,6,6,99,5.96,749,,,,,,,,,,,
49,2023,20230294,BDP,4011,49,Fixed Hook,3A,185,Fairweather,Standard Grid,25-Jun-23,Y,,58.1433,-138.4505,92,58.1737,-138.4502,88,58.1585,-138.4503,91,58.167,-138.45,13,8,302,57,6,6,99,5.96,498,,,,,,,,,,,
50,2023,20230295,BDP,4010,50,Fixed Hook,3A,185,Fairweather,Standard Grid,25-Jun-23,Y,,58.1463,-138.1332,81,58.1773,-138.1338,82,58.1618,-138.1335,81,58.167,-138.133,5,3,91,21,6,6,100,6.02,592,,,,,,,,,,,
51,2023,20230296,BDP,4501,51,Fixed Hook,3A,185,Fairweather,Standard Grid,25-Jun-23,Y,,57.9913,-138.1335,211,58.0222,-138.1333,114,58.0067,-138.1335,143,58,-138.133,4,3,131,24,6,6,98,5.9,671,,,,,,,,,,,
52,2023,20230357,BDP,3215,52,Fixed Hook,2C,160,Ommaney,Standard Grid,28-Jun-23,Y,,55.9813,-135.47,255,55.9975,-135.4925,260,55.9895,-135.4813,253,56,-135.515,10,0,238,0,4,4,99,3.98,525,,,,,,,,,,,
53,2023,20230358,BDP,3070,53,Fixed Hook,2C,160,Ommaney,Standard Grid,28-Jun-23,Y,,55.994,-135.2028,192,56.0165,-135.2533,207,56.0053,-135.2282,203,56,-135.217,16,10,415,73,8,8,98,7.87,635,,,,,,,,,,,
54,2023,20230359,BDP,3064,54,Fixed Hook,2C,150,Ommaney,Standard Grid,28-Jun-23,Y,,55.8267,-135.2115,126,55.8617,-135.2417,114,55.8442,-135.2267,119,55.833,-135.217,128,59,"3,067",407,8,8,99,7.95,731,,,,,,,,,,,
55,2023,20230360,BDP,3054,55,Fixed Hook,2C,150,Ommaney,Standard Grid,29-Jun-23,Y,,55.4673,-134.9012,135,55.5068,-134.9007,160,55.4872,-134.9008,154,55.5,-134.9,101,23,"2,282",157,8,8,99,7.95,569,,,,,,,,,,,
56,2023,20230361,BDP,3053,56,Fixed Hook,2C,150,Ommaney,Standard Grid,29-Jun-23,Y,,55.4675,-134.6092,109,55.504,-134.6178,112,55.4857,-134.6135,111,55.5,-134.617,75,60,"1,965",413,8,8,99,7.95,674,,,,,,,,,,,
57,2023,20230362,BDP,3050,57,Fixed Hook,2C,150,Ommaney,Standard Grid,29-Jun-23,Y,,55.3265,-134.5997,114,55.3662,-134.6007,110,55.3463,-134.6002,110,55.333,-134.6,111,34,"2,763",235,8,8,99,7.95,749,,,,,,,,,,,
58,2023,20230363,BDP,3208,58,Fixed Hook,2C,150,Ommaney,Standard Grid,30-Jun-23,Y,,55.1352,-134.2618,136,55.1523,-134.278,204,55.1437,-134.2698,180,55.167,-134.3,11,1,415,8,4,4,98,3.93,491,,,,,,,,,,,
59,2023,20230364,BDP,3044,59,Fixed Hook,2C,140,Ommaney,Standard Grid,30-Jun-23,Y,,54.9923,-134.297,116,55.0313,-134.3147,119,55.0118,-134.3058,118,55,-134.3,94,22,"2,367",169,8,8,98,7.87,594,,,,,,,,,,,
60,2023,20230365,BDP,3043,60,Fixed Hook,2C,140,Ommaney,Standard Grid,30-Jun-23,Y,,54.9885,-134.012,80,55.0258,-134.0297,87,55.0072,-134.0208,85,55,-134.017,149,65,"3,041",537,8,8,99,7.95,723,,,,,,,,,,,
61,2023,20230366,BDP,3046,61,Fixed Hook,2C,150,Ommaney,Standard Grid,1-Jul-23,Y,,55.155,-134.0158,94,55.1932,-134.0175,94,55.1742,-134.0167,94,55.167,-134.017,72,47,"1,244",338,8,8,98,7.87,539,,,,,,,,,,,
62,2023,20230367,BDP,3048,62,Fixed Hook,2C,150,Ommaney,Standard Grid,1-Jul-23,Y,,55.3332,-134.0005,64,55.3332,-134.0683,71,55.3332,-134.0345,67,55.333,-134.017,39,157,636,"1,106",8,8,98,7.87,668,,,,,,,,,,,
63,2023,20230368,BDP,3049,63,Fixed Hook,2C,150,Ommaney,Standard Grid,1-Jul-23,Y,,55.3203,-134.3223,103,55.3572,-134.3073,101,55.3387,-134.3148,101,55.333,-134.317,54,34,"1,349",271,8,8,99,7.95,791,,,,,,,,,,,
64,2023,20230369,BDP,3051,64,Fixed Hook,2C,151,Ommaney,Standard Grid,2-Jul-23,Y,,55.4992,-133.9933,51,55.5013,-134.0638,53,55.5002,-134.0287,51,55.5,-134.017,55,117,"1,692",766,8,8,98,7.87,510,,,,,,,,,,,
65,2023,20230370,BDP,3052,65,Fixed Hook,2C,150,Ommaney,Standard Grid,2-Jul-23,Y,,55.4998,-134.2648,80,55.5005,-134.3342,95,55.5002,-134.2995,88,55.5,-134.317,70,66,"1,127",531,8,8,98,7.87,629,,,,,,,,,,,
66,2023,20230371,BDP,3056,66,Fixed Hook,2C,150,Ommaney,Standard Grid,2-Jul-23,Y,,55.6397,-134.3173,114,55.6792,-134.3172,109,55.6595,-134.3173,113,55.667,-134.317,50,24,947,174,8,8,99,7.95,755,,,,,,,,,,,
67,2023,20230372,BDP,3057,67,Fixed Hook,2C,150,Ommaney,Standard Grid,3-Jul-23,Y,,55.6675,-134.5958,113,55.6662,-134.6663,110,55.6668,-134.6312,111,55.667,-134.617,127,12,"2,657",94,8,8,98,7.87,514,,,,,,,,,,,
68,2023,20230373,BDP,3058,68,Fixed Hook,2C,150,Ommaney,Standard Grid,3-Jul-23,Y,,55.667,-134.8678,108,55.6667,-134.9358,108,55.6668,-134.9018,109,55.667,-134.917,58,30,"1,359",250,8,8,98,7.87,646,,,,,,,,,,,
69,2023,20230374,BDP,3063,69,Fixed Hook,2C,150,Ommaney,Standard Grid,3-Jul-23,Y,,55.8112,-134.917,104,55.8528,-134.9153,94,55.832,-134.9162,101,55.833,-134.917,68,47,"1,931",353,8,8,99,7.95,774,,,,,,,,,,,
70,2023,20230375,DAC,4239,1,Snap,3A,250,Gore Pt.,Standard Grid,22-Jun-23,N,GI,59.3187,-150.5193,104,59.3393,-150.5253,160,59.329,-150.5223,148,59.333,-150.517,3,3,56,22,3,3,60,1.81,127,,,,,,,,,,,
71,2023,20230376,DAC,4239,2,Snap,3A,250,Gore Pt.,Standard Grid,22-Jun-23,Y,,59.3172,-150.5198,113,59.347,-150.5175,152,59.3322,-150.5187,137,59.333,-150.517,17,18,393,128,6,6,97,5.84,493,,,,,,,,,,,
72,2023,20230377,DAC,4551,3,Snap,3A,260,Gore Pt.,Standard Grid,22-Jun-23,Y,,59.3068,-150.8518,120,59.3358,-150.848,89,59.3213,-150.85,94,59.333,-150.833,19,20,648,142,6,6,99,5.96,593,,,,,,,,,,,
73,2023,20230378,DAC,4235,4,Snap,3A,250,Gore Pt.,Standard Grid,23-Jun-23,Y,,59.1835,-150.1947,68,59.1522,-150.193,71,59.1678,-150.1938,67,59.167,-150.183,9,35,142,230,6,6,100,6.02,456,,,,,,,,,,,
74,2023,20230379,DAC,4231,5,Snap,3A,260,Gore Pt.,Standard Grid,23-Jun-23,Y,,59.0173,-150.5082,63,58.9865,-150.5102,67,59.0018,-150.5092,65,59,-150.5,18,96,272,626,6,6,99,5.96,632,,,,,,,,,,,
75,2023,20230380,DAC,4236,6,Snap,3A,260,Gore Pt.,Standard Grid,24-Jun-23,Y,,59.183,-150.5103,75,59.1525,-150.5117,63,59.1678,-150.511,67,59.167,-150.5,17,41,353,284,6,6,98,5.9,512,,,,,,,,,,,
76,2023,20230381,DAC,4237,7,Snap,3A,260,Gore Pt.,Standard Grid,24-Jun-23,Y,,59.1867,-150.8465,65,59.1555,-150.8427,60,59.1712,-150.8445,55,59.167,-150.833,28,101,436,720,6,6,99,5.96,579,,,,,,,,,,,
77,2023,20230382,DAC,4232,8,Snap,3A,260,Gore Pt.,Standard Grid,24-Jun-23,Y,,59.0163,-150.8478,87,58.985,-150.8458,84,59.0007,-150.8468,87,59,-150.833,36,32,545,240,6,6,99,5.96,690,,,,,,,,,,,
78,2023,20230383,DAC,4550,9,Snap,3A,260,Gore Pt.,Standard Grid,26-Jun-23,Y,,59.1837,-151.4677,20,59.153,-151.4657,16,59.1683,-151.4667,19,59.167,-151.467,47,61,997,465,6,6,98,5.9,610,,,,,,,,,,,
79,2023,20230384,DAC,4238,10,Snap,3A,260,Gore Pt.,Standard Grid,26-Jun-23,Y,,59.1802,-151.1493,25,59.1492,-151.1508,42,59.1647,-151.1502,33,59.167,-151.15,51,99,828,724,6,6,98,5.9,690,,,,,,,,,,,
80,2023,20230385,DAC,4233,11,Snap,3A,260,Gore Pt.,Standard Grid,26-Jun-23,Y,,59.0162,-151.149,78,58.984,-151.1515,84,59.0002,-151.1503,78,59,-151.15,42,69,694,519,6,6,99,5.96,782,,,,,,,,,,,
81,2023,20230386,DAC,4234,12,Snap,3A,260,Gore Pt.,Standard Grid,27-Jun-23,Y,,59.017,-151.4675,78,58.987,-151.469,62,59.002,-151.4682,70,59,-151.467,22,43,521,306,6,6,98,5.9,568,,,,,,,,,,,
82,2023,20230387,DAC,4228,13,Snap,3A,260,Gore Pt.,Standard Grid,27-Jun-23,Y,,58.8493,-151.4673,71,58.8208,-151.4692,60,58.8352,-151.4683,65,58.833,-151.467,9,63,140,423,6,6,99,5.96,616,,,,,,,,,,,
83,2023,20230388,DAC,4227,14,Snap,3A,260,Gore Pt.,Standard Grid,27-Jun-23,Y,,58.8497,-151.1337,90,58.8183,-151.1333,68,58.834,-151.1335,78,58.833,-151.133,15,97,239,656,6,6,99,5.96,722,,,,,,,,,,,
84,2023,20230389,DAC,4226,15,Snap,3A,260,Gore Pt.,Standard Grid,28-Jun-23,Y,,58.8522,-150.8182,85,58.8225,-150.8168,103,58.8373,-150.8175,94,58.833,-150.817,6,12,74,88,6,6,99,5.96,517,,,,,,,,,,,
85,2023,20230390,DAC,4220,16,Snap,3A,260,Gore Pt.,Standard Grid,28-Jun-23,Y,,58.6813,-150.8158,106,58.6505,-150.818,112,58.6658,-150.817,109,58.667,-150.817,18,12,243,92,6,6,98,5.9,613,,,,,,,,,,,
86,2023,20230391,DAC,4221,17,Snap,3A,260,Gore Pt.,Standard Grid,28-Jun-23,Y,,58.6873,-151.1338,100,58.6565,-151.1333,106,58.6718,-151.1337,105,58.667,-151.133,4,10,65,73,6,6,100,6.02,706,,,,,,,,,,,
87,2023,20230392,DAC,4225,18,Snap,3A,260,Gore Pt.,Standard Grid,29-Jun-23,Y,,58.849,-150.4985,81,58.8175,-150.5007,99,58.8332,-150.4997,91,58.833,-150.5,21,12,353,79,6,6,98,5.9,498,,,,,,,,,,,
88,2023,20230393,DAC,4219,19,Snap,3A,260,Gore Pt.,Standard Grid,29-Jun-23,Y,,58.6843,-150.4827,112,58.6542,-150.484,112,58.6693,-150.4833,111,58.667,-150.483,8,12,129,96,6,6,98,5.9,585,,,,,,,,,,,
89,2023,20230394,DAC,4218,20,Snap,3A,260,Gore Pt.,Standard Grid,29-Jun-23,Y,,58.6842,-150.1667,71,58.6538,-150.1665,66,58.669,-150.1665,68,58.667,-150.167,22,34,352,231,6,6,99,5.96,650,,,,,,,,,,,
90,2023,20230432,PEN,3204,87,Fixed Hook,2C,142,Charlotte,Standard Grid,6-Jul-23,Y,,55.02,-130.2218,26,54.9862,-130.2543,53,55.0032,-130.2382,49,54.999,-130.254,9,3,228,22,8,8,99,7.95,953,,,,,,,,,,,
91,2023,20230434,VNI,3031,58,Fixed Hook,2C,143,Ketchikan,Standard Grid,4-Jul-23,Y,,55.1853,-131.1005,98,55.1483,-131.0957,83,55.1668,-131.0982,88,55.167,-131.1,7,12,278,68,8,8,100,8.03,464,,,,,,,,,,,
92,2023,20230435,VNI,3027,59,Fixed Hook,2C,143,Ketchikan,Standard Grid,4-Jul-23,Y,,54.9993,-131.0788,150,54.9993,-131.1458,124,54.9993,-131.1123,130,55,-131.1,14,8,518,60,8,8,100,8.03,590,,,,,,,,,,,
93,2023,20230436,VNI,3207,60,Fixed Hook,2C,143,Ketchikan,Standard Grid,4-Jul-23,Y,,54.9983,-131.4237,47,54.9993,-131.3538,32,54.9988,-131.3887,30,55,-131.393,9,9,294,66,8,8,99,7.95,692,,,,,,,,,,,
94,2023,20230437,VNI,3028,61,Fixed Hook,2C,143,Ketchikan,Standard Grid,5-Jul-23,Y,,55.0163,-131.6833,83,54.975,-131.6802,137,54.9957,-131.6817,118,55,-131.683,16,8,376,40,8,8,99,7.95,468,,,,,,,,,,,
95,2023,20230438,VNI,3206,62,Fixed Hook,2C,143,Ketchikan,Standard Grid,5-Jul-23,Y,,54.9827,-131.9583,216,55.0162,-131.9598,210,54.9995,-131.9592,212,55,-131.974,1,0,33,0,8,8,100,8.03,644,,,,,,,,,,,
96,2023,20230439,VNI,3032,63,Fixed Hook,2C,143,Ketchikan,Standard Grid,5-Jul-23,Y,,55.1653,-131.7002,26,55.1668,-131.6325,58,55.166,-131.6663,59,55.167,-131.683,13,28,303,172,8,8,99,7.95,731,,,,,,,,,,,
97,2023,20230440,VNI,3209,64,Fixed Hook,2C,143,Ketchikan,Standard Grid,6-Jul-23,Y,,55.1673,-131.9763,37,55.1667,-131.9095,197,55.167,-131.943,117,55.167,-131.967,12,7,515,41,8,8,100,8.03,465,,,,,,,,,,,
98,2023,20230441,VNI,3035,65,Fixed Hook,2C,143,Ketchikan,Standard Grid,6-Jul-23,Y,,55.3327,-131.9445,215,55.3337,-132.0057,235,55.3332,-131.9752,224,55.333,-131.967,3,0,92,0,8,8,99,7.95,565,,,,,,,,,,,
99,2023,20230442,VNI,3036,66,Fixed Hook,2C,143,Ketchikan,Standard Grid,7-Jul-23,Y,,55.4842,-131.9315,150,55.4862,-132.001,220,55.4852,-131.9662,148,55.483,-131.967,12,2,441,8,8,8,99,7.95,439,,,,,,,,,,,
