Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
46,2021,20210077,KSU,4245,6,3A,260,Portlock,Standard Grid,31-May-21,Y,,57.6857,-150.1492,100,57.6443,-150.161,136,57.665,-150.155,116,57.667,-150.15,84,59,1177.00,498.00,8,8,100,8.03,821,57.6823,-150.1432,183,5.1721,173,7.892,33.529,,2.7007,,
47,2021,20210078,KSU,4260,7,3A,260,Portlock,Standard Grid,1-Jun-21,Y,,57.98,-149.8497,135,58.0213,-149.8502,127,58.0007,-149.8498,127,58,-149.85,17,18,236.00,163.00,8,8,100,8.03,503,58.0307,-149.8493,232,5.3358,148,7.962,33.397,,3.2371,,
48,2021,20210079,KSU,4259,8,3A,260,Portlock,Standard Grid,1-Jun-21,Y,,57.9797,-149.5337,73,58.0173,-149.534,90,57.9985,-149.5338,80,58,-149.533,35,34,483.00,263.00,8,8,100,8.03,594,57.9808,-149.5372,135,5.3443,120,8.003,33.309,,3.6564,,
49,2021,20210080,KSU,4198,9,3A,260,Gore Pt.,Standard Grid,2-Jun-21,Y,,58.1667,-149.4965,58,58.1667,-149.5757,61,58.1667,-149.5362,60,58.167,-149.533,4,13,64.00,78.00,8,8,99,7.95,469,,,,,,,,,,,
50,2021,20210081,KSU,4199,10,3A,260,Gore Pt.,Standard Grid,2-Jun-21,Y,,58.1668,-149.8117,75,58.1672,-149.8897,77,58.167,-149.8507,76,58.167,-149.85,38,37,526.00,299.00,8,8,100,8.03,600,58.1645,-149.813,139,5.4985,129,8.065,33.079,,4.3921,,
51,2021,20210082,KSU,4204,11,3A,260,Gore Pt.,Standard Grid,2-Jun-21,Y,,58.3132,-149.85,41,58.3532,-149.8502,46,58.3332,-149.8502,43,58.333,-149.85,7,40,102.00,285.00,8,8,100,8.03,716,58.3137,-149.8548,73,5.4055,61,8.148,32.657,,5.2808,,
52,2021,20210083,KSU,4269,12,3A,260,Portlock,Standard Grid,3-Jun-21,Y,,58.1663,-150.129,81,58.1667,-150.2075,79,58.1665,-150.1683,80,58.167,-150.167,40,8,679.00,70.00,8,8,100,8.03,491,58.1642,-150.13251,146,5.4221,138,8.092,32.922,,4.8045,,
53,2021,20210084,KSU,4205,13,3A,260,Gore Pt.,Standard Grid,3-Jun-21,Y,,58.3333,-150.1278,29,58.3333,-150.205,29,58.3333,-150.1663,29,58.333,-150.167,7,37,99.00,285.00,8,4,100,3.51,561,58.3267,-150.12399,53,6.2751,40,8.392,32.19,,7.2235,,
54,2021,20210085,KSU,4206,14,3A,260,Gore Pt.,Standard Grid,3-Jun-21,Y,,58.3333,-150.4438,30,58.3333,-150.5203,32,58.3333,-150.482,31,58.333,-150.483,3,30,45.00,209.00,8,8,100,8.03,674,58.3308,-150.44321,51,6.4061,40,8.397,32.11,,7.3525,,
55,2021,20210086,KSU,4217,15,3A,250,Gore Pt.,Standard Grid,4-Jun-21,Y,,58.6873,-149.8502,89,58.6477,-149.8497,76,58.6675,-149.8498,82,58.667,-149.85,45,20,747.00,158.00,8,8,100,8.03,494,58.687,-149.8418,165,5.5004,151,8.037,32.999,,4.3377,,
56,2021,20210087,KSU,4211,16,3A,260,Gore Pt.,Standard Grid,4-Jun-21,Y,,58.5207,-149.8502,80,58.481,-149.8502,73,58.5008,-149.8502,76,58.5,-149.85,49,43,716.00,341.00,8,8,99,7.95,626,58.5195,-149.84731,146,5.5158,134,8.057,32.961,,4.4207,,
57,2021,20210088,KSU,4212,17,3A,260,Gore Pt.,Standard Grid,4-Jun-21,Y,,58.5002,-150.1275,52,58.5002,-150.2067,49,58.5002,-150.1672,50,58.5,-150.167,23,51,469.00,324.00,8,8,100,8.03,726,58.4982,-150.12621,93,5.4566,81,8.186,32.533,,5.7422,,
58,2021,20210089,KSU,4235,18,3A,250,Gore Pt.,Standard Grid,7-Jun-21,Y,,59.1668,-150.144,71,59.1668,-150.2218,70,59.1668,-150.1828,67,59.167,-150.183,12,13,212.00,100.00,8,8,99,7.95,482,59.1648,-150.1463,130,5.3964,116,8.107,32.479,,5.8564,,
59,2021,20210090,KSU,4236,19,3A,260,Gore Pt.,Standard Grid,7-Jun-21,Y,,59.1668,-150.461,72,59.1668,-150.5393,59,59.1668,-150.5002,65,59.167,-150.5,13,20,238.00,139.00,8,8,100,8.03,634,59.1645,-150.4633,134,5.4661,120,8.123,32.513,,5.8151,,
60,2021,20210091,KSU,4231,20,3A,260,Gore Pt.,Standard Grid,7-Jun-21,Y,,59.0202,-150.5003,63,58.979,-150.5,67,58.9995,-150.5002,65,59,-150.5,16,53,219.00,389.00,8,8,99,7.95,754,58.9793,-150.4958,121,5.4065,108,8.089,32.678,,5.1602,,
61,2021,20210092,KSU,4225,21,3A,260,Gore Pt.,Standard Grid,8-Jun-21,Y,,58.8537,-150.4993,80,58.8133,-150.5008,99,58.8335,-150.5,91,58.833,-150.5,53,11,881.00,101.00,8,8,100,8.03,530,58.815,-150.5058,185,5.5927,174,7.951,33.106,,3.7626,,
62,2021,20210093,KSU,4226,22,3A,260,Gore Pt.,Standard Grid,8-Jun-21,Y,,58.8127,-150.8168,102,58.8528,-150.8175,84,58.8328,-150.8172,95,58.833,-150.817,31,35,446.00,281.00,8,8,99,7.95,664,58.8115,-150.82021,190,5.5372,177,7.983,32.995,,4.1005,,
63,2021,20210094,KSU,4232,23,3A,260,Gore Pt.,Standard Grid,8-Jun-21,Y,,58.9815,-150.8205,86,59.018,-150.847,87,58.9998,-150.8337,87,59,-150.833,17,10,332.00,86.00,8,8,99,7.95,774,58.9807,-150.8192,157,5.3382,134,8.142,32.413,,6.0499,,
64,2021,20210095,KSU,4239,24,3A,250,Gore Pt.,Standard Grid,9-Jun-21,Y,,59.3132,-150.5217,112,59.3445,-150.563,121,59.3288,-150.5423,145,59.333,-150.517,54,21,1010.00,192.00,8,8,100,8.03,784,,,,,,,,,,,
65,2021,20210096,KSU,4551,25,3A,260,Gore Pt.,Standard Grid,9-Jun-21,Y,,59.2995,-150.7932,62,59.3327,-150.8332,118,59.316,-150.8132,95,59.333,-150.833,39,19,897.00,155.00,8,8,99,7.95,437,,,,,,,,,,,
66,2021,20210097,KSU,4237,26,3A,260,Gore Pt.,Standard Grid,9-Jun-21,Y,,59.1667,-150.795,103,59.1667,-150.8722,41,59.1667,-150.8337,68,59.167,-150.833,25,31,478.00,267.00,8,8,100,8.03,824,,,,,,,,,,,
67,2021,20210098,KSU,4228,27,3A,260,Gore Pt.,Standard Grid,10-Jun-21,Y,,58.8333,-151.505,56,58.8333,-151.4253,54,58.8333,-151.4652,57,58.833,-151.467,27,45,478.00,352.00,8,8,99,7.95,532,58.8345,-151.5085,102,5.6678,89,8.189,32.387,,6.0675,,
68,2021,20210099,KSU,4227,28,3A,260,Gore Pt.,Standard Grid,10-Jun-21,Y,,58.8335,-151.1722,70,58.8447,-151.1023,87,58.839,-151.1372,78,58.833,-151.133,47,48,891.00,340.00,8,8,99,7.95,718,58.8333,-151.1778,135,5.4016,127,8.138,32.464,,5.8463,,
69,2021,20210100,KSU,4233,29,3A,260,Gore Pt.,Standard Grid,10-Jun-21,Y,,59.0002,-151.19,86,58.9963,-151.1275,83,58.9982,-151.1588,84,59,-151.15,68,22,1337.00,190.00,8,8,101,8.11,824,58.9993,-151.1907,155,5.5424,143,8.208,32.176,,6.3877,,
70,2021,20210101,KSU,4555,30,3A,260,Portlock,Standard Grid,11-Jun-21,Y,,58.8525,-151.7797,52,58.8137,-151.751,76,58.833,-151.7653,61,58.833,-151.767,30,42,502.00,336.00,8,8,100,8.03,489,58.8562,-151.789,106,6.2184,102,8.25,32.291,,6.2693,,
71,2021,20210102,KSU,4283,31,3A,260,Portlock,Standard Grid,11-Jun-21,Y,,58.6667,-151.805,71,58.6668,-151.7253,78,58.6668,-151.7652,70,58.667,-151.767,70,84,1227.00,644.00,8,8,99,7.95,640,58.6668,-151.81,126,5.4748,114,8.087,32.703,,5.1845,,
72,2021,20210103,KSU,4282,32,3A,260,Portlock,Standard Grid,11-Jun-21,Y,,58.6668,-151.4887,99,58.6667,-151.4112,100,58.6668,-151.4498,100,58.667,-151.45,29,29,495.00,218.00,8,8,100,8.03,743,58.6647,-151.4922,179,5.5007,169,8.016,32.874,,4.4653,,
73,2021,20210104,KSU,4234,33,3A,260,Gore Pt.,Standard Grid,12-Jun-21,Y,,59.0002,-151.5052,62,59.0003,-151.4265,75,59.0003,-151.4658,69,59,-151.467,24,37,390.00,300.00,8,8,100,8.03,521,58.999,-151.4247,135,5.9599,123,8.289,32.021,,6.619,,
74,2021,20210105,KSU,4550,34,3A,260,Gore Pt.,Standard Grid,12-Jun-21,Y,,59.1782,-151.4983,21,59.1808,-151.4102,62,59.1795,-151.4542,43,59.167,-151.467,51,68,1267.00,499.00,8,8,100,8.03,663,59.1802,-151.4055,102,6.6114,87,8.367,31.844,,6.7838,,
75,2021,20210106,KSU,4238,35,3A,260,Gore Pt.,Standard Grid,12-Jun-21,Y,,59.1662,-151.1912,30,59.167,-151.1147,29,59.1667,-151.1528,28,59.167,-151.15,60,57,1395.00,468.00,8,8,99,7.95,803,59.1655,-151.1897,51,6.9605,45,8.401,31.686,,6.9012,,
76,2021,20210133,STW,3068,14,2C,150,Ommaney,Standard Grid,7-Jun-21,Y,,55.9825,-134.6335,141,56.0183,-134.6333,238,56.0005,-134.6333,206,56,-134.633,76,13,2635.00,112.00,8,8,99,7.95,511,56.019,-134.6322,437,8.1719,35,8.147,31.776,,6.4408,,
77,2021,20210134,STW,3069,15,2C,150,Ommaney,Standard Grid,7-Jun-21,Y,,55.9822,-134.9162,192,56.0193,-134.9172,210,56.0008,-134.9167,202,56,-134.917,35,22,1066.00,187.00,8,8,99,7.95,641,56.0187,-134.9153,375,5.9439,230,7.685,33.807,,2.3278,,
78,2021,20210135,STW,3063,16,2C,150,Ommaney,Standard Grid,7-Jun-21,Y,,55.8142,-134.9168,106,55.8547,-134.9167,102,55.8345,-134.9168,103,55.833,-134.917,31,16,1062.00,122.00,8,8,99,7.95,729,55.8158,-134.91949,192,6.1537,154,7.81,33.149,,3.6502,,
79,2021,20210136,STW,3215,17,2C,160,Ommaney,Standard Grid,8-Jun-21,Y,,55.982,-135.5167,324,56.0172,-135.5163,329,55.9995,-135.5165,328,56,-135.515,0,0,0.00,0.00,8,8,100,8.03,472,,,,,,,,,,,
80,2021,20210137,STW,3070,18,2C,160,Ommaney,Standard Grid,8-Jun-21,Y,,56.0175,-135.2168,212,55.9867,-135.2167,175,56.002,-135.2168,202,56,-135.217,46,11,1331.00,91.00,8,8,100,8.03,604,55.987,-135.218,534,5.0075,322,7.591,33.965,,1.3587,,
81,2021,20210138,STW,3064,19,2C,150,Ommaney,Standard Grid,8-Jun-21,Y,,55.851,-135.2167,115,55.8175,-135.2168,206,55.8343,-135.2168,135,55.833,-135.217,34,16,838.00,118.00,8,8,100,8.03,734,55.8532,-135.21651,342,5.8741,179,7.711,33.623,,2.6358,,
82,2021,20210139,STW,3058,20,2C,150,Ommaney,Standard Grid,9-Jun-21,Y,,55.6845,-134.9167,109,55.6503,-134.9165,113,55.6675,-134.9165,110,55.667,-134.917,139,37,4335.00,309.00,8,8,100,8.03,646,55.6502,-134.91701,207,5.8801,193,7.693,33.687,,2.4941,,
83,2021,20210140,STW,3054,21,2C,150,Ommaney,Standard Grid,9-Jun-21,Y,,55.4997,-134.9317,150,55.5005,-134.8667,168,55.5,-134.8992,161,55.5,-134.9,56,9,1425.00,70.00,8,8,100,8.03,812,55.4997,-134.9335,271,5.4905,253,7.64,33.863,,1.8755,,
84,2021,20210141,STW,3050,22,2C,150,Ommaney,Standard Grid,9-Jun-21,Y,,55.3537,-134.6002,109,55.3183,-134.5995,118,55.336,-134.5998,112,55.333,-134.6,59,17,1545.00,131.00,8,8,100,8.03,"1,431",55.3537,-134.6002,208,5.8443,173,7.687,33.696,,2.3642,,
85,2021,20210142,STW,3208,23,2C,150,Ommaney,Standard Grid,10-Jun-21,Y,,55.1487,-134.2222,260,55.1857,-134.2222,225,55.1672,-134.2222,252,55.167,-134.3,1,0,13.00,0.00,8,8,99,7.95,578,,,,,,,,,,,
86,2021,20210143,STW,3076,24,2C,152,Ommaney,Standard Grid,11-Jun-21,Y,,56.3512,-133.7335,103,56.31,-133.7333,144,56.3307,-133.7335,104,56.333,-133.733,22,4,714.00,29.00,8,8,99,7.95,449,56.3105,-133.73599,223,6.5277,210,7.804,32.764,,3.8362,,
87,2021,20210144,STW,3223,25,2C,152,Ommaney,Standard Grid,11-Jun-21,Y,,56.691,-133.1733,13,56.6625,-133.127,10,56.6768,-133.1502,15,56.666,-133.137,17,11,506.00,83.00,8,8,100,8.03,484,56.6628,-133.1282,22,9.6091,13,7.875,27.091,,5.3457,,
88,2021,20210224,BDP,4013,17,3A,185,Fairweather,Standard Grid,6-Jun-21,Y,,58.3333,-137.1393,91,58.3335,-137.2158,100,58.3335,-137.1777,94,58.333,-137.167,2,7,30.00,43.00,8,8,98,7.87,417,58.3375,-137.1442,174,6.046,164,7.891,32.714,,4.9691,,
