"","Seconds","Dive","x","y","Family"
"124",33483,1,459187.11,6305162.8,"Good"
"125",33484,1,459184.91,6305162.83,"Good"
"126",33485,1,459184.91,6305162.83,"Good"
"127",33486,1,459184.91,6305162.83,"Good"
"128",33487,1,459184.91,6305162.83,"Good"
"129",33488,1,459184.91,6305162.83,"Good"
"130",33489,1,459184.91,6305162.83,"Good"
"131",33490,1,459184.91,6305162.83,"Good"
"132",33491,1,459184.91,6305162.83,"Good"
"133",33492,1,459184.91,6305162.83,"Good"
"134",33493,1,459184.91,6305162.83,"Good"
"135",33494,1,459184.91,6305162.83,"Good"
"136",33495,1,459184.71,6305160.57,"Good"
"137",33496,1,459184.71,6305160.57,"Good"
"138",33497,1,459180.89,6305160.42,"Good"
"139",33498,1,459180.89,6305160.42,"Good"
"140",33499,1,459180.89,6305160.42,"Good"
"141",33500,1,459183.26,6305159.74,"Good"
"142",33501,1,459183.26,6305159.74,"Good"
"143",33502,1,459183.26,6305159.74,"Good"
"144",33503,1,459181.8,6305158.83,"Good"
"145",33504,1,459181.8,6305158.83,"Good"
"146",33505,1,459181.8,6305158.83,"Good"
"147",33506,1,459181.8,6305158.83,"Good"
"148",33507,1,459181.8,6305158.83,"Good"
"149",33508,1,459182.56,6305157.52,"Good"
"150",33509,1,459182.56,6305157.52,"Good"
"151",33510,1,459182.56,6305157.52,"Good"
"152",33511,1,459182.56,6305157.52,"Good"
"153",33512,1,459182.56,6305157.52,"Good"
"154",33513,1,459182.56,6305157.52,"Good"
"155",33514,1,459181.81,6305157.01,"Good"
"156",33515,1,459181.81,6305157.01,"Good"
"157",33516,1,459181.81,6305157.01,"Good"
"158",33517,1,459181.81,6305157.01,"Good"
"159",33518,1,459181.81,6305157.01,"Good"
"160",33519,1,459180.1,6305156.92,"Good"
"161",33520,1,459180.1,6305156.92,"Good"
"162",33521,1,459180.1,6305156.92,"Good"
"163",33522,1,459179.53,6305156.3,"Good"
"164",33523,1,459179.53,6305156.3,"Good"
"165",33524,1,459179.53,6305156.3,"Good"
"166",33525,1,459179.53,6305156.3,"Good"
"167",33526,1,459179.41,6305156.27,"Good"
"168",33527,1,459179.41,6305156.27,"Good"
"169",33528,1,459179.41,6305156.27,"Good"
"170",33529,1,459175.61,6305155.52,"Good"
"171",33530,1,459175.61,6305155.52,"Good"
"172",33531,1,459175.61,6305155.52,"Good"
"173",33532,1,459175.61,6305155.52,"Good"
"174",33533,1,459175.61,6305155.52,"Good"
"175",33534,1,459175.61,6305155.52,"Good"
"176",33535,1,459175.61,6305155.52,"Good"
"177",33536,1,459175.61,6305155.52,"Good"
"178",33537,1,459175.61,6305155.52,"Good"
"179",33538,1,459175.61,6305155.52,"Good"
"180",33539,1,459172.4,6305152.75,"Good"
"181",33540,1,459172.4,6305152.75,"Good"
"182",33541,1,459172.4,6305152.75,"Good"
"183",33542,1,459174.88,6305151.79,"Good"
"184",33543,1,459174.88,6305151.79,"Good"
"185",33544,1,459174.88,6305151.79,"Good"
"186",33545,1,459174.88,6305151.79,"Good"
"187",33546,1,459174.88,6305151.79,"Good"
"188",33547,1,459174.88,6305151.79,"Good"
"189",33548,1,459174.88,6305151.79,"Good"
"190",33549,1,459170.89,6305149.66,"Good"
"191",33550,1,459170.89,6305149.66,"Good"
"192",33551,1,459170.89,6305149.66,"Good"
"193",33552,1,459170.7,6305147.64,"Good"
"194",33553,1,459170.7,6305147.64,"Good"
"195",33554,1,459170.7,6305147.64,"Good"
"196",33555,1,459170.7,6305147.64,"Good"
"197",33556,1,459170.7,6305147.64,"Good"
"198",33557,1,459167.57,6305145.46,"Good"
"199",33558,1,459167.57,6305145.46,"Good"
"200",33559,1,459167.57,6305145.46,"Good"
"201",33560,1,459167.57,6305145.46,"Good"
"202",33561,1,459167.57,6305145.46,"Good"
"203",33562,1,459167.57,6305145.46,"Good"
"204",33563,1,459167.57,6305145.46,"Good"
"205",33564,1,459167.57,6305145.46,"Good"
"206",33565,1,459168.11,6305143.81,"Good"
"207",33566,1,459168.11,6305143.81,"Good"
"208",33567,1,459168.11,6305143.81,"Good"
"209",33568,1,459168.11,6305143.81,"Good"
"210",33569,1,459164.6,6305141.93,"Good"
"211",33570,1,459164.6,6305141.93,"Good"
"212",33571,1,459164.6,6305141.93,"Good"
"213",33572,1,459164.6,6305141.93,"Good"
"214",33573,1,459164.6,6305141.93,"Good"
"215",33574,1,459164.6,6305141.93,"Good"
"216",33575,1,459164.6,6305141.93,"Good"
"217",33576,1,459164.6,6305141.93,"Good"
"218",33577,1,459164.19,6305139.76,"Good"
"219",33578,1,459164.19,6305139.76,"Good"
"220",33579,1,459164.19,6305139.76,"Good"
"221",33580,1,459164.19,6305139.76,"Good"
"222",33581,1,459164.19,6305139.76,"Good"
"223",33582,1,459164.19,6305139.76,"Good"
"224",33583,1,459161.09,6305136.88,"Good"
"225",33584,1,459161.09,6305136.88,"Good"
"226",33585,1,459161.09,6305136.88,"Good"
"227",33586,1,459161.09,6305136.88,"Good"
"228",33587,1,459161.09,6305136.88,"Good"
"229",33588,1,459161.09,6305136.88,"Good"
"230",33589,1,459161.09,6305136.88,"Good"
"231",33590,1,459161.09,6305136.88,"Good"
"232",33591,1,459161.09,6305136.88,"Good"
"233",33592,1,459161.09,6305136.88,"Good"
"234",33593,1,459161.09,6305136.88,"Good"
"235",33594,1,459161.09,6305136.88,"Good"
"236",33595,1,459157.54,6305135.71,"Good"
"237",33596,1,459157.54,6305135.71,"Good"
"238",33597,1,459157.54,6305135.71,"Good"
"239",33598,1,459155.3,6305133.93,"Good"
"240",33599,1,459155.3,6305133.93,"Good"
"241",33600,1,459155.3,6305133.93,"Good"
"242",33601,1,459156.4,6305134.46,"Good"
"243",33602,1,459156.4,6305134.46,"Good"
"244",33603,1,459156.4,6305134.46,"Good"
"245",33604,1,459152.52,6305132.51,"Good"
"246",33605,1,459152.52,6305132.51,"Good"
"247",33606,1,459152.52,6305132.51,"Good"
"248",33607,1,459154.92,6305134.81,"Good"
"249",33608,1,459154.92,6305134.81,"Good"
"250",33609,1,459154.92,6305134.81,"Good"
"251",33610,1,459152.81,6305132.89,"Good"
"252",33611,1,459152.81,6305132.89,"Good"
"253",33612,1,459152.81,6305132.89,"Good"
"254",33613,1,459152.05,6305131.81,"Good"
"255",33614,1,459152.05,6305131.81,"Good"
"256",33615,1,459152.05,6305131.81,"Good"
"257",33616,1,459150.49,6305131.11,"Good"
"258",33617,1,459150.49,6305131.11,"Good"
"259",33618,1,459150.49,6305131.11,"Good"
"260",33619,1,459150.61,6305131.87,"Good"
"261",33620,1,459150.61,6305131.87,"Good"
"262",33621,1,459150.61,6305131.87,"Good"
"263",33622,1,459150.42,6305130.4,"Good"
"264",33623,1,459150.42,6305130.4,"Good"
"265",33624,1,459147.17,6305129.86,"Good"
"266",33625,1,459147.17,6305129.86,"Good"
"267",33626,1,459147.17,6305129.86,"Good"
"268",33627,1,459149,6305130.07,"Good"
"269",33628,1,459149,6305130.07,"Good"
"270",33629,1,459149,6305130.07,"Good"
"271",33630,1,459145.33,6305127.25,"Good"
"272",33631,1,459145.33,6305127.25,"Good"
"273",33632,1,459145.33,6305127.25,"Good"
"274",33633,1,459146.68,6305129,"Good"
"275",33634,1,459146.68,6305129,"Good"
"276",33635,1,459146.68,6305129,"Good"
"277",33636,1,459146.68,6305129,"Good"
"278",33637,1,459146.68,6305129,"Good"
"279",33638,1,459146.68,6305129,"Good"
"280",33639,1,459144.64,6305127.65,"Good"
"281",33640,1,459144.64,6305127.65,"Good"
"282",33641,1,459144.64,6305127.65,"Good"
"283",33642,1,459144.64,6305127.65,"Good"
"284",33643,1,459144.64,6305127.65,"Good"
"285",33644,1,459143.29,6305125.85,"Good"
"286",33645,1,459143.29,6305125.85,"Good"
"287",33646,1,459143.29,6305125.85,"Good"
"288",33647,1,459144.85,6305126.83,"Good"
"289",33648,1,459144.85,6305126.83,"Good"
"290",33649,1,459144.85,6305126.83,"Good"
"291",33650,1,459141.87,6305125.18,"Good"
"292",33651,1,459141.87,6305125.18,"Good"
"293",33652,1,459141.94,6305125.01,"Good"
"294",33653,1,459141.94,6305125.01,"Good"
"295",33654,1,459141.94,6305125.01,"Good"
"296",33655,1,459141.71,6305124.51,"Good"
"297",33656,1,459141.71,6305124.51,"Good"
"298",33657,1,459141.71,6305124.51,"Good"
"299",33658,1,459140.29,6305124.16,"Good"
"300",33659,1,459140.29,6305124.16,"Good"
"301",33660,1,459140.29,6305124.16,"Good"
"302",33661,1,459140.29,6305124.16,"Good"
"303",33662,1,459140.29,6305124.16,"Good"
"304",33663,1,459138.97,6305124.25,"Good"
"305",33664,1,459138.97,6305124.25,"Good"
"306",33665,1,459138.97,6305124.25,"Good"
"307",33666,1,459139.57,6305122.09,"Good"
"308",33667,1,459139.57,6305122.09,"Good"
"309",33668,1,459139.57,6305122.09,"Good"
"310",33669,1,459138.4,6305121.65,"Good"
"311",33670,1,459138.4,6305121.65,"Good"
"312",33671,1,459138.4,6305121.65,"Good"
"313",33672,1,459138.22,6305122.04,"Good"
"314",33673,1,459138.22,6305122.04,"Good"
"315",33674,1,459138.22,6305122.04,"Good"
"316",33675,1,459135.92,6305119.36,"Good"
"317",33676,1,459135.92,6305119.36,"Good"
"318",33677,1,459135.92,6305119.36,"Good"
"319",33678,1,459136.72,6305119.87,"Good"
"320",33679,1,459136.72,6305119.87,"Good"
"321",33680,1,459134.55,6305117.65,"Good"
"322",33681,1,459134.55,6305117.65,"Good"
"323",33682,1,459134.55,6305117.65,"Good"
"324",33683,1,459135.5,6305118.11,"Good"
"325",33684,1,459135.5,6305118.11,"Good"
"326",33685,1,459135.5,6305118.11,"Good"
"327",33686,1,459133.09,6305115.94,"Good"
"328",33687,1,459133.09,6305115.94,"Good"
"329",33688,1,459133.09,6305115.94,"Good"
"330",33689,1,459094.11,6305092.83,"Good"
"331",33690,1,459094.11,6305092.83,"Good"
"332",33691,1,459094.11,6305092.83,"Good"
"333",33692,1,459094.11,6305092.83,"Good"
"334",33693,1,459094.11,6305092.83,"Good"
"335",33694,1,459130.43,6305113.72,"Good"
"336",33695,1,459130.43,6305113.72,"Good"
"337",33696,1,459130.43,6305113.72,"Good"
"338",33697,1,459131.83,6305115.31,"Good"
"339",33698,1,459131.83,6305115.31,"Good"
"340",33699,1,459131.83,6305115.31,"Good"
"341",33700,1,459128.13,6305112.64,"Good"
"342",33701,1,459128.13,6305112.64,"Good"
"343",33702,1,459128.13,6305112.64,"Good"
"344",33703,1,459130.24,6305113.23,"Good"
"345",33704,1,459130.24,6305113.23,"Good"
"346",33705,1,459130.24,6305113.23,"Good"
"347",33706,1,459130.24,6305113.23,"Good"
"348",33707,1,459130.24,6305113.23,"Good"
"349",33708,1,459130.24,6305113.23,"Good"
"350",33709,1,459130.24,6305113.23,"Good"
"351",33710,1,459127.12,6305110.61,"Good"
"352",33711,1,459127.12,6305110.61,"Good"
"353",33712,1,459127.12,6305110.61,"Good"
"354",33713,1,459125.57,6305110,"Good"
"355",33714,1,459125.57,6305110,"Good"
"356",33715,1,459125.57,6305110,"Good"
"357",33716,1,459125.09,6305109.6,"Good"
"358",33717,1,459125.09,6305109.6,"Good"
"359",33718,1,459125.09,6305109.6,"Good"
"360",33719,1,459124.12,6305109.17,"Good"
"361",33720,1,459124.12,6305109.17,"Good"
"362",33721,1,459124.12,6305109.17,"Good"
"363",33722,1,459124.12,6305109.17,"Good"
"364",33723,1,459124.12,6305109.17,"Good"
"365",33724,1,459124.12,6305109.17,"Good"
"366",33725,1,459122.43,6305108.42,"Good"
"367",33726,1,459122.43,6305108.42,"Good"
"368",33727,1,459122.43,6305108.42,"Good"
"369",33728,1,459122.43,6305108.42,"Good"
"370",33729,1,459122.43,6305108.42,"Good"
"371",33730,1,459120.38,6305106.53,"Good"
"372",33731,1,459120.38,6305106.53,"Good"
"373",33732,1,459120.38,6305106.53,"Good"
"374",33733,1,459122.77,6305106.92,"Good"
"375",33734,1,459122.77,6305106.92,"Good"
"376",33735,1,459122.77,6305106.92,"Good"
"377",33736,1,459122.77,6305106.92,"Good"
"378",33737,1,459122.77,6305106.92,"Good"
"379",33738,1,459122.77,6305106.92,"Good"
"380",33739,1,459122.77,6305106.92,"Good"
"381",33740,1,459122.77,6305106.92,"Good"
"382",33741,1,459122.77,6305106.92,"Good"
"383",33742,1,459122.77,6305106.92,"Good"
"384",33743,1,459122.77,6305106.92,"Good"
"385",33744,1,459115.93,6305102.34,"Good"
"386",33745,1,459115.93,6305102.34,"Good"
"387",33746,1,459115.93,6305102.34,"Good"
"388",33747,1,459120.27,6305103.3,"Good"
"389",33748,1,459120.27,6305103.3,"Good"
"390",33749,1,459120.27,6305103.3,"Good"
"391",33750,1,459114.65,6305100.84,"Good"
"392",33751,1,459114.65,6305100.84,"Good"
"393",33752,1,459117.33,6305101.05,"Good"
"394",33753,1,459117.33,6305101.05,"Good"
"395",33754,1,459117.33,6305101.05,"Good"
"396",33755,1,459117.33,6305101.05,"Good"
"397",33756,1,459117.33,6305101.05,"Good"
"398",33757,1,459114.28,6305098.46,"Good"
"399",33758,1,459114.28,6305098.46,"Good"
"400",33759,1,459114.28,6305098.46,"Good"
"401",33760,1,459112.7,6305098.61,"Good"
"402",33761,1,459112.7,6305098.61,"Good"
"403",33762,1,459112.7,6305098.61,"Good"
"404",33763,1,459112.7,6305098.61,"Good"
"405",33764,1,459112.7,6305098.61,"Good"
"406",33765,1,459112.89,6305098.2,"Good"
"407",33766,1,459112.89,6305098.2,"Good"
"408",33767,1,459112.89,6305098.2,"Good"
"409",33768,1,459112.89,6305098.2,"Good"
"410",33769,1,459112.89,6305098.2,"Good"
"411",33770,1,459109.78,6305095.34,"Good"
"412",33771,1,459109.78,6305095.34,"Good"
"413",33772,1,459109.78,6305095.34,"Good"
"414",33773,1,459110.16,6305097.05,"Good"
"415",33774,1,459110.16,6305097.05,"Good"
"416",33775,1,459110.16,6305097.05,"Good"
"417",33776,1,459110.16,6305097.05,"Good"
"418",33777,1,459110.16,6305097.05,"Good"
"419",33778,1,459110.16,6305097.05,"Good"
"420",33779,1,459110.16,6305097.05,"Good"
"421",33780,1,459110.16,6305097.05,"Good"
"422",33781,1,459110.16,6305097.05,"Good"
"423",33782,1,459105.04,6305092.72,"Good"
"424",33783,1,459105.04,6305092.72,"Good"
"425",33784,1,459105.04,6305092.72,"Good"
"426",33785,1,459106.97,6305094.97,"Good"
"427",33786,1,459106.97,6305094.97,"Good"
"428",33787,1,459106.97,6305094.97,"Good"
"429",33788,1,459106.97,6305094.97,"Good"
"430",33789,1,459106.97,6305094.97,"Good"
"431",33790,1,459105.13,6305091.32,"Good"
"432",33791,1,459105.13,6305091.32,"Good"
"433",33792,1,459105.13,6305091.32,"Good"
"434",33793,1,459104.75,6305091.2,"Good"
"435",33794,1,459104.75,6305091.2,"Good"
"436",33795,1,459104.75,6305091.2,"Good"
"437",33796,1,459104.75,6305091.2,"Good"
"438",33797,1,459104,6305090.48,"Good"
"439",33798,1,459104,6305090.48,"Good"
"440",33799,1,459104,6305090.48,"Good"
"441",33800,1,459096.47,6305089.9,"Good"
"442",33801,1,459096.47,6305089.9,"Good"
"443",33802,1,459096.47,6305089.9,"Good"
"444",33803,1,459101.95,6305089.09,"Good"
"445",33804,1,459101.95,6305089.09,"Good"
"446",33805,1,459101.95,6305089.09,"Good"
"447",33806,1,459100.16,6305086.39,"Good"
"448",33807,1,459100.16,6305086.39,"Good"
"449",33808,1,459100.16,6305086.39,"Good"
"450",33809,1,459099.99,6305086.71,"Good"
"451",33810,1,459099.99,6305086.71,"Good"
"452",33811,1,459099.99,6305086.71,"Good"
"453",33812,1,459097.99,6305084.77,"Good"
"454",33813,1,459097.99,6305084.77,"Good"
"455",33814,1,459097.99,6305084.77,"Good"
"456",33815,1,459098.65,6305084.27,"Good"
"457",33816,1,459098.65,6305084.27,"Good"
"458",33817,1,459098.65,6305084.27,"Good"
"459",33818,1,459097.37,6305083.56,"Good"
"460",33819,1,459097.37,6305083.56,"Good"
"461",33820,1,459097.37,6305083.56,"Good"
"462",33821,1,459096.18,6305081.78,"Good"
"463",33822,1,459096.18,6305081.78,"Good"
"464",33823,1,459096.18,6305081.78,"Good"
"465",33824,1,459096.18,6305081.78,"Good"
"466",33825,1,459096.18,6305081.78,"Good"
"467",33826,1,459096.18,6305081.78,"Good"
"468",33827,1,459096.18,6305081.78,"Good"
"469",33828,1,459096.18,6305081.78,"Good"
"470",33829,1,459094.31,6305079.84,"Good"
"471",33830,1,459094.31,6305079.84,"Good"
"472",33831,1,459094.31,6305079.84,"Good"
"473",33832,1,459093.24,6305079.44,"Good"
"474",33833,1,459093.24,6305079.44,"Good"
"475",33834,1,459092.72,6305077.25,"Good"
"476",33835,1,459092.72,6305077.25,"Good"
"477",33836,1,459092.72,6305077.25,"Good"
"478",33837,1,459092.21,6305077.6,"Good"
"479",33838,1,459092.21,6305077.6,"Good"
"480",33839,1,459092.21,6305077.6,"Good"
"481",33840,1,459090.82,6305075.57,"Good"
"482",33841,1,459090.82,6305075.57,"Good"
"483",33842,1,459090.82,6305075.57,"Good"
"484",33843,1,459091.26,6305076.05,"Good"
"485",33844,1,459091.26,6305076.05,"Good"
"486",33845,1,459091.26,6305076.05,"Good"
"487",33846,1,459089.45,6305073.14,"Good"
"488",33847,1,459089.45,6305073.14,"Good"
"489",33848,1,459089.45,6305073.14,"Good"
"490",33849,1,459089.5,6305074.88,"Good"
"491",33850,1,459089.5,6305074.88,"Good"
"492",33851,1,459089.5,6305074.88,"Good"
"493",33852,1,459088.17,6305072.69,"Good"
"494",33853,1,459088.17,6305072.69,"Good"
"495",33854,1,459088.17,6305072.69,"Good"
"496",33855,1,459087.25,6305071.47,"Good"
"497",33856,1,459087.25,6305071.47,"Good"
"498",33857,1,459087.25,6305071.47,"Good"
"499",33858,1,459086.45,6305071.4,"Good"
"500",33859,1,459086.45,6305071.4,"Good"
"501",33860,1,459086.45,6305071.4,"Good"
"502",33861,1,459086.16,6305069.89,"Good"
"503",33862,1,459086.16,6305069.89,"Good"
"504",33863,1,459086.16,6305069.89,"Good"
"505",33864,1,459085.28,6305067.79,"Good"
"506",33865,1,459085.28,6305067.79,"Good"
"507",33866,1,459085.28,6305067.79,"Good"
"508",33867,1,459083.08,6305068.15,"Good"
"509",33868,1,459083.08,6305068.15,"Good"
"510",33869,1,459083.38,6305068.39,"Good"
"511",33870,1,459083.38,6305068.39,"Good"
"512",33871,1,459083.38,6305068.39,"Good"
"513",33872,1,459083.38,6305068.39,"Good"
"514",33873,1,459083.38,6305068.39,"Good"
"515",33874,1,459083.38,6305068.39,"Good"
"516",33875,1,459082.26,6305066.22,"Good"
"517",33876,1,459082.26,6305066.22,"Good"
"518",33877,1,459082.26,6305066.22,"Good"
"519",33878,1,459081.45,6305066.97,"Good"
"520",33879,1,459081.45,6305066.97,"Good"
"521",33880,1,459081.45,6305066.97,"Good"
"522",33881,1,459081.27,6305065.48,"Good"
"523",33882,1,459081.27,6305065.48,"Good"
"524",33883,1,459081.27,6305065.48,"Good"
"525",33884,1,459078.86,6305065.06,"Good"
"526",33885,1,459078.86,6305065.06,"Good"
"527",33886,1,459078.86,6305065.06,"Good"
"528",33887,1,459078.81,6305064.6,"Good"
"529",33888,1,459078.81,6305064.6,"Good"
"530",33889,1,459078.81,6305064.6,"Good"
"531",33890,1,459082.1,6305066.19,"Good"
"532",33891,1,459082.1,6305066.19,"Good"
"533",33892,1,459082.1,6305066.19,"Good"
"534",33893,1,459076.78,6305062.86,"Good"
"535",33894,1,459076.78,6305062.86,"Good"
"536",33895,1,459076.78,6305062.86,"Good"
"537",33896,1,459077.03,6305061.45,"Good"
"538",33897,1,459077.03,6305061.45,"Good"
"539",33898,1,459075.64,6305060.21,"Good"
"540",33899,1,459075.64,6305060.21,"Good"
"541",33900,1,459075.64,6305060.21,"Good"
"542",33901,1,459074.23,6305059.64,"Good"
"543",33902,1,459074.23,6305059.64,"Good"
"544",33903,1,459074.23,6305059.64,"Good"
"545",33904,1,459074.92,6305060.16,"Good"
"546",33905,1,459074.92,6305060.16,"Good"
"547",33906,1,459074.92,6305060.16,"Good"
"548",33907,1,459074.08,6305058.48,"Good"
"549",33908,1,459074.08,6305058.48,"Good"
"550",33909,1,459074.08,6305058.48,"Good"
"551",33910,1,459073.21,6305058.67,"Good"
"552",33911,1,459073.21,6305058.67,"Good"
"553",33912,1,459073.21,6305058.67,"Good"
"554",33913,1,459073.21,6305058.67,"Good"
"555",33914,1,459073.21,6305058.67,"Good"
"556",33915,1,459073.21,6305058.67,"Good"
"557",33916,1,459073.21,6305058.67,"Good"
"558",33917,1,459073.21,6305058.67,"Good"
"559",33918,1,459071.38,6305055.86,"Good"
"560",33919,1,459071.38,6305055.86,"Good"
"561",33920,1,459071.38,6305055.86,"Good"
"562",33921,1,459071.51,6305055.46,"Good"
"563",33922,1,459071.51,6305055.46,"Good"
"564",33923,1,459071.51,6305055.46,"Good"
"565",33924,1,459070.46,6305054.22,"Good"
"566",33925,1,459070.46,6305054.22,"Good"
"567",33926,1,459070.46,6305054.22,"Good"
"568",33927,1,459071.18,6305053.51,"Good"
"569",33928,1,459071.18,6305053.51,"Good"
"570",33929,1,459071.18,6305053.51,"Good"
"571",33930,1,459068.84,6305052.43,"Good"
"572",33931,1,459068.84,6305052.43,"Good"
"573",33932,1,459070.11,6305052.22,"Good"
"574",33933,1,459070.11,6305052.22,"Good"
"575",33934,1,459070.11,6305052.22,"Good"
"576",33935,1,459067.24,6305050.29,"Good"
"577",33936,1,459067.24,6305050.29,"Good"
"578",33937,1,459067.24,6305050.29,"Good"
"579",33938,1,459069.21,6305051.08,"Good"
"580",33939,1,459069.21,6305051.08,"Good"
"581",33940,1,459069.21,6305051.08,"Good"
"582",33941,1,459066.33,6305048.12,"Good"
"583",33942,1,459066.33,6305048.12,"Good"
