"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"49","epsilon[25]",-0.024,0.041,-0.095,-0.025,0.064,TRUE,0.724,1.001,2147
"50","epsilon[26]",-0.041,0.037,-0.096,-0.045,0.04,TRUE,0.852,1,3000
"51","epsilon[27]",-0.044,0.036,-0.097,-0.048,0.034,TRUE,0.878,1,3000
"52","epsilon[28]",-0.029,0.04,-0.095,-0.031,0.056,TRUE,0.77,1,3000
"53","epsilon[29]",-0.011,0.043,-0.089,-0.01,0.077,TRUE,0.609,1,3000
"54","epsilon[30]",-0.02,0.042,-0.093,-0.021,0.067,TRUE,0.679,1,3000
"55","epsilon[31]",-0.026,0.041,-0.094,-0.027,0.059,TRUE,0.74,1,2492
"56","epsilon[32]",-0.018,0.042,-0.092,-0.019,0.069,TRUE,0.67,1,3000
"57","epsilon[33]",-0.001,0.043,-0.088,-0.001,0.083,TRUE,0.514,1,3000
"58","epsilon[34]",0.016,0.042,-0.071,0.016,0.092,TRUE,0.647,1,3000
"59","epsilon[35]",0.004,0.043,-0.081,0.005,0.084,TRUE,0.541,1.001,1482
"60","epsilon[36]",0.008,0.042,-0.075,0.008,0.087,TRUE,0.577,1.001,2202
"61","epsilon[37]",0.008,0.043,-0.081,0.009,0.086,TRUE,0.583,1,2402
"62","epsilon[38]",0.021,0.041,-0.062,0.022,0.094,TRUE,0.697,1.001,2527
"63","epsilon[39]",0.022,0.04,-0.064,0.023,0.093,TRUE,0.713,1,3000
"64","epsilon[40]",0.025,0.041,-0.06,0.026,0.094,TRUE,0.734,1,3000
"65","epsilon[41]",0.006,0.044,-0.083,0.006,0.088,TRUE,0.552,1,3000
"66","epsilon[42]",-0.002,0.045,-0.086,-0.002,0.086,TRUE,0.514,1.004,417
"67","epsilon[43]",-0.001,0.046,-0.088,-0.001,0.087,TRUE,0.511,1.003,743
"68","epsilon[44]",0,0.044,-0.086,0,0.088,TRUE,0.499,1,3000
"69","epsilon[45]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.511,1,3000
"70","epsilon[46]",0,0.045,-0.086,-0.001,0.086,TRUE,0.514,1,3000
"71","epsilon[47]",0.001,0.045,-0.085,0.001,0.087,TRUE,0.509,1.001,3000
"72","epsilon[48]",0.001,0.045,-0.087,0.001,0.087,TRUE,0.511,1.002,910
"73","epsilon[49]",0,0.044,-0.086,-0.001,0.087,TRUE,0.495,1,3000
"74","epsilon[50]",0.001,0.046,-0.087,0.001,0.088,TRUE,0.509,1,3000
"75","epsilon[51]",-0.001,0.045,-0.086,-0.001,0.086,TRUE,0.51,1,3000
"76","epsilon[52]",-0.001,0.044,-0.085,-0.002,0.086,TRUE,0.514,1.001,3000
"77","epsilon[53]",0,0.044,-0.087,-0.001,0.086,TRUE,0.509,1.001,1980
"78","epsilon[54]",0.003,0.045,-0.085,0.003,0.088,TRUE,0.526,1,3000
"79","epsilon[55]",-0.001,0.045,-0.089,-0.001,0.087,TRUE,0.509,1.001,2107
"80","epsilon[56]",0,0.045,-0.086,0,0.086,TRUE,0.499,1,3000
"81","epsilon[57]",-0.002,0.045,-0.089,-0.002,0.085,TRUE,0.522,1,2530
"82","epsilon[58]",-0.001,0.045,-0.086,-0.001,0.086,TRUE,0.514,1,2475
"83","epsilon[59]",0.001,0.045,-0.085,0,0.086,TRUE,0.498,1,3000
"84","epsilon[60]",-0.001,0.045,-0.088,-0.002,0.086,TRUE,0.521,1.001,2464
"85","epsilon[61]",0,0.045,-0.087,-0.001,0.086,TRUE,0.507,1.001,2602
"86","epsilon[62]",0.002,0.045,-0.087,0.002,0.088,TRUE,0.52,1,2472
"87","epsilon[63]",0,0.044,-0.085,0,0.084,TRUE,0.499,1.002,1147
"88","epsilon[64]",0,0.044,-0.086,-0.001,0.087,TRUE,0.506,1,2333
"89","epsilon[65]",0,0.045,-0.086,0,0.087,TRUE,0.502,1,3000
"90","epsilon[66]",0,0.045,-0.086,0.001,0.087,TRUE,0.509,1,3000
"91","epsilon[67]",0,0.045,-0.086,0,0.086,TRUE,0.503,1,3000
"92","epsilon[68]",0,0.045,-0.086,-0.001,0.085,TRUE,0.503,1,3000
"93","epsilon[69]",-0.001,0.045,-0.085,-0.002,0.088,TRUE,0.515,1.001,1426
"94","epsilon[70]",-0.001,0.045,-0.087,-0.001,0.087,TRUE,0.507,1,3000
"95","epsilon[71]",-0.001,0.044,-0.085,-0.002,0.086,TRUE,0.515,1,2239
"96","epsilon[72]",0.001,0.045,-0.086,-0.001,0.089,TRUE,0.49,1,3000
"97","epsilon[73]",0,0.045,-0.086,0,0.087,TRUE,0.499,1.001,1308
"98","epsilon[74]",-0.001,0.045,-0.088,0,0.086,TRUE,0.5,1,3000
"99","epsilon[75]",-0.001,0.045,-0.085,0,0.087,TRUE,0.506,1,3000
"100","epsilon[76]",0.001,0.046,-0.086,-0.001,0.089,TRUE,0.496,1,3000
"101","epsilon[77]",0,0.045,-0.087,0,0.087,TRUE,0.501,1.001,1063
"102","epsilon[78]",0.001,0.045,-0.086,0.001,0.085,TRUE,0.508,1.001,1310
"103","epsilon[79]",0,0.044,-0.085,0,0.085,TRUE,0.504,1,3000
"104","epsilon[80]",0.002,0.044,-0.084,0.002,0.087,TRUE,0.523,1,3000
"105","epsilon[81]",-0.001,0.045,-0.086,0,0.087,TRUE,0.504,1,3000
"106","epsilon[82]",0,0.044,-0.085,0,0.086,TRUE,0.5,1,3000
"107","epsilon[83]",-0.002,0.044,-0.086,-0.002,0.084,TRUE,0.518,1,3000
"108","epsilon[84]",-0.002,0.045,-0.087,-0.001,0.087,TRUE,0.509,1,2821
"109","epsilon[85]",-0.001,0.045,-0.086,-0.001,0.086,TRUE,0.504,1,3000
"110","epsilon[86]",0,0.046,-0.088,0,0.086,TRUE,0.502,1.001,2101
"111","epsilon[87]",0,0.045,-0.087,0,0.088,TRUE,0.501,1,3000
"112","epsilon[88]",0,0.045,-0.088,-0.001,0.088,TRUE,0.509,1.001,1360
"113","epsilon[89]",-0.002,0.045,-0.087,-0.002,0.087,TRUE,0.518,1,3000
"114","epsilon[90]",0,0.044,-0.085,0,0.084,TRUE,0.502,1.001,1470
"115","epsilon[91]",0.001,0.046,-0.087,0,0.087,TRUE,0.503,1,3000
"116","epsilon[92]",0,0.045,-0.086,0,0.088,TRUE,0.502,1,3000
"117","epsilon[93]",0,0.045,-0.087,0.001,0.088,TRUE,0.506,1,3000
"118","PE[1]",0.003,0.044,-0.085,0.004,0.085,TRUE,0.529,1,3000
"119","PE[2]",0.005,0.044,-0.084,0.004,0.086,TRUE,0.54,1.002,1216
"120","PE[3]",0.005,0.044,-0.086,0.006,0.086,TRUE,0.554,1.002,950
"121","PE[4]",0.002,0.045,-0.087,0.002,0.086,TRUE,0.514,1,3000
"122","PE[5]",0.005,0.044,-0.086,0.005,0.086,TRUE,0.554,1.001,3000
"123","PE[6]",0.003,0.044,-0.086,0.003,0.088,TRUE,0.525,1,3000
"124","PE[7]",0.004,0.044,-0.087,0.005,0.086,TRUE,0.541,1,3000
"125","PE[8]",0.003,0.045,-0.084,0.002,0.087,TRUE,0.518,1,3000
"126","PE[9]",0.005,0.045,-0.084,0.005,0.089,TRUE,0.551,1.001,1792
"127","PE[10]",0.003,0.044,-0.087,0.004,0.086,TRUE,0.532,1,3000
"128","PE[11]",0.003,0.044,-0.086,0.004,0.086,TRUE,0.547,1,3000
"129","PE[12]",0.002,0.045,-0.089,0.002,0.087,TRUE,0.519,1,3000
"130","PE[13]",0.004,0.045,-0.087,0.004,0.087,TRUE,0.536,1,2347
"131","PE[14]",0.004,0.045,-0.086,0.006,0.089,TRUE,0.549,1,3000
"132","PE[15]",0.013,0.044,-0.078,0.014,0.089,TRUE,0.625,1.001,3000
"133","PE[16]",0.004,0.044,-0.085,0.005,0.086,TRUE,0.545,1.002,1048
"134","PE[17]",0.004,0.044,-0.082,0.005,0.086,TRUE,0.544,1,3000
"135","PE[18]",0.007,0.043,-0.083,0.006,0.086,TRUE,0.569,1.001,1742
"136","PE[19]",-0.021,0.043,-0.095,-0.022,0.067,TRUE,0.683,1,3000
"137","PE[20]",-0.021,0.042,-0.094,-0.022,0.067,TRUE,0.692,1.001,2973
"138","PE[21]",-0.026,0.041,-0.095,-0.027,0.058,TRUE,0.741,1,3000
"139","PE[22]",-0.019,0.042,-0.096,-0.019,0.068,TRUE,0.673,1,3000
"140","PE[23]",-0.01,0.044,-0.09,-0.01,0.079,TRUE,0.593,1,3000
"141","PE[24]",-0.018,0.042,-0.094,-0.019,0.067,TRUE,0.675,1,3000
"142","PE[25]",-0.026,0.042,-0.097,-0.027,0.063,TRUE,0.734,1.001,2124
"143","PE[26]",-0.043,0.038,-0.098,-0.047,0.038,TRUE,0.861,1,3000
"144","PE[27]",-0.046,0.036,-0.1,-0.05,0.032,TRUE,0.883,1,3000
"145","PE[28]",-0.031,0.04,-0.097,-0.033,0.054,TRUE,0.781,1,3000
"146","PE[29]",-0.013,0.043,-0.091,-0.012,0.074,TRUE,0.621,1,3000
"147","PE[30]",-0.021,0.042,-0.095,-0.023,0.065,TRUE,0.691,1,3000
"148","PE[31]",-0.028,0.041,-0.097,-0.028,0.058,TRUE,0.749,1,2562
"149","PE[32]",-0.02,0.042,-0.094,-0.021,0.066,TRUE,0.683,1,3000
"150","PE[33]",-0.003,0.043,-0.089,-0.003,0.08,TRUE,0.527,1,3000
"151","PE[34]",0.014,0.042,-0.073,0.015,0.089,TRUE,0.633,1,3000
"152","PE[35]",0.002,0.043,-0.083,0.003,0.081,TRUE,0.53,1.001,1465
"153","PE[36]",0.007,0.042,-0.078,0.007,0.085,TRUE,0.56,1.001,2234
"154","PE[37]",0.006,0.043,-0.084,0.007,0.084,TRUE,0.57,1,2427
"155","PE[38]",0.019,0.041,-0.065,0.02,0.092,TRUE,0.684,1.001,2491
"156","PE[39]",0.021,0.04,-0.066,0.021,0.091,TRUE,0.7,1,3000
"157","PE[40]",0.023,0.041,-0.063,0.025,0.092,TRUE,0.724,1,3000
"158","PE[41]",0.004,0.044,-0.085,0.005,0.085,TRUE,0.537,1,3000
"159","PE[42]",-0.003,0.045,-0.089,-0.003,0.084,TRUE,0.528,1.004,421
"160","PE[43]",-0.003,0.046,-0.09,-0.003,0.085,TRUE,0.522,1.003,740
"161","PE[44]",-0.002,0.044,-0.088,-0.001,0.086,TRUE,0.512,1,3000
"162","PE[45]",-0.001,0.046,-0.091,-0.001,0.086,TRUE,0.507,1,3000
"163","PE[46]",-0.002,0.045,-0.087,-0.003,0.084,TRUE,0.525,1,3000
"164","PE[47]",-0.001,0.045,-0.087,0,0.085,TRUE,0.505,1.001,3000
"165","PE[48]",0,0.045,-0.089,0,0.085,TRUE,0.501,1.002,920
"166","PE[49]",-0.001,0.044,-0.088,-0.002,0.085,TRUE,0.518,1,3000
"167","PE[50]",-0.001,0.046,-0.088,0,0.086,TRUE,0.503,1,3000
"168","PE[51]",-0.003,0.045,-0.088,-0.002,0.084,TRUE,0.521,1,3000
"169","PE[52]",-0.003,0.044,-0.088,-0.003,0.083,TRUE,0.528,1.001,3000
"170","PE[53]",-0.002,0.044,-0.089,-0.002,0.083,TRUE,0.52,1.001,1991
"171","PE[54]",0.001,0.045,-0.087,0.001,0.086,TRUE,0.515,1,3000
"172","PE[55]",-0.003,0.045,-0.091,-0.002,0.086,TRUE,0.52,1.001,2141
"173","PE[56]",-0.001,0.045,-0.088,-0.001,0.084,TRUE,0.511,1,3000
"174","PE[57]",-0.004,0.045,-0.091,-0.004,0.082,TRUE,0.535,1,2558
"175","PE[58]",-0.003,0.045,-0.088,-0.003,0.084,TRUE,0.527,1,2443
"176","PE[59]",-0.001,0.045,-0.087,-0.002,0.084,TRUE,0.515,1,3000
"177","PE[60]",-0.003,0.045,-0.09,-0.004,0.084,TRUE,0.531,1.001,2419
"178","PE[61]",-0.002,0.045,-0.089,-0.002,0.084,TRUE,0.517,1.001,2661
"179","PE[62]",0,0.045,-0.09,0.001,0.085,TRUE,0.509,1,2515
"180","PE[63]",-0.002,0.044,-0.087,-0.001,0.082,TRUE,0.512,1.002,1145
"181","PE[64]",-0.002,0.044,-0.087,-0.002,0.085,TRUE,0.52,1,2355
"182","PE[65]",-0.002,0.045,-0.088,-0.002,0.085,TRUE,0.514,1,3000
"183","PE[66]",-0.001,0.045,-0.088,-0.001,0.086,TRUE,0.506,1,3000
"184","PE[67]",-0.002,0.045,-0.089,-0.002,0.084,TRUE,0.516,1,3000
"185","PE[68]",-0.002,0.045,-0.088,-0.002,0.083,TRUE,0.518,1,3000
"186","PE[69]",-0.002,0.045,-0.087,-0.003,0.085,TRUE,0.523,1.001,1415
"187","PE[70]",-0.002,0.045,-0.089,-0.002,0.084,TRUE,0.518,1,3000
"188","PE[71]",-0.003,0.044,-0.087,-0.003,0.083,TRUE,0.528,1,2282
"189","PE[72]",-0.001,0.045,-0.088,-0.003,0.087,TRUE,0.519,1,3000
"190","PE[73]",-0.002,0.045,-0.089,-0.002,0.085,TRUE,0.511,1.001,1298
"191","PE[74]",-0.003,0.045,-0.091,-0.001,0.084,TRUE,0.51,1,3000
"192","PE[75]",-0.002,0.045,-0.087,-0.002,0.085,TRUE,0.518,1,3000
"193","PE[76]",-0.001,0.046,-0.089,-0.002,0.087,TRUE,0.519,1,3000
"194","PE[77]",-0.002,0.045,-0.09,-0.001,0.085,TRUE,0.512,1.001,1072
"195","PE[78]",0,0.045,-0.088,-0.001,0.084,TRUE,0.506,1.001,1312
"196","PE[79]",-0.001,0.044,-0.087,-0.001,0.083,TRUE,0.508,1,3000
"197","PE[80]",0,0.044,-0.087,0.001,0.084,TRUE,0.507,1,3000
"198","PE[81]",-0.003,0.045,-0.089,-0.002,0.084,TRUE,0.517,1,3000
"199","PE[82]",-0.001,0.044,-0.087,-0.001,0.085,TRUE,0.511,1,3000
"200","PE[83]",-0.004,0.044,-0.089,-0.003,0.082,TRUE,0.529,1,3000
"201","PE[84]",-0.003,0.045,-0.089,-0.003,0.085,TRUE,0.52,1,2872
"202","PE[85]",-0.002,0.045,-0.088,-0.002,0.084,TRUE,0.518,1,3000
"203","PE[86]",-0.002,0.046,-0.09,-0.002,0.084,TRUE,0.514,1.001,2138
"204","PE[87]",-0.002,0.045,-0.09,-0.002,0.085,TRUE,0.514,1,3000
"205","PE[88]",-0.002,0.045,-0.09,-0.003,0.086,TRUE,0.522,1.001,1372
"206","PE[89]",-0.003,0.045,-0.089,-0.003,0.085,TRUE,0.531,1,3000
"207","PE[90]",-0.001,0.044,-0.087,-0.001,0.082,TRUE,0.511,1.001,1464
"208","PE[91]",-0.001,0.046,-0.09,-0.001,0.085,TRUE,0.51,1,3000
"209","PE[92]",-0.001,0.045,-0.089,-0.001,0.085,TRUE,0.513,1,3000
"210","PE[93]",-0.002,0.045,-0.089,-0.001,0.086,TRUE,0.507,1,3000
"211","B[1,1]",7062.22,1629.869,3815.516,7050.96,10425.3,FALSE,1,1,3000
"212","B[2,1]",1919.981,663.342,770.928,1870.766,3278.111,FALSE,1,1.001,3000
"213","B[3,1]",10848.317,2029.021,6995.667,10804.085,15125.084,FALSE,1,1,3000
"214","B[4,1]",8864.972,1788.089,5442.201,8809.174,12699.849,FALSE,1,1,3000
"215","B[1,2]",7102.897,1595.779,3906.665,7084.476,10429.919,FALSE,1,1,3000
"216","B[2,2]",1940.88,649.971,806.857,1892.013,3274.324,FALSE,1,1.001,3000
"217","B[3,2]",10841.346,1996.615,7099.652,10752.602,15038.9,FALSE,1,1,3000
"218","B[4,2]",8910.549,1766.707,5610.331,8860.624,12647.525,FALSE,1,1,3000
"219","B[1,3]",7148.78,1557.065,4086.344,7119.482,10371.437,FALSE,1,1,3000
"220","B[2,3]",1965.366,633.474,863.936,1916.539,3293.208,FALSE,1,1.001,3000
"221","B[3,3]",10828.482,1951.984,7318.724,10772.612,14984.092,FALSE,1,1,3000
"222","B[4,3]",8960.513,1734.953,5780.4,8891.297,12662.504,FALSE,1,1,3000
"223","B[1,4]",7200.825,1530.616,4260.38,7175.178,10388.761,FALSE,1,1,3000
"224","B[2,4]",1990.365,618.65,904.631,1941.583,3254.316,FALSE,1,1.001,3000
"225","B[3,4]",10808.279,1902.798,7312.376,10710.344,14666.875,FALSE,1,1,2977
"226","B[4,4]",9014.191,1704.265,5892.061,8963.31,12609.127,FALSE,1,1.001,1627
"227","B[1,5]",7227.302,1492.039,4369.057,7160.014,10400.321,FALSE,1,1,3000
"228","B[2,5]",2010.715,604.051,983.01,1957.403,3287.052,FALSE,1,1.001,3000
"229","B[3,5]",10711.139,1860.644,7318.639,10592.914,14611.805,FALSE,1,1,3000
"230","B[4,5]",9040.581,1675.675,5933.442,8917.259,12579.324,FALSE,1,1.001,1792
"231","B[1,6]",7277.613,1448.581,4495.254,7244.383,10258.268,FALSE,1,1,3000
"232","B[2,6]",2021.911,585.69,1013.585,1972.048,3266.558,FALSE,1,1.001,3000
"233","B[3,6]",10436.787,1795.939,7141.429,10348.975,14223.125,FALSE,1,1,3000
"234","B[4,6]",9081.06,1631.257,6173.322,8990.689,12570.18,FALSE,1,1,2484
"235","B[1,7]",7246.583,1409.346,4517.065,7200.385,10187.119,FALSE,1,1,3000
"236","B[2,7]",2008.643,571.185,1019.495,1957.205,3202.719,FALSE,1,1,3000
"237","B[3,7]",10158.347,1744.426,6910.775,10094.673,13833.057,FALSE,1,1,3000
"238","B[4,7]",9081.517,1604.425,6160.731,8985.998,12510.548,FALSE,1,1,3000
"239","B[1,8]",7259.243,1365.908,4673.602,7196.934,10130.436,FALSE,1,1,3000
"240","B[2,8]",1997.846,554.191,1051.403,1952.616,3172.795,FALSE,1,1,3000
"241","B[3,8]",9921.04,1678.589,6807.3,9851.437,13410.599,FALSE,1,1,3000
"242","B[4,8]",9032.488,1563.57,6221.204,8945.777,12442.475,FALSE,1,1,3000
"243","B[1,9]",7190.572,1315.687,4753.078,7138.576,9975.06,FALSE,1,1,3000
"244","B[2,9]",1907.547,535.165,982.719,1856.767,3058.708,FALSE,1,1,3000
"245","B[3,9]",9735.015,1598.434,6828.537,9673.515,13113.515,FALSE,1,1,3000
"246","B[4,9]",8757.533,1515.869,6066.659,8667.642,12116.415,FALSE,1,1.001,2240
"247","B[1,10]",7129.483,1274.846,4739.939,7085.914,9873.297,FALSE,1,1,3000
"248","B[2,10]",1860.894,517.284,956.863,1814.922,2981.852,FALSE,1,1,3000
"249","B[3,10]",9567.264,1541.903,6753.295,9497.719,12807.695,FALSE,1,1,3000
"250","B[4,10]",8563.472,1468.405,6044.124,8472.384,11774.118,FALSE,1,1.001,2766
"251","B[1,11]",7109.292,1227.929,4821.942,7059.806,9724.811,FALSE,1,1,3000
"252","B[2,11]",1844.834,500.685,975.458,1804.6,2912.324,FALSE,1,1,3000
"253","B[3,11]",9449.315,1471.589,6719.634,9384.649,12577.188,FALSE,1,1,3000
"254","B[4,11]",8452.97,1416.615,5990.916,8366.201,11545.728,FALSE,1,1.001,2641
"255","B[1,12]",7113.219,1174.618,4923.038,7057.037,9566.809,FALSE,1,1,3000
"256","B[2,12]",1828.755,482.467,986.193,1784.051,2870.751,FALSE,1,1,3000
"257","B[3,12]",9375.974,1387.177,6809.18,9338.855,12260.119,FALSE,1,1,3000
"258","B[4,12]",8356.933,1360.447,5994.797,8269.657,11264.736,FALSE,1,1.001,2152
"259","B[1,13]",6944.904,1114.879,4841.846,6916.014,9302.187,FALSE,1,1,2727
"260","B[2,13]",1812.331,463.176,990.714,1767.858,2801.127,FALSE,1,1,3000
"261","B[3,13]",9299.813,1305.384,6883.487,9229.964,11959.731,FALSE,1,1,3000
"262","B[4,13]",8273.119,1303.06,5960.846,8184.023,11163.126,FALSE,1,1.001,1855
"263","B[1,14]",6916.867,1061.527,4892.121,6870.325,9121.421,FALSE,1,1.001,1639
"264","B[2,14]",1777.31,448.266,999.122,1736.905,2736.701,FALSE,1,1,3000
"265","B[3,14]",9198.892,1221.91,6941.957,9136.391,11771.616,FALSE,1,1,3000
"266","B[4,14]",8151.359,1240.834,5906.987,8073.905,10792.478,FALSE,1,1.001,1879
"267","B[1,15]",6840.22,1007.692,4940.365,6782.228,8931.905,FALSE,1,1.001,1376
"268","B[2,15]",1726.837,430.763,982.8,1689.984,2656.952,FALSE,1,1,3000
"269","B[3,15]",9058.22,1124.901,6963.126,9013.822,11325.674,FALSE,1,1.001,2791
"270","B[4,15]",8084.82,1183.583,5963.686,8019.34,10673.191,FALSE,1,1.001,1872
"271","B[1,16]",6819.305,982.677,4976.409,6776.431,8833.392,FALSE,1,1.001,1476
"272","B[2,16]",1698.23,421.518,963.682,1657.859,2630.651,FALSE,1,1,3000
"273","B[3,16]",8954.852,1085.345,6932.344,8918.624,11120.766,FALSE,1,1,2555
"274","B[4,16]",8083.392,1163.658,5999.983,8011.015,10609.95,FALSE,1,1.001,1481
"275","B[1,17]",6792.293,957.863,5007.882,6747.393,8776.46,FALSE,1,1.001,2190
"276","B[2,17]",1694.748,412.428,979.906,1659.962,2607.133,FALSE,1,1,3000
"277","B[3,17]",8868.307,1039.57,6946.513,8808.247,10985.313,FALSE,1,1,3000
"278","B[4,17]",8097.526,1132.857,6069.759,8014.666,10520.398,FALSE,1,1.001,3000
"279","B[1,18]",6708.801,914.23,5004.18,6652.41,8650.819,FALSE,1,1.001,1842
"280","B[2,18]",1672.754,400.794,974.419,1638.816,2552.532,FALSE,1,1,3000
"281","B[3,18]",8687.259,990.145,6817.447,8648.185,10707.621,FALSE,1,1,3000
"282","B[4,18]",8057.753,1101.453,6123.494,7980.124,10446.478,FALSE,1,1.001,3000
"283","B[1,19]",6654.925,885.703,5003.416,6612.378,8501.406,FALSE,1,1.002,2140
"284","B[2,19]",1678.802,391.893,1000.211,1642.949,2518.303,FALSE,1,1,3000
"285","B[3,19]",8569.508,966.576,6784.814,8536.816,10547.468,FALSE,1,1,3000
"286","B[4,19]",8056.211,1077.573,6176.672,7997.54,10336.466,FALSE,1,1.002,2499
"287","B[1,20]",6392.22,833.125,4842.968,6359.52,8140.416,FALSE,1,1.003,1919
"288","B[2,20]",1625.119,372.634,967.641,1592.326,2413.69,FALSE,1,1,3000
"289","B[3,20]",8111.729,884.829,6455.933,8086.609,9847.627,FALSE,1,1,3000
"290","B[4,20]",7815.319,1004.971,6035.855,7761.604,9898.284,FALSE,1,1.003,1688
"291","B[1,21]",6184.521,806.815,4699.721,6154.415,7820.184,FALSE,1,1.003,2876
"292","B[2,21]",1597.037,357.716,961.82,1568.203,2362.779,FALSE,1,1,3000
"293","B[3,21]",7802.874,853.501,6243.12,7781.852,9560.002,FALSE,1,1,3000
"294","B[4,21]",7592.118,964.879,5901.813,7528.538,9637.035,FALSE,1,1.002,2275
"295","B[1,22]",5978.072,780.898,4515.22,5953.356,7599.908,FALSE,1,1.003,3000
"296","B[2,22]",1559.142,341.343,960.578,1534.022,2296.734,FALSE,1,1,3000
"297","B[3,22]",7538.689,806.414,6055.639,7506.465,9177.205,FALSE,1,1,3000
"298","B[4,22]",7315.743,925.519,5657.677,7263.917,9316.711,FALSE,1,1.002,2784
"299","B[1,23]",5825.65,760.182,4409.294,5798.276,7413.288,FALSE,1,1.003,2860
"300","B[2,23]",1526.665,329.85,948.39,1501.447,2243.768,FALSE,1,1,3000
"301","B[3,23]",7327.018,773.713,5932.257,7309.446,8932.324,FALSE,1,1,3000
