"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","iter"
"1857","deviance",4519.665,27.831,4465.909,4518.522,4576.867,FALSE,1,1,3000,1
"110","r[1]",0.005,0.007,0,0.003,0.023,FALSE,1,1.002,1799,2
"25","r[2]",0.013,0.018,0,0.007,0.06,FALSE,1,1.003,3000,2
"31","r[3]",0.004,0.004,0,0.002,0.015,FALSE,1,1,3000,2
"41","r[4]",0.004,0.005,0,0.002,0.018,FALSE,1,1.004,3000,2
"51","K[1]",11123.219,5127.459,5646.731,9599.946,25080.874,FALSE,1,1.006,1306,2
"61","K[2]",6667.857,4632.141,2317.321,5160.906,20358.308,FALSE,1,1.009,297,2
"71","K[3]",14147.726,4952.69,8378.026,12861.077,27153.894,FALSE,1,1.003,838,2
"81","K[4]",11981.937,5123.035,6343.175,10532.223,25738.474,FALSE,1,1.008,1351,2
"91","phi[1]",0.718,0.25,0.241,0.732,1.126,FALSE,1,1.001,2113,2
"101","phi[2]",0.58,0.291,0.117,0.554,1.113,FALSE,1,1.007,267,2
"111","phi[3]",0.807,0.219,0.365,0.825,1.137,FALSE,1,1.002,1264,2
"121","phi[4]",0.766,0.238,0.3,0.787,1.136,FALSE,1,1.001,3000,2
"131","bigphi",0.74,0.207,0.32,0.757,1.1,FALSE,1,1,3000,2
"141","R.hyp",0.018,0.031,0,0.008,0.126,FALSE,1,1.006,2428,2
"151","Kseo",43920.74,9131.935,29043.16,42829.945,65334.303,FALSE,1,1.002,1231,2
"161","sigma",0.062,0.013,0.035,0.064,0.081,FALSE,1,1,3000,2
"171","eta",179.7,296.079,0.454,66.601,1135.843,FALSE,1,1.001,3000,2
"181","rB1",1.158,2.281,0.01,0.39,7.957,FALSE,1,1.009,732,2
"191","rB2",178.542,294.472,0.418,65.946,1134.606,FALSE,1,1.001,3000,2
"201","pi[1]",0.253,0.09,0.127,0.235,0.478,FALSE,1,1.003,1034,2
"211","pi[2]",0.15,0.087,0.051,0.123,0.39,FALSE,1,1.011,268,2
"221","pi[3]",0.325,0.092,0.18,0.313,0.544,FALSE,1,1.008,301,2
"231","pi[4]",0.272,0.088,0.139,0.258,0.484,FALSE,1,1.004,3000,2
"241","phiTau",1.68,2.466,0.5,1.148,5.68,FALSE,1,1.074,1552,2
"16271","qsCPUE[1]",2.284,0.305,1.74,2.26,2.951,FALSE,1,1,3000,2
"16281","qsCPUE[2]",9.312,1.874,6.262,9.158,13.471,FALSE,1,1,2738,2
"16291","qsCPUE[3]",4.983,0.463,4.147,4.962,5.977,FALSE,1,1.001,1487,2
"16301","qsCPUE[4]",3.916,0.455,3.114,3.894,4.904,FALSE,1,1,3000,2
"16311","Tau1",0.468,0.129,0.277,0.445,0.783,FALSE,1,1.001,3000,2
"16321","Tau2",0,0,0,0,0,FALSE,1,NA,1,2
"16331","Tau3",0.092,0.053,0.015,0.085,0.207,FALSE,1,1.001,3000,2
"18201","MSY[1]",17.513,20.123,0.44,10.066,72.074,FALSE,1,1.001,3000,2
"18211","MSY[2]",20.121,20.633,0.319,13.374,73.801,FALSE,1,1.003,1159,2
"18221","MSY[3]",15.404,17.34,0.54,8.889,63.492,FALSE,1,1,3000,2
"18231","MSY[4]",14.221,16.607,0.471,7.827,60.198,FALSE,1,1.006,2598,2
"18241","Bmsy[1]",4449.288,2050.984,2258.692,3839.978,10032.349,FALSE,1,1.006,1306,2
"18251","Bmsy[2]",2667.143,1852.856,926.929,2064.362,8143.323,FALSE,1,1.009,297,2
"18261","Bmsy[3]",5659.09,1981.076,3351.21,5144.431,10861.558,FALSE,1,1.003,838,2
"18271","Bmsy[4]",4792.775,2049.214,2537.27,4212.889,10295.39,FALSE,1,1.008,1351,2
"18281","Fmsy[1]",0.004,0.005,0,0.002,0.02,FALSE,1,1.002,1799,2
"18291","Fmsy[2]",0.011,0.015,0,0.006,0.051,FALSE,1,1.003,3000,2
"18301","Fmsy[3]",0.003,0.004,0,0.002,0.012,FALSE,1,1,3000,2
"18311","Fmsy[4]",0.003,0.004,0,0.002,0.016,FALSE,1,1.004,3000,2
"18321","Hmsy[1]",0.004,0.005,0,0.002,0.02,FALSE,1,1.002,1799,2
"18331","Hmsy[2]",0.011,0.015,0,0.006,0.051,FALSE,1,1.003,3000,2
"18341","Hmsy[3]",0.003,0.004,0,0.002,0.012,FALSE,1,1,3000,2
"18351","Hmsy[4]",0.003,0.004,0,0.002,0.016,FALSE,1,1.004,3000,2
"18361","Stock.Status[1]",0.538,0.202,0.197,0.53,0.96,FALSE,1,1,2435,2
"18371","Stock.Status[2]",0.557,0.316,0.125,0.507,1.335,FALSE,1,1.004,529,2
"18381","Stock.Status[3]",0.451,0.135,0.209,0.446,0.725,FALSE,1,1.002,1015,2
"18391","Stock.Status[4]",0.648,0.224,0.25,0.641,1.107,FALSE,1,1,3000,2
"18401","Proj1_biomass",8040.356,864.355,6498.352,7986.957,9833.698,FALSE,1,1.001,2539,2
"18411","Bmsyseo",17568.296,3652.774,11617.264,17131.978,26133.721,FALSE,1,1.002,1231,2
"18421","Fmsyseo",0.004,0.003,0,0.003,0.012,FALSE,1,1.005,1773,2
"18431","Fmsyseo2",0.004,0.003,0,0.003,0.012,FALSE,1,1.005,1773,2
"18441","Stock.Status.SEO",0.486,0.108,0.302,0.477,0.723,FALSE,1,1,3000,2
"18571","deviance",4577.132,26.515,4525.115,4577.156,4629.855,FALSE,1,1,3000,2
"112","r[1]",0.004,0.005,0,0.002,0.018,FALSE,1,1.006,1810,3
"26","r[2]",0.005,0.007,0,0.003,0.027,FALSE,1,1.007,833,3
"32","r[3]",0.003,0.003,0,0.001,0.012,FALSE,1,1.001,3000,3
"42","r[4]",0.003,0.004,0,0.002,0.015,FALSE,1,1.004,3000,3
"52","K[1]",9604.383,5261.515,4012.834,8015.339,23624.288,FALSE,1,1.028,111,3
"62","K[2]",5782.21,4425.327,1769.924,4114.995,18223.121,FALSE,1,1.003,1137,3
"72","K[3]",13403.95,6169.274,6610.636,11764.044,28242.19,FALSE,1,1.022,241,3
"82","K[4]",10569.482,5887.491,4644.483,8690.549,25622.924,FALSE,1,1.027,200,3
"92","phi[1]",0.609,0.274,0.177,0.58,1.117,FALSE,1,1.017,120,3
"102","phi[2]",0.555,0.306,0.104,0.521,1.11,FALSE,1,1.002,893,3
"113","phi[3]",0.69,0.251,0.262,0.687,1.127,FALSE,1,1.006,323,3
"122","phi[4]",0.658,0.268,0.201,0.65,1.117,FALSE,1,1.005,371,3
"132","bigphi",0.725,0.213,0.282,0.734,1.096,FALSE,1,1,3000,3
"142","R.hyp",0.013,0.025,0,0.005,0.107,FALSE,1,1.004,1751,3
"152","Kseo",39360.025,8764.853,25453.845,38149.201,59468.616,FALSE,1,1.006,449,3
"162","sigma",0.049,0.02,0.01,0.05,0.081,FALSE,1,1.001,1944,3
"172","eta",207.053,321.606,0.5,78.76,1295.483,FALSE,1,1.003,1488,3
"182","rB1",0.977,1.903,0.01,0.345,6.453,FALSE,1,1.009,1535,3
"192","rB2",206.077,320.324,0.438,78.349,1282.714,FALSE,1,1.003,1493,3
"202","pi[1]",0.244,0.113,0.096,0.217,0.52,FALSE,1,1.023,97,3
"212","pi[2]",0.147,0.101,0.042,0.11,0.423,FALSE,1,1.001,1292,3
"222","pi[3]",0.341,0.123,0.159,0.32,0.616,FALSE,1,1.01,270,3
"232","pi[4]",0.268,0.119,0.11,0.24,0.553,FALSE,1,1.013,293,3
"242","phiTau",1.615,1.822,0.521,1.144,5.919,FALSE,1,1.013,2465,3
"16272","qsCPUE[1]",2.754,0.369,2.084,2.728,3.58,FALSE,1,1,3000,3
"16282","qsCPUE[2]",9.226,1.789,6.208,9.049,13.247,FALSE,1,1.001,2384,3
"16292","qsCPUE[3]",5.202,0.471,4.336,5.185,6.152,FALSE,1,1,3000,3
"16302","qsCPUE[4]",3.952,0.44,3.14,3.942,4.853,FALSE,1,1.002,1059,3
"16312","Tau1",0.564,0.14,0.349,0.542,0.892,FALSE,1,1,3000,3
"16322","Tau2",0,0,0,0,0,FALSE,1,NA,1,3
"16332","Tau3",0.12,0.062,0.016,0.119,0.244,FALSE,1,1.001,1725,3
"18202","MSY[1]",12.123,14.844,0.283,6.724,50.905,FALSE,1,1.001,2129,3
"18212","MSY[2]",8.219,10.541,0.157,4.48,37.177,FALSE,1,1.002,3000,3
"18222","MSY[3]",11.364,14.202,0.455,6.034,51.371,FALSE,1,1.006,1796,3
"18232","MSY[4]",9.973,11.873,0.308,5.545,41.989,FALSE,1,1.003,1572,3
"18242","Bmsy[1]",3841.753,2104.606,1605.134,3206.136,9449.715,FALSE,1,1.028,111,3
"18252","Bmsy[2]",2312.884,1770.131,707.97,1645.998,7289.248,FALSE,1,1.003,1137,3
"18262","Bmsy[3]",5361.58,2467.71,2644.254,4705.618,11296.876,FALSE,1,1.022,241,3
"18272","Bmsy[4]",4227.793,2354.996,1857.793,3476.22,10249.17,FALSE,1,1.027,200,3
"18282","Fmsy[1]",0.003,0.004,0,0.002,0.015,FALSE,1,1.006,1810,3
"18292","Fmsy[2]",0.005,0.006,0,0.002,0.023,FALSE,1,1.007,833,3
"18302","Fmsy[3]",0.002,0.003,0,0.001,0.01,FALSE,1,1.001,3000,3
"18312","Fmsy[4]",0.003,0.003,0,0.001,0.013,FALSE,1,1.004,3000,3
"18322","Hmsy[1]",0.003,0.004,0,0.002,0.015,FALSE,1,1.006,1810,3
"18332","Hmsy[2]",0.005,0.006,0,0.002,0.023,FALSE,1,1.007,833,3
"18342","Hmsy[3]",0.002,0.003,0,0.001,0.01,FALSE,1,1.001,3000,3
"18352","Hmsy[4]",0.003,0.003,0,0.001,0.013,FALSE,1,1.004,3000,3
"18362","Stock.Status[1]",0.241,0.117,0.073,0.223,0.496,FALSE,1,1.013,153,3
"18372","Stock.Status[2]",0.336,0.201,0.065,0.299,0.804,FALSE,1,1.003,681,3
"18382","Stock.Status[3]",0.167,0.064,0.067,0.162,0.301,FALSE,1,1.005,410,3
"18392","Stock.Status[4]",0.433,0.185,0.137,0.417,0.817,FALSE,1,1.004,715,3
"18402","Proj1_biomass",3179.995,396.983,2435.821,3172.591,3999,FALSE,1,1,2701,3
"18412","Bmsyseo",15744.01,3505.941,10181.538,15259.68,23787.446,FALSE,1,1.006,449,3
"18422","Fmsyseo",0.003,0.002,0,0.002,0.009,FALSE,1,1.001,3000,3
"18432","Fmsyseo2",0.003,0.002,0,0.002,0.009,FALSE,1,1.001,3000,3
"18442","Stock.Status.SEO",0.233,0.055,0.141,0.228,0.352,FALSE,1,1.005,474,3
"18572","deviance",4453.304,26.852,4402.108,4452.125,4506.476,FALSE,1,1.002,1870,3
"114","r[1]",0.038,0.037,0.001,0.026,0.153,FALSE,1,1.001,3000,4
"27","r[2]",0.013,0.018,0,0.008,0.057,FALSE,1,1.009,1557,4
"33","r[3]",0.007,0.007,0,0.004,0.026,FALSE,1,1,3000,4
"43","r[4]",0.006,0.008,0,0.003,0.027,FALSE,1,1.002,3000,4
"53","K[1]",9295.334,5138.136,3748.554,7702.122,23377.965,FALSE,1,1,3000,4
"63","K[2]",5551.164,4012.814,1891.265,4065.984,16476.414,FALSE,1,1.02,257,4
"73","K[3]",13361.914,5548.185,7308.937,11687.715,27944.624,FALSE,1,1.027,157,4
"83","K[4]",11419.545,4989.194,5775.601,10018.424,24566.847,FALSE,1,1.013,365,4
"93","phi[1]",0.576,0.28,0.139,0.55,1.111,FALSE,1,1,3000,4
"103","phi[2]",0.6,0.298,0.13,0.582,1.122,FALSE,1,1.006,372,4
"115","phi[3]",0.75,0.243,0.296,0.767,1.13,FALSE,1,1.01,222,4
"123","phi[4]",0.723,0.247,0.274,0.725,1.128,FALSE,1,1.003,604,4
"133","bigphi",0.73,0.213,0.294,0.744,1.1,FALSE,1,1.002,717,4
"143","R.hyp",0.031,0.037,0.001,0.018,0.151,FALSE,1,1.001,1840,4
"153","Kseo",39627.956,8415.114,26335.207,38570.927,58536.552,FALSE,1,1,3000,4
"163","sigma",0.042,0.022,0.008,0.042,0.08,FALSE,1,1.001,1962,4
"173","eta",115.2,228.87,0.408,35.027,846.411,FALSE,1,1.002,3000,4
"183","rB1",1.582,3.494,0.011,0.52,10.57,FALSE,1,1.007,3000,4
"193","rB2",113.618,226.248,0.368,34.414,825.314,FALSE,1,1.002,3000,4
"203","pi[1]",0.234,0.108,0.093,0.207,0.497,FALSE,1,1,3000,4
"213","pi[2]",0.139,0.086,0.047,0.11,0.367,FALSE,1,1.015,267,4
"223","pi[3]",0.338,0.11,0.178,0.32,0.592,FALSE,1,1.024,112,4
"233","pi[4]",0.289,0.103,0.141,0.27,0.531,FALSE,1,1.009,377,4
"243","phiTau",1.796,2.635,0.513,1.178,6.665,FALSE,1,1.017,3000,4
"16273","qsCPUE[1]",2.158,0.299,1.65,2.14,2.792,FALSE,1,1.001,2413,4
"16283","qsCPUE[2]",10.706,2.125,7.244,10.483,15.595,FALSE,1,1,3000,4
"16293","qsCPUE[3]",4.567,0.426,3.81,4.546,5.488,FALSE,1,1.003,822,4
"16303","qsCPUE[4]",3.247,0.38,2.557,3.222,4.051,FALSE,1,1.001,3000,4
"16313","Tau1",0.459,0.144,0.242,0.437,0.817,FALSE,1,1,3000,4
"16323","Tau2",0,0,0,0,0,FALSE,1,NA,1,4
"16333","Tau3",0.118,0.061,0.016,0.116,0.244,FALSE,1,1,3000,4
"18203","MSY[1]",85.12,51.209,2.6,80.164,202.146,FALSE,1,1,3000,4
"18213","MSY[2]",16.804,16.418,0.246,12.617,57.86,FALSE,1,1.002,3000,4
"18223","MSY[3]",26.361,26.412,0.589,18.735,89.191,FALSE,1,1,2808,4
"18233","MSY[4]",18.869,21.26,0.444,11.529,75.673,FALSE,1,1,3000,4
"18243","Bmsy[1]",3718.134,2055.254,1499.422,3080.849,9351.186,FALSE,1,1,3000,4
"18253","Bmsy[2]",2220.465,1605.126,756.506,1626.393,6590.566,FALSE,1,1.02,257,4
"18263","Bmsy[3]",5344.765,2219.274,2923.575,4675.086,11177.85,FALSE,1,1.027,157,4
"18273","Bmsy[4]",4567.818,1995.677,2310.24,4007.37,9826.739,FALSE,1,1.013,365,4
"18283","Fmsy[1]",0.032,0.031,0.001,0.022,0.128,FALSE,1,1.001,3000,4
"18293","Fmsy[2]",0.011,0.015,0,0.006,0.048,FALSE,1,1.009,1557,4
"18303","Fmsy[3]",0.006,0.006,0,0.004,0.022,FALSE,1,1,3000,4
"18313","Fmsy[4]",0.005,0.006,0,0.003,0.023,FALSE,1,1.002,3000,4
"18323","Hmsy[1]",0.032,0.031,0.001,0.022,0.128,FALSE,1,1.001,3000,4
"18333","Hmsy[2]",0.011,0.015,0,0.006,0.048,FALSE,1,1.009,1557,4
"18343","Hmsy[3]",0.006,0.006,0,0.004,0.022,FALSE,1,1,3000,4
"18353","Hmsy[4]",0.005,0.006,0,0.003,0.023,FALSE,1,1.002,3000,4
"18363","Stock.Status[1]",0.921,0.456,0.268,0.84,1.961,FALSE,1,1,3000,4
"18373","Stock.Status[2]",0.632,0.354,0.133,0.584,1.439,FALSE,1,1.005,430,4
"18383","Stock.Status[3]",0.541,0.187,0.216,0.532,0.915,FALSE,1,1.008,281,4
"18393","Stock.Status[4]",0.819,0.3,0.318,0.806,1.419,FALSE,1,1.003,826,4
"18403","Proj1_biomass",9151.922,948.366,7286.99,9153.369,10946.826,FALSE,1,1.002,1009,4
"18413","Bmsyseo",15851.183,3366.045,10534.083,15428.371,23414.621,FALSE,1,1,3000,4
"18423","Fmsyseo",0.01,0.006,0.001,0.009,0.024,FALSE,1,1,3000,4
"18433","Fmsyseo2",0.01,0.006,0.001,0.009,0.024,FALSE,1,1,3000,4
"18443","Stock.Status.SEO",0.622,0.142,0.389,0.606,0.93,FALSE,1,1,3000,4
"18573","deviance",4555.944,26.725,4504.397,4555.172,4609.958,FALSE,1,1,3000,4
"116","r[1]",0.012,0.016,0,0.008,0.054,FALSE,1,1.016,954,5
"28","r[2]",0.012,0.018,0,0.006,0.051,FALSE,1,1.014,2141,5
"34","r[3]",0.004,0.006,0,0.002,0.02,FALSE,1,1,3000,5
"44","r[4]",0.006,0.007,0,0.003,0.026,FALSE,1,1,3000,5
"54","K[1]",10352.872,4825.367,5051.025,9041.069,22895.033,FALSE,1,1.005,925,5
"64","K[2]",6518.546,4366.881,2526.409,5120.756,18604.67,FALSE,1,1.015,667,5
"74","K[3]",13851.827,4875.554,8162.876,12598.017,26634.236,FALSE,1,1.001,3000,5
"84","K[4]",10950.889,4846.537,5756.288,9499.126,24142.097,FALSE,1,1.006,1993,5
"94","phi[1]",0.685,0.262,0.216,0.683,1.126,FALSE,1,1,3000,5
"104","phi[2]",0.625,0.284,0.145,0.619,1.117,FALSE,1,1.001,3000,5
"117","phi[3]",0.795,0.219,0.356,0.813,1.132,FALSE,1,1,3000,5
"124","phi[4]",0.746,0.245,0.269,0.769,1.129,FALSE,1,1.001,1717,5
"134","bigphi",0.738,0.211,0.301,0.746,1.109,FALSE,1,1.001,2345,5
"144","R.hyp",0.019,0.03,0.001,0.009,0.125,FALSE,1,1.003,2078,5
"154","Kseo",41674.134,8786.766,27868.338,40443.139,62255.778,FALSE,1,1.002,1765,5
"164","sigma",0.048,0.021,0.009,0.049,0.08,FALSE,1,1,3000,5
"174","eta",192.701,314.174,0.736,71.226,1236.664,FALSE,1,1.002,2149,5
"184","rB1",1.638,3.378,0.013,0.544,11.045,FALSE,1,1.003,3000,5
"194","rB2",191.062,311.86,0.669,70.717,1226.906,FALSE,1,1.002,2144,5
"204","pi[1]",0.249,0.093,0.115,0.229,0.473,FALSE,1,1.003,1105,5
"214","pi[2]",0.154,0.083,0.062,0.129,0.382,FALSE,1,1.012,752,5
"224","pi[3]",0.335,0.092,0.187,0.324,0.542,FALSE,1,1.002,987,5
"234","pi[4]",0.262,0.089,0.133,0.245,0.482,FALSE,1,1.004,1706,5
"244","phiTau",1.609,1.668,0.503,1.138,5.889,FALSE,1,1.002,3000,5
"16274","qsCPUE[1]",2.339,0.311,1.775,2.32,2.996,FALSE,1,1,3000,5
"16284","qsCPUE[2]",7.015,1.415,4.665,6.875,10.208,FALSE,1,1,3000,5
"16294","qsCPUE[3]",5.186,0.478,4.305,5.162,6.189,FALSE,1,1.001,1447,5
"16304","qsCPUE[4]",4.114,0.462,3.286,4.089,5.077,FALSE,1,1.001,3000,5
"16314","Tau1",0.383,0.123,0.198,0.361,0.682,FALSE,1,1,3000,5
"16324","Tau2",0,0,0,0,0,FALSE,1,NA,1,5
"16334","Tau3",0.116,0.06,0.016,0.115,0.238,FALSE,1,1,3000,5
"18204","MSY[1]",35.514,35.108,0.521,25.111,124.846,FALSE,1,1.001,3000,5
"18214","MSY[2]",18.862,20.237,0.251,12.582,70.679,FALSE,1,1.005,1028,5
"18224","MSY[3]",19.063,22.29,0.533,10.9,80.467,FALSE,1,1,3000,5
"18234","MSY[4]",17.738,21.138,0.448,9.871,76.673,FALSE,1,1,3000,5
"18244","Bmsy[1]",4141.149,1930.147,2020.41,3616.428,9158.013,FALSE,1,1.005,925,5
"18254","Bmsy[2]",2607.418,1746.752,1010.563,2048.302,7441.868,FALSE,1,1.015,667,5
"18264","Bmsy[3]",5540.731,1950.222,3265.15,5039.207,10653.694,FALSE,1,1.001,3000,5
"18274","Bmsy[4]",4380.356,1938.615,2302.515,3799.65,9656.839,FALSE,1,1.006,1993,5
"18284","Fmsy[1]",0.01,0.013,0,0.006,0.046,FALSE,1,1.016,954,5
"18294","Fmsy[2]",0.01,0.015,0,0.005,0.043,FALSE,1,1.014,2141,5
"18304","Fmsy[3]",0.004,0.005,0,0.002,0.017,FALSE,1,1,3000,5
"18314","Fmsy[4]",0.005,0.006,0,0.002,0.022,FALSE,1,1,3000,5
"18324","Hmsy[1]",0.01,0.013,0,0.006,0.046,FALSE,1,1.016,954,5
"18334","Hmsy[2]",0.01,0.015,0,0.005,0.043,FALSE,1,1.014,2141,5
"18344","Hmsy[3]",0.004,0.005,0,0.002,0.017,FALSE,1,1,3000,5
"18354","Hmsy[4]",0.005,0.006,0,0.002,0.022,FALSE,1,1,3000,5
"18364","Stock.Status[1]",0.738,0.298,0.274,0.706,1.373,FALSE,1,1.004,735,5
"18374","Stock.Status[2]",0.745,0.363,0.189,0.706,1.554,FALSE,1,1.003,3000,5
"18384","Stock.Status[3]",0.598,0.182,0.277,0.59,0.954,FALSE,1,1.002,1016,5
"18394","Stock.Status[4]",0.794,0.28,0.308,0.783,1.352,FALSE,1,1.001,3000,5
"18404","Proj1_biomass",9751.712,1061.24,7749.085,9720.694,11806.751,FALSE,1,1.002,1001,5
"18414","Bmsyseo",16669.654,3514.707,11147.335,16177.256,24902.311,FALSE,1,1.002,1765,5
"18424","Fmsyseo",0.006,0.005,0,0.004,0.019,FALSE,1,1,3000,5
"18434","Fmsyseo2",0.006,0.005,0,0.004,0.019,FALSE,1,1,3000,5
"18444","Stock.Status.SEO",0.634,0.144,0.392,0.619,0.954,FALSE,1,1,3000,5
"18574","deviance",4612.227,27.839,4560.049,4611.26,4669.462,FALSE,1,1.001,1566,5
"118","r[1]",0.007,0.011,0,0.004,0.035,FALSE,1,1.001,3000,6
"29","r[2]",0.009,0.014,0,0.005,0.045,FALSE,1,1.027,747,6
"35","r[3]",0.009,0.01,0,0.005,0.035,FALSE,1,1.005,1397,6
"45","r[4]",0.009,0.012,0,0.004,0.04,FALSE,1,1.005,1668,6
"55","K[1]",10823.721,4401.992,6056.733,9668.999,22754.806,FALSE,1,1,3000,6
"65","K[2]",6047.112,4124.769,2422.11,4700.572,17398.254,FALSE,1,1.006,944,6
"75","K[3]",14895.335,5149.259,9158.838,13484.518,28292.233,FALSE,1,1.002,3000,6
"85","K[4]",11634.489,4415.066,6678.981,10430.242,22885.062,FALSE,1,1.003,2513,6
"95","phi[1]",0.776,0.235,0.303,0.797,1.133,FALSE,1,1.001,1793,6
"105","phi[2]",0.635,0.284,0.148,0.632,1.116,FALSE,1,1.003,628,6
"119","phi[3]",0.801,0.219,0.35,0.828,1.13,FALSE,1,1,2639,6
"125","phi[4]",0.786,0.228,0.333,0.807,1.133,FALSE,1,1,3000,6
"135","bigphi",0.747,0.209,0.295,0.754,1.109,FALSE,1,1.001,3000,6
"145","R.hyp",0.018,0.028,0,0.009,0.117,FALSE,1,1,3000,6
"155","Kseo",43400.656,8719.887,29250.335,42273.211,63879.567,FALSE,1,1,3000,6
"165","sigma",0.04,0.022,0.008,0.038,0.08,FALSE,1,1,3000,6
