"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","iter"
"84","K[4]",9202.805,4638.03,4115.655,7912.456,21647.392,FALSE,1,1.001,2317,55
"94","phi[1]",0.631,0.276,0.159,0.623,1.122,FALSE,1,1,3000,55
"104","phi[2]",0.392,0.287,0.053,0.308,1.06,FALSE,1,1.011,199,55
"117","phi[3]",0.687,0.266,0.219,0.691,1.128,FALSE,1,1.001,3000,55
"124","phi[4]",0.531,0.261,0.144,0.492,1.078,FALSE,1,1.001,2355,55
"134","bigphi",0.718,0.211,0.286,0.725,1.09,FALSE,1,1,3000,55
"144","R.hyp",0.046,0.033,0.013,0.036,0.156,FALSE,1,1.009,951,55
"154","Kseo",34564.414,8129.86,21846.825,33525.264,52949.622,FALSE,1,1,3000,55
"164","sigma",0.023,0.017,0.007,0.017,0.072,FALSE,1,1,3000,55
"174","eta",233.888,326.952,3.298,104.504,1284.776,FALSE,1,1.001,2110,55
"184","rB1",7.225,9.781,0.237,3.615,38.037,FALSE,1,1,2883,55
"194","rB2",226.663,317.935,2.909,101.503,1252.736,FALSE,1,1.001,2091,55
"204","pi[1]",0.229,0.101,0.101,0.203,0.504,FALSE,1,1.002,3000,55
"214","pi[2]",0.149,0.101,0.038,0.117,0.419,FALSE,1,1.019,146,55
"224","pi[3]",0.354,0.13,0.171,0.327,0.661,FALSE,1,1.005,581,55
"234","pi[4]",0.267,0.109,0.11,0.247,0.528,FALSE,1,1.002,1092,55
"244","phiTau",1.804,3.75,0.53,1.193,6.314,FALSE,1,1.175,3000,55
"16274","qsCPUE[1]",2.185,0.308,1.654,2.156,2.846,FALSE,1,1,3000,55
"16284","qsCPUE[2]",11.841,2.526,7.792,11.592,17.321,FALSE,1,1.001,3000,55
"16294","qsCPUE[3]",4.642,0.457,3.774,4.641,5.534,FALSE,1,1.001,2186,55
"16304","qsCPUE[4]",3.607,0.44,2.847,3.577,4.54,FALSE,1,1.002,1126,55
"16314","Tau1",0.451,0.137,0.248,0.427,0.789,FALSE,1,1,3000,55
"16324","Tau2",0,0,0,0,0,FALSE,1,NA,1,55
"16334","Tau3",0.132,0.06,0.021,0.132,0.251,FALSE,1,1.001,1538,55
"18204","MSY[1]",73.767,33.805,14.225,71.001,153.404,FALSE,1,1,3000,55
"18214","MSY[2]",57.84,31.424,17.793,51.153,137.388,FALSE,1,1.028,266,55
"18224","MSY[3]",80.364,34.217,15.028,78.586,154.947,FALSE,1,1.002,3000,55
"18234","MSY[4]",109.041,44.633,34.04,102.923,225.868,FALSE,1,1,3000,55
"18244","Bmsy[1]",3143.561,1707.793,1523.456,2575.127,7961.606,FALSE,1,1.002,3000,55
"18254","Bmsy[2]",2120.664,1744.204,549.78,1499.799,6908.997,FALSE,1,1.026,159,55
"18264","Bmsy[3]",4880.418,2289.485,2577.08,4139.999,11185.518,FALSE,1,1.008,691,55
"18274","Bmsy[4]",3681.122,1855.212,1646.262,3164.982,8658.957,FALSE,1,1.001,2317,55
"18284","Fmsy[1]",0.029,0.021,0.004,0.024,0.085,FALSE,1,1.001,3000,55
"18294","Fmsy[2]",0.038,0.028,0.01,0.03,0.127,FALSE,1,1.022,242,55
"18304","Fmsy[3]",0.019,0.01,0.003,0.018,0.042,FALSE,1,1,3000,55
"18314","Fmsy[4]",0.037,0.029,0.008,0.029,0.131,FALSE,1,1.001,3000,55
"18324","Hmsy[1]",0.029,0.021,0.004,0.024,0.085,FALSE,1,1.001,3000,55
"18334","Hmsy[2]",0.038,0.028,0.01,0.03,0.127,FALSE,1,1.022,242,55
"18344","Hmsy[3]",0.019,0.01,0.003,0.018,0.042,FALSE,1,1,3000,55
"18354","Hmsy[4]",0.037,0.029,0.008,0.029,0.131,FALSE,1,1.001,3000,55
"18364","Stock.Status[1]",0.983,0.386,0.306,0.975,1.806,FALSE,1,1,3000,55
"18374","Stock.Status[2]",0.932,0.548,0.175,0.839,2.163,FALSE,1,1.012,183,55
"18384","Stock.Status[3]",0.741,0.272,0.262,0.736,1.259,FALSE,1,1.001,2605,55
"18394","Stock.Status[4]",1.292,0.504,0.467,1.249,2.295,FALSE,1,1.001,1671,55
"18404","Proj1_biomass",10956.1,860.135,9360.796,10934.609,12709.713,FALSE,1,1,3000,55
"18414","Bmsyseo",13825.766,3251.944,8738.73,13410.105,21179.849,FALSE,1,1,3000,55
"18424","Fmsyseo",0.024,0.009,0.009,0.023,0.046,FALSE,1,1,3000,55
"18434","Fmsyseo2",0.024,0.009,0.009,0.023,0.046,FALSE,1,1,3000,55
"18444","Stock.Status.SEO",0.829,0.2,0.5,0.807,1.277,FALSE,1,1,3000,55
"18574","deviance",4550.402,26.461,4500.613,4549.47,4604.633,FALSE,1,1.002,1025,55
"118","r[1]",0.011,0.014,0,0.007,0.043,FALSE,1,1.002,3000,56
"29","r[2]",0.009,0.01,0,0.006,0.035,FALSE,1,1.001,3000,56
"35","r[3]",0.013,0.01,0,0.012,0.038,FALSE,1,1.001,3000,56
"45","r[4]",0.008,0.008,0,0.005,0.031,FALSE,1,1,3000,56
"55","K[1]",10088.879,4883.141,4947.035,8644.201,23890.062,FALSE,1,1.004,3000,56
"65","K[2]",6125.644,4735.225,2113.116,4420.637,18972.203,FALSE,1,1.017,379,56
"75","K[3]",12739.094,4974.376,7121.481,11384.853,25791.305,FALSE,1,1,2764,56
"85","K[4]",10054.999,4940.918,4991.561,8483.686,23892.325,FALSE,1,1.003,1049,56
"95","phi[1]",0.686,0.263,0.213,0.689,1.122,FALSE,1,1,3000,56
"105","phi[2]",0.574,0.298,0.116,0.554,1.109,FALSE,1,1.005,384,56
"119","phi[3]",0.716,0.244,0.28,0.718,1.126,FALSE,1,1.001,1862,56
"125","phi[4]",0.691,0.261,0.233,0.69,1.123,FALSE,1,1.002,829,56
"135","bigphi",0.737,0.214,0.297,0.746,1.106,FALSE,1,1,3000,56
"145","R.hyp",0.019,0.026,0.001,0.012,0.1,FALSE,1,1.005,1512,56
"155","Kseo",39008.616,8649.085,25569.71,37957.704,59022.534,FALSE,1,1,3000,56
