year.landed,mgmt.area,permit.fishery,gear.description,round.lbs
1991,CSEO,B06B,Longline,130912
1991,CSEO,B61B,Longline,1265063
1991,CSEO,M61B,Longline,2422
1991,EYKT,,Longline,140419
1991,EYKT,,Other/unspecified/missing,41243
1991,EYKT,B06B,Longline,51131
1991,EYKT,B61B,Longline,1220780
1991,NSEI,,Longline,47363
1991,NSEI,,Other/unspecified/missing,15992
1991,NSEI,B06B,Longline,544378
1991,NSEI,B61B,Longline,2238192
1991,NSEI,C61B,Longline,1079
1991,NSEO,,Longline,17099
1991,NSEO,,Other/unspecified/missing,27279
1991,NSEO,B06B,Longline,29444
1991,NSEO,B61B,Longline,1037568
1991,NSEO,C06B,Longline,1795
1991,NSEO,C61B,Longline,3190
1991,SSEI,,Longline,3652
1991,SSEI,,Other/unspecified/missing,42207
1991,SSEI,B06B,Longline,148798
1991,SSEI,B61B,Longline,513841
1991,SSEI,C61C,Longline,48
1991,SSEO,,Longline,60233
1991,SSEO,,Other/unspecified/missing,34741
1991,SSEO,B06B,Longline,61637
1991,SSEO,B61B,Longline,972676
1991,SSEO,C61B,Longline,250
1991,SSEO,M06B,Longline,109
1992,CSEO,,Longline,58618
1992,CSEO,,Other/unspecified/missing,47299
1992,CSEO,B06B,Longline,220649
1992,CSEO,B61B,Longline,1367210
1992,CSEO,C61B,Longline,4140
1992,EYKT,,Longline,309644
1992,EYKT,,Other/unspecified/missing,68587
1992,EYKT,B06B,Longline,53507
1992,EYKT,B61B,Longline,1191630
1992,NSEI,,Longline,32382
1992,NSEI,,Other/unspecified/missing,12595
1992,NSEI,B06B,Longline,504019
1992,NSEI,B61B,Longline,2488592
1992,NSEI,C61A,Longline,100
1992,NSEO,,Longline,58325
1992,NSEO,,Other/unspecified/missing,71040
1992,NSEO,B06B,Longline,31215
1992,NSEO,B61B,Longline,915522
1992,SSEI,,Longline,9311
1992,SSEI,,Other/unspecified/missing,20093
1992,SSEI,B06B,Longline,157481
1992,SSEI,B61B,Longline,584747
1992,SSEO,,Longline,88334
1992,SSEO,,Other/unspecified/missing,61857
1992,SSEO,B06B,Longline,77390
1992,SSEO,B61B,Longline,1061105
1993,CSEO,,Longline,45735
1993,CSEO,,Other/unspecified/missing,31782
1993,CSEO,B06B,Longline,171732
1993,CSEO,B61B,Longline,1909314
1993,EYKT,,Longline,325482
1993,EYKT,,Other/unspecified/missing,83116
1993,EYKT,B06B,Longline,29078
1993,EYKT,B61B,Longline,988159
1993,EYKT,C61B,Longline,27575
1993,NSEI,,Longline,33442
1993,NSEI,,Other/unspecified/missing,24252
1993,NSEI,B06B,Longline,558963
1993,NSEI,B61B,Longline,2451441
1993,NSEI,M61B,Longline,2792
1993,NSEO,,Longline,89766
1993,NSEO,,Other/unspecified/missing,25610
1993,NSEO,B06B,Longline,27063
1993,NSEO,B61B,Longline,1000722
1993,NSEO,C61B,Longline,16658
1993,SSEI,,Longline,4218
1993,SSEI,,Other/unspecified/missing,19036
1993,SSEI,B06B,Longline,176298
1993,SSEI,B61B,Longline,581523
1993,SSEO,,Longline,209876
1993,SSEO,,Other/unspecified/missing,128313
1993,SSEO,B06B,Longline,93606
1993,SSEO,B61B,Longline,1883351
1993,SSEO,M61B,Longline,11602
1994,CSEO,,Longline,37067
1994,CSEO,,Other/unspecified/missing,91989
1994,CSEO,B06B,Longline,129487
1994,CSEO,B61B,Longline,2305463
1994,EYKT,,Longline,162595
1994,EYKT,,Other/unspecified/missing,179604
1994,EYKT,B06B,Longline,45875
1994,EYKT,B61B,Longline,1189526
1994,EYKT,C61B,Longline,714
1994,NSEI,,Longline,9521
1994,NSEI,,Other/unspecified/missing,37482
1994,NSEI,B06B,Longline,382437
1994,NSEI,B61B,Longline,2287654
1994,NSEI,M06B,Longline,767
1994,NSEO,,Longline,104224
1994,NSEO,,Other/unspecified/missing,59571
1994,NSEO,B06B,Longline,33937
1994,NSEO,B61B,Longline,1210302
1994,SSEI,,Longline,11226
1994,SSEI,,Other/unspecified/missing,34793
1994,SSEI,B06B,Longline,145743
1994,SSEI,B61B,Longline,653839
1994,SSEI,C61B,Longline,268
1994,SSEO,,Longline,260350
1994,SSEO,,Other/unspecified/missing,193391
1994,SSEO,B06B,Longline,113229
1994,SSEO,B61B,Longline,1327823
1995,CSEO,,Longline,45264
1995,CSEO,,Other/unspecified/missing,60188
1995,CSEO,B06B,Longline,83292
1995,CSEO,B61B,Longline,1508482
1995,CSEO,C61B,Longline,3565
1995,CSEO,M61B,Longline,905
1995,EYKT,,Longline,240396
1995,EYKT,,Other/unspecified/missing,10636
1995,EYKT,B06B,Longline,35393
1995,EYKT,B61B,Longline,632607
1995,NSEI,,Longline,62201
1995,NSEI,,Other/unspecified/missing,40807
1995,NSEI,B06B,Longline,220626
1995,NSEI,B61B,Longline,1762457
1995,NSEI,C61A,Longline,952
1995,NSEI,M06B,Longline,92
1995,NSEI,M61B,Longline,3404
1995,NSEO,,Longline,132461
1995,NSEO,,Other/unspecified/missing,25544
1995,NSEO,B06B,Longline,45484
1995,NSEO,B61B,Longline,1277788
1995,NSEO,C61B,Longline,28
1995,SSEI,,Longline,6479
1995,SSEI,,Other/unspecified/missing,14589
1995,SSEI,B06B,Longline,75616
1995,SSEI,B61B,Longline,707387
1995,SSEO,,Longline,53738
1995,SSEO,,Other/unspecified/missing,12258
1995,SSEO,B06B,Longline,25122
1995,SSEO,B61B,Longline,508883
1995,SSEO,C61B,Longline,535
1996,CSEO,,Longline,88459
1996,CSEO,,Other/unspecified/missing,31710
1996,CSEO,B06B,Longline,817020
1996,CSEO,B61B,Longline,1328621
1996,CSEO,C06B,Longline,46
1996,CSEO,C61B,Longline,760
1996,EYKT,,Longline,264814
1996,EYKT,,Other/unspecified/missing,131444
1996,EYKT,B06B,Longline,296847
1996,EYKT,B61B,Longline,681036
1996,NSEI,,Longline,68611
1996,NSEI,,Other/unspecified/missing,13293
1996,NSEI,B06B,Longline,1186176
1996,NSEI,B61B,Longline,2027976
1996,NSEI,C61A,Longline,2353
1996,NSEI,M06B,Longline,345
1996,NSEO,,Longline,118497
1996,NSEO,,Other/unspecified/missing,35863
1996,NSEO,B06B,Longline,941516
1996,NSEO,B61B,Longline,1372531
1996,SSEI,,Longline,28803
1996,SSEI,,Other/unspecified/missing,22966
1996,SSEI,B06B,Longline,363250
1996,SSEI,B61B,Longline,600799
1996,SSEI,M06B,Longline,321
1996,SSEO,,Longline,97742
1996,SSEO,,Other/unspecified/missing,34040
1996,SSEO,B06B,Longline,337540
1996,SSEO,B61B,Longline,548241
1997,CSEO,,Longline,33888
1997,CSEO,,Other/unspecified/missing,2536
1997,CSEO,B06B,Longline,832869
1997,CSEO,B61B,Longline,914921
1997,CSEO,C06B,Longline,22644
1997,EYKT,,Longline,57736
1997,EYKT,,Other/unspecified/missing,44637
1997,EYKT,B06B,Longline,1265228
1997,EYKT,B61B,Longline,1041823
1997,NSEI,,Longline,17810
1997,NSEI,B06B,Longline,2166367
1997,NSEI,B61B,Longline,2431174
1997,NSEO,,Longline,28993
1997,NSEO,,Other/unspecified/missing,501
1997,NSEO,B06B,Longline,601456
1997,NSEO,B61B,Longline,699218
1997,SSEI,,Longline,8342
1997,SSEI,,Other/unspecified/missing,4199
1997,SSEI,B06B,Longline,642842
1997,SSEI,B61B,Longline,868199
1997,SSEO,,Longline,80150
1997,SSEO,B06B,Longline,277798
1997,SSEO,B61B,Longline,468288
1998,CSEO,,Longline,60182
1998,CSEO,,Other/unspecified/missing,188
1998,CSEO,B06B,Longline,2106760
1998,CSEO,B61B,Longline,1269152
1998,EYKT,,Longline,145328
1998,EYKT,,Other/unspecified/missing,13166
1998,EYKT,B06B,Longline,2761048
1998,EYKT,B61B,Longline,1654682
1998,NSEI,,Longline,89646
1998,NSEI,,Other/unspecified/missing,2194
1998,NSEI,B06B,Longline,5440528
1998,NSEI,B61B,Longline,4312368
1998,NSEO,,Longline,264970
1998,NSEO,,Other/unspecified/missing,9856
1998,NSEO,B06B,Longline,1168800
1998,NSEO,B61B,Longline,688186
1998,SSEI,,Longline,972
1998,SSEI,B06B,Longline,1332410
1998,SSEI,B61B,Longline,1259120
1998,SSEO,,Longline,236
1998,SSEO,,Other/unspecified/missing,62446
1998,SSEO,B06B,Longline,1128586
1998,SSEO,B61B,Longline,749564
1999,CSEO,,Longline,16602
1999,CSEO,,Other/unspecified/missing,2274
1999,CSEO,B06B,Longline,999732
1999,CSEO,B61B,Longline,415222
1999,EYKT,,Longline,91249
1999,EYKT,,Other/unspecified/missing,33714
1999,EYKT,B06B,Longline,1328723
1999,EYKT,B61B,Longline,718030
1999,NSEI,,Longline,27968
1999,NSEI,,Other/unspecified/missing,6
1999,NSEI,B06B,Longline,2847890
1999,NSEI,B61B,Longline,1934987
1999,NSEO,,Longline,17093
1999,NSEO,B06B,Longline,724643
1999,NSEO,B61B,Longline,377044
1999,SSEI,,Longline,745
1999,SSEI,,Other/unspecified/missing,3669
1999,SSEI,B06B,Longline,929030
1999,SSEI,B61B,Longline,611024
1999,SSEO,B06B,Longline,473501
1999,SSEO,B61B,Longline,633940
2000,CSEO,,Longline,23851
2000,CSEO,,Other/unspecified/missing,739
2000,CSEO,B06B,Longline,948587
2000,CSEO,B61B,Longline,457636
2000,EYKT,,Longline,61411
2000,EYKT,,Other/unspecified/missing,11487
2000,EYKT,B06B,Longline,1168566
2000,EYKT,B61B,Longline,536281
2000,NSEI,,Longline,31381
2000,NSEI,,Other/unspecified/missing,10027
2000,NSEI,B06B,Longline,2176679
2000,NSEI,B61B,Longline,1317482
2000,NSEO,,Longline,735
2000,NSEO,B06B,Longline,627218
2000,NSEO,B61B,Longline,223468
2000,SSEI,,Longline,2954
2000,SSEI,,Other/unspecified/missing,1187
2000,SSEI,B06B,Longline,796949
2000,SSEI,B61B,Longline,482841
2000,SSEO,,Other/unspecified/missing,1369
2000,SSEO,B06B,Longline,617163
2000,SSEO,B61B,Longline,480474
2001,CSEO,,Longline,7635
2001,CSEO,,Other/unspecified/missing,5140
2001,CSEO,B06B,Longline,1440435
2001,CSEO,B61B,Longline,369594
2001,EYKT,,Longline,87
2001,EYKT,,Other/unspecified/missing,2920
2001,EYKT,B06B,Longline,1478241
2001,EYKT,B61B,Longline,396870
2001,NSEI,,Longline,12029
2001,NSEI,,Other/unspecified/missing,13391
2001,NSEI,B06B,Longline,2361296
2001,NSEI,B61B,Longline,813658
2001,NSEO,,Longline,6
2001,NSEO,,Other/unspecified/missing,2453
2001,NSEO,B06B,Longline,796049
2001,NSEO,B61B,Longline,190680
2001,SSEI,,Longline,2306
2001,SSEI,,Other/unspecified/missing,948
2001,SSEI,B06B,Longline,756432
2001,SSEI,B61B,Longline,307757
2001,SSEO,,Longline,55089
2001,SSEO,,Other/unspecified/missing,68
2001,SSEO,B06B,Longline,858313
2001,SSEO,B61B,Longline,215832
2002,CSEO,,Longline,14673
2002,CSEO,,Other/unspecified/missing,12
2002,CSEO,B06B,Longline,1684492
2002,CSEO,B61B,Longline,172512
2002,EYKT,,Longline,48833
2002,EYKT,B06B,Longline,1863487
2002,EYKT,B61B,Longline,199306
2002,NSEI,,Longline,27324
2002,NSEI,,Other/unspecified/missing,102
2002,NSEI,B06B,Longline,2942477
2002,NSEI,B61B,Longline,339168
2002,NSEO,,Longline,7124
2002,NSEO,,Other/unspecified/missing,162
2002,NSEO,B06B,Longline,1092806
2002,NSEO,B61B,Longline,67791
2002,SSEI,,Longline,402
2002,SSEI,,Other/unspecified/missing,6607
2002,SSEI,B06B,Longline,873826
2002,SSEI,B61B,Longline,168476
2002,SSEO,,Longline,17888
2002,SSEO,B06B,Longline,1015403
2002,SSEO,B61B,Longline,207274
2003,CSEO,,Longline,4277
2003,CSEO,B06B,Longline,1510384
2003,CSEO,B61B,Longline,164826
2003,EYKT,,Longline,39545
2003,EYKT,,Other/unspecified/missing,5767
2003,EYKT,B06B,Longline,2096446
2003,EYKT,B61B,Longline,166757
2003,NSEI,,Longline,13199
2003,NSEI,B06B,Longline,3623223
2003,NSEI,B61B,Longline,250410
2003,NSEO,B06B,Longline,898029
2003,NSEO,B61B,Longline,29924
2003,SSEI,,Longline,1463
2003,SSEI,,Other/unspecified/missing,465
2003,SSEI,B06B,Longline,800794
2003,SSEI,B61B,Longline,85396
2003,SSEO,,Longline,14520
2003,SSEO,,Other/unspecified/missing,4518
2003,SSEO,B06B,Longline,959128
2003,SSEO,B61B,Longline,74354
2004,CSEO,,Longline,850
2004,CSEO,B06B,Longline,1800485
2004,CSEO,B61B,Longline,123216
2004,CSEO,B61Z,Longline,23154
2004,EYKT,,Longline,3083
2004,EYKT,B06B,Longline,2322031
2004,EYKT,B61B,Longline,264899
2004,NSEI,,Longline,33638
2004,NSEI,,Other/unspecified/missing,1688
2004,NSEI,B06B,Longline,4700147
2004,NSEI,B61B,Longline,204763
2004,NSEO,,Other/unspecified/missing,5738
2004,NSEO,B06B,Longline,940710
2004,NSEO,B61B,Longline,12875
2004,NSEO,B61Z,Longline,1432
2004,SSEI,,Longline,912
2004,SSEI,,Other/unspecified/missing,4205
2004,SSEI,B06B,Longline,849284
2004,SSEI,B06Z,Longline,7986
2004,SSEI,B61B,Longline,102931
2004,SSEO,,Longline,25659
2004,SSEO,B06B,Longline,1346291
2004,SSEO,B61B,Longline,112887
2005,CSEO,,Longline,16857
2005,CSEO,,Other/unspecified/missing,23887
2005,CSEO,B06B,Longline,1708227
2005,CSEO,B61B,Longline,148571
