OBJECTID,Dive,Seconds,Sec_From,Sec_To,T_seg,Start_End,Comment_,Family,Shape_Length
184,17,20164,20164,0,GGF,END,,Good,
193,17,17708,17708,17786,GGF,START,,Good,30.44869665
48,18,22997,22997,25535,GGF,START,,Good,1007.551332
142,18,25535,25535,0,GGF,END,,Good,
7,19,29685,29685,30474,GGF,START,,Good,347.9280565
37,19,31046,31046,31072,GGF,,see in belly,Good,8.782383945
131,19,31072,31072,32349,GGF,,,Good,475.5389413
186,19,30487,30487,31046,GGF,,,Good,168.7984817
223,19,32349,32349,0,GGF,END,,Good,
85,20,34415,34415,37316,GGF,START,,Good,995.2807328
177,20,37316,37316,0,GGF,END,,Good,
41,21,39607,39607,42082,GGF,START,,Good,980.2520768
134,21,42082,42082,0,GGF,END,,Good,
43,22,53602,53602,53779,GGF,,,Good,65.01147646
62,22,52912,52912,52960,GGF,,,Good,16.26253518
120,22,52973,52973,53018,GGF,,,Good,18.73022734
121,22,52518,52518,52905,GGF,,,Good,156.0087321
136,22,53779,53779,0,GGF,END,,Good,
165,22,51975,51975,52511,GGF,,,Good,206.0088999
210,22,51396,51396,51963,GGF,START,,Good,267.7147156
215,22,53031,53031,53585,GGF,,,Good,249.386541
11,23,57325,57325,57352,GGF,,can see in belly,Good,11.31295509
13,23,57934,57934,58008,GGF,,,Good,29.3342714
18,23,56716,56716,56746,GGF,,,Good,14.07513018
36,23,58272,58272,58396,GGF,,,Good,29.1442741
40,23,58509,58509,58523,GGF,,can see in belly,Good,6.242154617
47,23,58142,58142,58152,GGF,,can see in belly,Good,4.553530455
56,23,57621,57621,57911,GGF,,,Good,108.9274976
63,23,56145,56145,56709,GGF,,,Good,226.094638
66,23,57028,57028,57033,GGF,,can see in belly,Good,2.669009844
84,23,58453,58453,58462,GGF,,can see in belly,Good,3.564305295
90,23,58008,58008,58016,GGF,,can see in belly,Good,3.282295753
94,23,58211,58211,58248,GGF,,,Good,10.12344392
101,23,57352,57352,57617,GGF,,,Good,96.21089952
110,23,56746,56746,56755,GGF,,can see in belly,Good,4.007571753
117,23,58523,58523,58545,GGF,,,Good,9.856583586
122,23,56127,56127,56135,GGF,,,Good,2.256981134
130,23,58396,58396,58426,GGF,,,Good,9.916699005
141,23,58152,58152,58193,GGF,,,Good,16.71528499
148,23,57911,57911,57934,GGF,,can see in belly,Good,9.575126653
154,23,56709,56709,56716,GGF,,can see in belly,Good,3.40060872
157,23,57033,57033,57325,GGF,,,Good,130.4116209
166,23,56096,56096,56120,GGF,,,Good,7.00474827
176,23,58462,58462,58509,GGF,,,Good,20.0597035
183,23,58016,58016,58142,GGF,,,Good,57.95140917
192,23,57617,57617,57621,GGF,,can see in belly,Good,1.272611224
202,23,56755,56755,57028,GGF,,,Good,109.0881862
209,23,58545,58545,0,GGF,END,,Good,
212,23,55958,55958,56084,GGF,START,,Good,44.70051701
222,23,58426,58426,58453,GGF,,,Good,9.993520622
27,24,72199,72199,73207,GGF,,,Good,528.2806486
73,24,71293,71293,72188,GGF,START,,Good,467.8326674
119,24,73207,73207,0,GGF,END,,Good,
10,25,18912,18912,20374,GGF,,,Good,612.7557326
64,25,18667,18667,18897,GGF,,,Good,82.05800748
99,25,20374,20374,0,GGF,END,,Good,
109,25,18434,18434,18648,GGF,,,Good,82.77975491
145,25,18897,18897,18912,GGF,,can see in belly,Good,5.729306749
152,25,18238,18238,18423,GGF,,,Good,70.17297417
198,25,17961,17961,18228,GGF,START,,Good,132.2825523
201,25,18648,18648,18667,GGF,,can see in belly,Good,6.100250658
147,26,43917,43917,44080,GGF,,,Good,56.66177701
190,26,42988,42988,43907,GGF,START,,Good,394.6582378
227,26,44080,44080,0,GGF,END,dive cut short,Good,
4,27,28506,28506,28819,GGF,,,Good,142.5084992
46,27,26788,26788,28496,GGF,,,Good,834.9855661
89,27,26753,26753,26772,GGF,START,,Good,6.979829125
92,27,28819,28819,0,GGF,END,,Good,
140,27,28496,28496,28506,GGF,,can see in belly,Good,3.874485224
33,28,37622,37622,0,GGF,END,,Good,
169,28,35481,35481,37622,GGF,START,,Good,994.6406015
22,29,50234,50234,50523,GGF,,,Good,113.6265964
25,29,51455,51455,51468,GGF,,can see in belly,Good,5.130293474
70,29,50652,50652,50663,GGF,,can see in belly,Good,4.459480267
81,29,49907,49907,50221,GGF,,,Good,119.4201066
105,29,51468,51468,51703,GGF,,,Good,104.0070695
114,29,50523,50523,50532,GGF,,can see in belly,Good,3.736222418
127,29,49181,49181,49897,GGF,START,,Good,259.8270603
161,29,50663,50663,51455,GGF,,,Good,331.4301084
173,29,50221,50221,50234,GGF,,can see in belly,Good,4.977459742
196,29,51703,51703,0,GGF,END,,Good,
206,29,50532,50532,50652,GGF,,,Good,48.78128707
219,29,49897,49897,49907,GGF,,can see in belly,Good,3.542617699
5,30,53886,53886,54706,GGF,START,,Good,391.5043524
34,30,54776,54776,54784,GGF,,can see in belly,Good,2.722709297
38,30,55780,55780,55824,GGF,,,Good,14.25214723
82,30,54811,54811,55755,GGF,,,Good,403.848111
93,30,54706,54706,54723,GGF,,can see in belly,Good,7.37437282
118,30,55909,55909,56218,GGF,,,Good,121.608617
162,30,55861,55861,55897,GGF,,,Good,12.36962331
170,30,54723,54723,54776,GGF,,,Good,20.26183355
197,30,56218,56218,0,GGF,END,,Good,
207,30,55845,55845,55851,GGF,,,Good,1.952132984
220,30,54803,54803,54811,GGF,,can see in belly,Good,2.467035713
9,31,59427,59427,59888,GGF,,,Good,215.2585541
16,31,58551,58551,58577,GGF,,,Good,13.67070413
50,31,58593,58593,59407,GGF,,,Good,394.6544919
53,31,59914,59914,60367,GGF,,,Good,238.559482
60,31,58360,58360,58546,GGF,START,,Good,117.6623944
108,31,58577,58577,58584,GGF,,can see in belly,Good,3.546259645
144,31,59407,59407,59427,GGF,,can see in belly,Good,9.887197862
146,31,60367,60367,0,GGF,END,,Good,
151,31,58546,58546,58551,GGF,,can see in belly,Good,2.741321561
189,31,59908,59908,59914,GGF,,can see in belly,Good,2.206093689
31,32,70040,70040,70201,GGF,,,Good,57.27967473
68,32,72109,72109,72386,GGF,,,Good,94.69367334
77,32,69958,69958,70022,GGF,,,Good,18.66585434
112,32,71866,71866,72092,GGF,,,Good,87.3417439
138,32,69827,69827,69948,GGF,,,Good,35.93137579
159,32,72386,72386,0,GGF,END,,Good,
171,32,71499,71499,71856,GGF,,,Good,136.261577
181,32,69794,69794,69815,GGF,,,Good,6.596841256
217,32,70215,70215,71492,GGF,,,Good,499.2892101
226,32,69656,69656,69785,GGF,START,,Good,40.79364503
23,33,74350,74350,75878,GGF,START,,Good,561.7170321
58,33,77133,77133,0,GGF,END,,Good,
103,33,75878,75878,75914,GGF,,can see in belly,Good,12.63132027
194,33,75914,75914,77133,GGF,,,Good,432.7104331
