"","Seconds","DIVE_NO","ROV_X","ROV_Y","Family"
"62",46359,1,522695.84,6199016.86,"Good"
"63",46360,1,522695.84,6199016.86,"Good"
"64",46361,1,522695.84,6199016.86,"Good"
"65",46362,1,522695.84,6199016.86,"Good"
"66",46363,1,522695.84,6199016.86,"Good"
"67",46364,1,522692.74,6199016.62,"Good"
"68",46365,1,522692.74,6199016.62,"Good"
"69",46366,1,522692.74,6199016.62,"Good"
"70",46367,1,522692.65,6199016.72,"Good"
"71",46368,1,522692.65,6199016.72,"Good"
"72",46369,1,522692.65,6199016.72,"Good"
"73",46370,1,522693.94,6199014.49,"Good"
"74",46371,1,522693.94,6199014.49,"Good"
"75",46372,1,522693.94,6199014.49,"Good"
"76",46373,1,522693.94,6199014.49,"Good"
"77",46374,1,522693.94,6199014.49,"Good"
"78",46375,1,522693.94,6199014.49,"Good"
"79",46376,1,522693.94,6199014.49,"Good"
"80",46377,1,522693.94,6199014.49,"Good"
"81",46378,1,522693.94,6199014.49,"Good"
"82",46379,1,522693.94,6199014.49,"Good"
"83",46380,1,522693.94,6199014.49,"Good"
"84",46381,1,522693.94,6199014.49,"Good"
"85",46382,1,522693.94,6199014.49,"Good"
"86",46383,1,522693.94,6199014.49,"Good"
"87",46384,1,522693.94,6199014.49,"Good"
"88",46385,1,522697.15,6199007.17,"Good"
"89",46386,1,522697.15,6199007.17,"Good"
"90",46387,1,522697.15,6199007.17,"Good"
"91",46388,1,522697.6,6199005.29,"Good"
"92",46389,1,522697.6,6199005.29,"Good"
"93",46390,1,522697.6,6199005.29,"Good"
"94",46391,1,522697.79,6199003.62,"Good"
"95",46392,1,522697.79,6199003.62,"Good"
"96",46393,1,522697.79,6199003.62,"Good"
"97",46394,1,522697.79,6199003.62,"Good"
"98",46395,1,522697.79,6199003.62,"Good"
"99",46396,1,522697.79,6199003.62,"Good"
"100",46397,1,522697.79,6199003.62,"Good"
"101",46398,1,522697.79,6199003.62,"Good"
"102",46399,1,522697.12,6198997.8,"Good"
"103",46400,1,522697.12,6198997.8,"Good"
"104",46401,1,522697.12,6198997.8,"Good"
"105",46402,1,522698.45,6198997.14,"Good"
"106",46403,1,522698.45,6198997.14,"Good"
"107",46404,1,522698.45,6198997.14,"Good"
"108",46405,1,522697.08,6198994.38,"Good"
"109",46406,1,522697.08,6198994.38,"Good"
"110",46407,1,522697.08,6198994.38,"Good"
"111",46408,1,522697.08,6198994.38,"Good"
"112",46409,1,522697.08,6198994.38,"Good"
"113",46410,1,522697.08,6198994.38,"Good"
"114",46411,1,522697.08,6198994.38,"Good"
"115",46412,1,522697.08,6198994.38,"Good"
"116",46413,1,522697.08,6198994.38,"Good"
"117",46414,1,522696.82,6198988.98,"Good"
"118",46415,1,522696.82,6198988.98,"Good"
"119",46416,1,522696.82,6198988.98,"Good"
"120",46417,1,522696.82,6198988.98,"Good"
"121",46418,1,522696.82,6198988.98,"Good"
"122",46419,1,522696.82,6198988.98,"Good"
"123",46420,1,522696.82,6198988.98,"Good"
"124",46421,1,522696.82,6198988.98,"Good"
"125",46422,1,522696.82,6198988.98,"Good"
"126",46423,1,522696.82,6198988.98,"Good"
"127",46424,1,522690.04,6198983.54,"Good"
"128",46425,1,522690.04,6198983.54,"Good"
"129",46426,1,522690.04,6198983.54,"Good"
"130",46427,1,522689.33,6198982.99,"Good"
"131",46428,1,522689.33,6198982.99,"Good"
"132",46429,1,522689.33,6198982.99,"Good"
"133",46430,1,522688.06,6198982.16,"Good"
"134",46431,1,522688.06,6198982.16,"Good"
"135",46432,1,522688.06,6198982.16,"Good"
"136",46433,1,522684.75,6198981.97,"Good"
"137",46434,1,522684.75,6198981.97,"Good"
"138",46435,1,522684.75,6198981.97,"Good"
"139",46436,1,522683.67,6198981.47,"Good"
"140",46437,1,522683.67,6198981.47,"Good"
"141",46438,1,522683.67,6198981.47,"Good"
"142",46439,1,522683.67,6198981.47,"Good"
"143",46440,1,522683.67,6198981.47,"Good"
"144",46441,1,522683.67,6198981.47,"Good"
"145",46442,1,522683.67,6198981.47,"Good"
"146",46443,1,522683.67,6198981.47,"Good"
"147",46444,1,522681.57,6198979.42,"Good"
"148",46445,1,522681.57,6198979.42,"Good"
"149",46446,1,522681.57,6198979.42,"Good"
"150",46447,1,522681.57,6198979.42,"Good"
"151",46448,1,522681.57,6198979.42,"Good"
"152",46449,1,522681.57,6198979.42,"Good"
"153",46450,1,522681.57,6198979.42,"Good"
"154",46451,1,522681.57,6198979.42,"Good"
"155",46452,1,522679.51,6198979.73,"Good"
"156",46453,1,522679.51,6198979.73,"Good"
"157",46454,1,522679.51,6198979.73,"Good"
"158",46455,1,522676.93,6198978.34,"Good"
"159",46456,1,522676.93,6198978.34,"Good"
"160",46457,1,522676.93,6198978.34,"Good"
"161",46458,1,522677.67,6198977.51,"Good"
"162",46459,1,522677.67,6198977.51,"Good"
"163",46460,1,522677.67,6198977.51,"Good"
"164",46461,1,522674.13,6198977.17,"Good"
"165",46462,1,522674.13,6198977.17,"Good"
"166",46463,1,522674.13,6198977.17,"Good"
"167",46464,1,522675.34,6198976.56,"Good"
"168",46465,1,522675.34,6198976.56,"Good"
"169",46466,1,522675.34,6198976.56,"Good"
"170",46467,1,522672.31,6198976.74,"Good"
"171",46468,1,522672.31,6198976.74,"Good"
"172",46469,1,522672.31,6198976.74,"Good"
"173",46470,1,522672.31,6198976.74,"Good"
"174",46471,1,522672.31,6198976.74,"Good"
"175",46472,1,522670.37,6198975.3,"Good"
"176",46473,1,522670.37,6198975.3,"Good"
"177",46474,1,522670.37,6198975.3,"Good"
"178",46475,1,522669.23,6198974.29,"Good"
"179",46476,1,522669.23,6198974.29,"Good"
"180",46477,1,522669.23,6198974.29,"Good"
"181",46478,1,522669.23,6198974.29,"Good"
"182",46479,1,522669.23,6198974.29,"Good"
"183",46480,1,522669.23,6198974.29,"Good"
"184",46481,1,522669.23,6198974.29,"Good"
"185",46482,1,522669.23,6198974.29,"Good"
"186",46483,1,522669.23,6198974.29,"Good"
"187",46484,1,522669.23,6198974.29,"Good"
"188",46485,1,522669.23,6198974.29,"Good"
"189",46486,1,522669.23,6198974.29,"Good"
"190",46487,1,522666.15,6198971.87,"Good"
"191",46488,1,522666.15,6198971.87,"Good"
"192",46489,1,522666.15,6198971.87,"Good"
"193",46490,1,522664.84,6198970.48,"Good"
"194",46491,1,522664.84,6198970.48,"Good"
"195",46492,1,522664.84,6198970.48,"Good"
"196",46493,1,522664.84,6198970.48,"Good"
"197",46494,1,522664.84,6198970.48,"Good"
"198",46495,1,522664.84,6198970.48,"Good"
"199",46496,1,522664.84,6198970.48,"Good"
"200",46497,1,522664.84,6198970.48,"Good"
"201",46498,1,522662.67,6198967.88,"Good"
"202",46499,1,522662.67,6198967.88,"Good"
"203",46500,1,522662.67,6198967.88,"Good"
"204",46501,1,522662.67,6198967.88,"Good"
"205",46502,1,522662.67,6198967.88,"Good"
"206",46503,1,522662.67,6198967.88,"Good"
"207",46504,1,522662.67,6198967.88,"Good"
"208",46505,1,522662.67,6198967.88,"Good"
"209",46506,1,522660.94,6198965.74,"Good"
"210",46507,1,522660.94,6198965.74,"Good"
"211",46508,1,522660.94,6198965.74,"Good"
"212",46509,1,522659.75,6198965.51,"Good"
"213",46510,1,522659.75,6198965.51,"Good"
"214",46511,1,522659.75,6198965.51,"Good"
"215",46512,1,522659.75,6198965.51,"Good"
"216",46513,1,522659.75,6198965.51,"Good"
"217",46514,1,522659.75,6198965.51,"Good"
"218",46515,1,522659.75,6198965.51,"Good"
"219",46516,1,522659.75,6198965.51,"Good"
"220",46517,1,522659.75,6198965.51,"Good"
"221",46518,1,522658.69,6198962.74,"Good"
"222",46519,1,522658.69,6198962.74,"Good"
"223",46520,1,522658.69,6198962.74,"Good"
"224",46521,1,522657.86,6198960.37,"Good"
"225",46522,1,522657.86,6198960.37,"Good"
"226",46523,1,522657.86,6198960.37,"Good"
"227",46524,1,522657.68,6198960.36,"Good"
"228",46525,1,522657.68,6198960.36,"Good"
"229",46526,1,522657.68,6198960.36,"Good"
"230",46527,1,522657.68,6198960.36,"Good"
"231",46528,1,522657.68,6198960.36,"Good"
"232",46529,1,522657.68,6198960.36,"Good"
"233",46530,1,522657.68,6198960.36,"Good"
"234",46531,1,522657.68,6198960.36,"Good"
"235",46532,1,522657.68,6198960.36,"Good"
"236",46533,1,522657.68,6198960.36,"Good"
"237",46534,1,522655.87,6198956.88,"Good"
"238",46535,1,522655.87,6198956.88,"Good"
"239",46536,1,522655.87,6198956.88,"Good"
"240",46537,1,522655.87,6198956.88,"Good"
"241",46538,1,522655.87,6198956.88,"Good"
"242",46539,1,522655.87,6198956.88,"Good"
"243",46540,1,522655.87,6198956.88,"Good"
"244",46541,1,522655.87,6198956.88,"Good"
"245",46542,1,522653.69,6198956.22,"Good"
"246",46543,1,522653.69,6198956.22,"Good"
"247",46544,1,522653.69,6198956.22,"Good"
"248",46545,1,522653.69,6198956.22,"Good"
"249",46546,1,522653.69,6198956.22,"Good"
"250",46547,1,522653.69,6198956.22,"Good"
"251",46548,1,522653.69,6198956.22,"Good"
"252",46549,1,522653.69,6198956.22,"Good"
"253",46550,1,522653.69,6198956.22,"Good"
"254",46551,1,522653.69,6198956.22,"Good"
"255",46552,1,522653.69,6198956.22,"Good"
"256",46553,1,522653.69,6198956.22,"Good"
"257",46554,1,522653.69,6198956.22,"Good"
"258",46555,1,522650.05,6198950.44,"Good"
"259",46556,1,522650.05,6198950.44,"Good"
"260",46557,1,522650.05,6198950.44,"Good"
"261",46558,1,522649.38,6198949.73,"Good"
"262",46559,1,522649.38,6198949.73,"Good"
"263",46560,1,522649.38,6198949.73,"Good"
"264",46561,1,522649.38,6198949.73,"Good"
"265",46562,1,522649.38,6198949.73,"Good"
"266",46563,1,522649.38,6198949.73,"Good"
"267",46564,1,522649.38,6198949.73,"Good"
"268",46565,1,522646.85,6198948.03,"Good"
"269",46566,1,522646.85,6198948.03,"Good"
"270",46567,1,522646.85,6198948.03,"Good"
"271",46568,1,522646.85,6198948.03,"Good"
"272",46569,1,522646.85,6198948.03,"Good"
"273",46570,1,522646.85,6198948.03,"Good"
"274",46571,1,522646.85,6198948.03,"Good"
"275",46572,1,522646.85,6198948.03,"Good"
"276",46573,1,522646.85,6198948.03,"Good"
"277",46574,1,522646.85,6198948.03,"Good"
"278",46575,1,522646.85,6198948.03,"Good"
"279",46576,1,522646.85,6198948.03,"Good"
"280",46577,1,522646.85,6198948.03,"Good"
"281",46578,1,522646.85,6198948.03,"Good"
"282",46579,1,522646.85,6198948.03,"Good"
"283",46580,1,522643.42,6198943.62,"Good"
"284",46581,1,522643.42,6198943.62,"Good"
"285",46582,1,522643.42,6198943.62,"Good"
"286",46583,1,522643.42,6198943.62,"Good"
"287",46584,1,522643.42,6198943.62,"Good"
"288",46585,1,522643.42,6198943.62,"Good"
"289",46586,1,522643.42,6198943.62,"Good"
"290",46587,1,522643.42,6198943.62,"Good"
"291",46588,1,522643.42,6198943.62,"Good"
"292",46589,1,522643.42,6198943.62,"Good"
"293",46590,1,522643.42,6198943.62,"Good"
"294",46591,1,522643.42,6198943.62,"Good"
"295",46592,1,522643.42,6198943.62,"Good"
"296",46593,1,522643.42,6198943.62,"Good"
"297",46594,1,522643.42,6198943.62,"Good"
"298",46595,1,522643.42,6198943.62,"Good"
"299",46596,1,522639.49,6198939.81,"Good"
"300",46597,1,522639.49,6198939.81,"Good"
"301",46598,1,522639.49,6198939.81,"Good"
"302",46599,1,522639.14,6198938.64,"Good"
"303",46600,1,522639.14,6198938.64,"Good"
"304",46601,1,522639.14,6198938.64,"Good"
"305",46602,1,522639.14,6198938.64,"Good"
"306",46603,1,522639.14,6198938.64,"Good"
"307",46604,1,522639.14,6198938.64,"Good"
"308",46605,1,522639.14,6198938.64,"Good"
"309",46606,1,522639.14,6198938.64,"Good"
"310",46607,1,522639.14,6198938.64,"Good"
"311",46608,1,522639.14,6198938.64,"Good"
"312",46609,1,522639.14,6198938.64,"Good"
"313",46610,1,522639.14,6198938.64,"Good"
"314",46611,1,522639.14,6198938.64,"Good"
"315",46612,1,522636.57,6198934.98,"Good"
"316",46613,1,522636.57,6198934.98,"Good"
"317",46614,1,522636.57,6198934.98,"Good"
"318",46615,1,522636.73,6198935.86,"Good"
"319",46616,1,522636.73,6198935.86,"Good"
"320",46617,1,522636.73,6198935.86,"Good"
"321",46618,1,522636.73,6198935.86,"Good"
"322",46619,1,522636.73,6198935.86,"Good"
"323",46620,1,522636.73,6198935.86,"Good"
"324",46621,1,522636.73,6198935.86,"Good"
"325",46622,1,522636.73,6198935.86,"Good"
"326",46623,1,522636.73,6198935.86,"Good"
"327",46624,1,522636.73,6198935.86,"Good"
"328",46625,1,522636.73,6198935.86,"Good"
"329",46626,1,522636.73,6198935.86,"Good"
"330",46627,1,522636.73,6198935.86,"Good"
"331",46628,1,522636.73,6198935.86,"Good"
"332",46629,1,522636.73,6198935.86,"Good"
"333",46630,1,522635,6198930.3,"Good"
"334",46631,1,522635,6198930.3,"Good"
"335",46632,1,522635,6198930.3,"Good"
"336",46633,1,522635,6198930.3,"Good"
"337",46634,1,522634.69,6198930.65,"Good"
"338",46635,1,522634.69,6198930.65,"Good"
"339",46636,1,522634.69,6198930.65,"Good"
"340",46637,1,522634.69,6198930.65,"Good"
"341",46638,1,522634.69,6198930.65,"Good"
"342",46639,1,522634.15,6198927.84,"Good"
"343",46640,1,522634.15,6198927.84,"Good"
"344",46641,1,522634.15,6198927.84,"Good"
"345",46642,1,522633.87,6198927.5,"Good"
"346",46643,1,522633.87,6198927.5,"Good"
"347",46644,1,522633.87,6198927.5,"Good"
"348",46645,1,522633.65,6198926.59,"Good"
"349",46646,1,522633.65,6198926.59,"Good"
"350",46647,1,522633.65,6198926.59,"Good"
"351",46648,1,522633.65,6198926.59,"Good"
"352",46649,1,522633.65,6198926.59,"Good"
"353",46650,1,522633.65,6198926.59,"Good"
"354",46651,1,522633.65,6198926.59,"Good"
"355",46652,1,522633.65,6198926.59,"Good"
"356",46653,1,522633.12,6198925.13,"Good"
"357",46654,1,522633.12,6198925.13,"Good"
"358",46655,1,522633.12,6198925.13,"Good"
"359",46656,1,522631.76,6198923.53,"Good"
"360",46657,1,522631.76,6198923.53,"Good"
"361",46658,1,522631.76,6198923.53,"Good"
"362",46659,1,522631.76,6198923.53,"Good"
"363",46660,1,522631.76,6198923.53,"Good"
"364",46661,1,522631.76,6198923.53,"Good"
"365",46662,1,522631.76,6198923.53,"Good"
"366",46663,1,522631.76,6198923.53,"Good"
"367",46664,1,522631.36,6198921.89,"Good"
"368",46665,1,522631.36,6198921.89,"Good"
"369",46666,1,522631.36,6198921.89,"Good"
"370",46667,1,522629.16,6198920.88,"Good"
"371",46668,1,522629.16,6198920.88,"Good"
"372",46669,1,522629.16,6198920.88,"Good"
"373",46670,1,522629.59,6198920.02,"Good"
"374",46671,1,522629.59,6198920.02,"Good"
"375",46672,1,522629.59,6198920.02,"Good"
"376",46673,1,522627.53,6198919.48,"Good"
"377",46674,1,522627.53,6198919.48,"Good"
"378",46675,1,522627.53,6198919.48,"Good"
"379",46676,1,522627.53,6198919.48,"Good"
"380",46677,1,522627.53,6198919.48,"Good"
"381",46678,1,522627.53,6198919.48,"Good"
"382",46679,1,522627.53,6198919.48,"Good"
"383",46680,1,522627.53,6198919.48,"Good"
"384",46681,1,522627.53,6198919.48,"Good"
"385",46682,1,522627.53,6198919.48,"Good"
"386",46683,1,522627.53,6198919.48,"Good"
"387",46684,1,522627.53,6198919.48,"Good"
"388",46685,1,522627.53,6198919.48,"Good"
"389",46686,1,522627.53,6198919.48,"Good"
"390",46687,1,522625.15,6198915.51,"Good"
"391",46688,1,522625.15,6198915.51,"Good"
"392",46689,1,522625.15,6198915.51,"Good"
"393",46690,1,522625.15,6198915.51,"Good"
"394",46691,1,522625.15,6198915.51,"Good"
"395",46692,1,522625.15,6198915.51,"Good"
"396",46693,1,522625.15,6198915.51,"Good"
"397",46694,1,522625.15,6198915.51,"Good"
"398",46695,1,522625.15,6198915.51,"Good"
"399",46696,1,522625.15,6198915.51,"Good"
"400",46697,1,522625.15,6198915.51,"Good"
"401",46698,1,522625.15,6198915.51,"Good"
"402",46699,1,522625.15,6198915.51,"Good"
"403",46700,1,522621.99,6198910.88,"Good"
"404",46701,1,522621.99,6198910.88,"Good"
"405",46702,1,522621.99,6198910.88,"Good"
"406",46703,1,522621.01,6198910.18,"Good"
"407",46704,1,522621.01,6198910.18,"Good"
"408",46705,1,522621.01,6198910.18,"Good"
"409",46706,1,522621.01,6198910.18,"Good"
"410",46707,1,522621.01,6198910.18,"Good"
"411",46708,1,522621.01,6198910.18,"Good"
"412",46709,1,522621.01,6198910.18,"Good"
"413",46710,1,522621.01,6198910.18,"Good"
"414",46711,1,522621.01,6198910.18,"Good"
"415",46712,1,522621.01,6198910.18,"Good"
"416",46713,1,522621.01,6198910.18,"Good"
"417",46714,1,522621.01,6198910.18,"Good"
"418",46715,1,522617.17,6198906.73,"Good"
"419",46716,1,522617.17,6198906.73,"Good"
"420",46717,1,522617.17,6198906.73,"Good"
"421",46718,1,522617.17,6198906.73,"Good"
"422",46719,1,522617.17,6198906.73,"Good"
"423",46720,1,522617.17,6198906.73,"Good"
"424",46721,1,522617.17,6198906.73,"Good"
"425",46722,1,522617.17,6198906.73,"Good"
"426",46723,1,522613.78,6198904.54,"Good"
"427",46724,1,522613.78,6198904.54,"Good"
"428",46725,1,522613.78,6198904.54,"Good"
"429",46726,1,522613.34,6198904.72,"Good"
"430",46727,1,522613.34,6198904.72,"Good"
"431",46728,1,522613.34,6198904.72,"Good"
"432",46729,1,522611.46,6198904,"Good"
"433",46730,1,522611.46,6198904,"Good"
"434",46731,1,522611.46,6198904,"Good"
"435",46732,1,522611.53,6198904.25,"Good"
"436",46733,1,522611.53,6198904.25,"Good"
"437",46734,1,522611.53,6198904.25,"Good"
"438",46735,1,522609.98,6198903.45,"Good"
"439",46736,1,522609.98,6198903.45,"Good"
"440",46737,1,522609.98,6198903.45,"Good"
"441",46738,1,522609.98,6198903.45,"Good"
"442",46739,1,522609.98,6198903.45,"Good"
"443",46740,1,522608.29,6198903.21,"Good"
"444",46741,1,522608.29,6198903.21,"Good"
"445",46742,1,522608.29,6198903.21,"Good"
"446",46743,1,522607.03,6198903.08,"Good"
"447",46744,1,522607.03,6198903.08,"Good"
"448",46745,1,522607.03,6198903.08,"Good"
"449",46746,1,522606.75,6198902.4,"Good"
"450",46747,1,522606.75,6198902.4,"Good"
"451",46748,1,522606.75,6198902.4,"Good"
"452",46749,1,522605.25,6198901.56,"Good"
"453",46750,1,522605.25,6198901.56,"Good"
"454",46751,1,522605.25,6198901.56,"Good"
"455",46752,1,522605.25,6198901.56,"Good"
"456",46753,1,522605.25,6198901.56,"Good"
"457",46754,1,522605.25,6198901.56,"Good"
"458",46755,1,522605.25,6198901.56,"Good"
"459",46756,1,522605.25,6198901.56,"Good"
"460",46757,1,522605.25,6198901.56,"Good"
"461",46758,1,522605.25,6198901.56,"Good"
"462",46759,1,522605.25,6198901.56,"Good"
"463",46760,1,522605.25,6198901.56,"Good"
"464",46761,1,522605.25,6198901.56,"Good"
"465",46762,1,522599.06,6198900.35,"Good"
"466",46763,1,522599.06,6198900.35,"Good"
"467",46764,1,522599.06,6198900.35,"Good"
"468",46765,1,522598.22,6198899.66,"Good"
"469",46766,1,522598.22,6198899.66,"Good"
"470",46767,1,522598.22,6198899.66,"Good"
"471",46768,1,522598.22,6198899.66,"Good"
"472",46769,1,522598.22,6198899.66,"Good"
"473",46770,1,522598.22,6198899.66,"Good"
"474",46771,1,522598.22,6198899.66,"Good"
"475",46772,1,522598.22,6198899.66,"Good"
"476",46773,1,522598.22,6198899.66,"Good"
"477",46774,1,522598.22,6198899.66,"Good"
"478",46775,1,522598.22,6198899.66,"Good"
"479",46776,1,522598.22,6198899.66,"Good"
"480",46777,1,522598.22,6198899.66,"Good"
"481",46778,1,522598.22,6198899.66,"Good"
"482",46779,1,522592.66,6198897.29,"Good"
"483",46780,1,522592.66,6198897.29,"Good"
"484",46781,1,522592.66,6198897.29,"Good"
"485",46782,1,522592.66,6198897.29,"Good"
"486",46783,1,522592.66,6198897.29,"Good"
"487",46784,1,522591.65,6198896.69,"Good"
"488",46785,1,522591.65,6198896.69,"Good"
"489",46786,1,522591.65,6198896.69,"Good"
"490",46787,1,522590.01,6198896.23,"Good"
"491",46788,1,522590.01,6198896.23,"Good"
"492",46789,1,522590.01,6198896.23,"Good"
"493",46790,1,522589.9,6198895.36,"Good"
"494",46791,1,522589.9,6198895.36,"Good"
"495",46792,1,522589.9,6198895.36,"Good"
"496",46793,1,522588.78,6198894.54,"Good"
"497",46794,1,522588.78,6198894.54,"Good"
"498",46795,1,522588.78,6198894.54,"Good"
"499",46796,1,522588.78,6198894.54,"Good"
"500",46797,1,522588.78,6198894.54,"Good"
"501",46798,1,522588.78,6198894.54,"Good"
"502",46799,1,522588.78,6198894.54,"Good"
"503",46800,1,522586.17,6198893.01,"Good"
"504",46801,1,522586.17,6198893.01,"Good"
"505",46802,1,522586.17,6198893.01,"Good"
"506",46803,1,522585.54,6198893.76,"Good"
"507",46804,1,522585.54,6198893.76,"Good"
"508",46805,1,522585.54,6198893.76,"Good"
"509",46806,1,522583.86,6198891.6,"Good"
"510",46807,1,522583.86,6198891.6,"Good"
"511",46808,1,522583.86,6198891.6,"Good"
"512",46809,1,522582.8,6198891.78,"Good"
"513",46810,1,522582.8,6198891.78,"Good"
"514",46811,1,522582.8,6198891.78,"Good"
"515",46812,1,522581.78,6198890.26,"Good"
"516",46813,1,522581.78,6198890.26,"Good"
"517",46814,1,522581.78,6198890.26,"Good"
"518",46815,1,522581.03,6198888.92,"Good"
"519",46816,1,522581.03,6198888.92,"Good"
"520",46817,1,522581.03,6198888.92,"Good"
"521",46818,1,522581.03,6198888.92,"Good"
"522",46819,1,522581.03,6198888.92,"Good"
"523",46820,1,522581.03,6198888.92,"Good"
"524",46821,1,522581.03,6198888.92,"Good"
"525",46822,1,522581.03,6198888.92,"Good"
"526",46823,1,522581.03,6198888.92,"Good"
"527",46824,1,522581.03,6198888.92,"Good"
"528",46825,1,522581.03,6198888.92,"Good"
"529",46826,1,522581.03,6198888.92,"Good"
"530",46827,1,522581.03,6198888.92,"Good"
"531",46828,1,522581.03,6198888.92,"Good"
"532",46829,1,522581.03,6198888.92,"Good"
"533",46830,1,522575.91,6198886.29,"Good"
"534",46831,1,522575.91,6198886.29,"Good"
"535",46832,1,522575.91,6198886.29,"Good"
"536",46833,1,522575.6,6198885.21,"Good"
"537",46834,1,522575.6,6198885.21,"Good"
"538",46835,1,522575.6,6198885.21,"Good"
"539",46836,1,522575.6,6198885.21,"Good"
"540",46837,1,522575.6,6198885.21,"Good"
"541",46838,1,522575.6,6198885.21,"Good"
"542",46839,1,522575.6,6198885.21,"Good"
"543",46840,1,522575.6,6198885.21,"Good"
"544",46841,1,522575.6,6198885.21,"Good"
"545",46842,1,522575.6,6198885.21,"Good"
"546",46843,1,522575.6,6198885.21,"Good"
"547",46844,1,522575.6,6198885.21,"Good"
"548",46845,1,522571.15,6198881.17,"Good"
"549",46846,1,522571.15,6198881.17,"Good"
"550",46847,1,522571.15,6198881.17,"Good"
"551",46848,1,522571.15,6198881.17,"Good"
"552",46849,1,522571.15,6198881.17,"Good"
"553",46850,1,522571.15,6198881.17,"Good"
"554",46851,1,522571.15,6198881.17,"Good"
"555",46852,1,522571.15,6198881.17,"Good"
"556",46853,1,522567.62,6198878.84,"Good"
"557",46854,1,522567.62,6198878.84,"Good"
"558",46855,1,522567.62,6198878.84,"Good"
"559",46856,1,522567.62,6198878.84,"Good"
"560",46857,1,522567.62,6198878.84,"Good"
"561",46858,1,522565.61,6198877.03,"Good"
"562",46859,1,522565.61,6198877.03,"Good"
"563",46860,1,522565.61,6198877.03,"Good"
"564",46861,1,522565.57,6198876.5,"Good"
"565",46862,1,522565.57,6198876.5,"Good"
"566",46863,1,522565.57,6198876.5,"Good"
"567",46864,1,522563.24,6198875.52,"Good"
"568",46865,1,522563.24,6198875.52,"Good"
"569",46866,1,522563.24,6198875.52,"Good"
"570",46867,1,522562.49,6198874.13,"Good"
"571",46868,1,522562.49,6198874.13,"Good"
"572",46869,1,522562.49,6198874.13,"Good"
"573",46870,1,522562.49,6198874.13,"Good"
"574",46871,1,522562.49,6198874.13,"Good"
"575",46872,1,522562.49,6198874.13,"Good"
"576",46873,1,522562.49,6198874.13,"Good"
"577",46874,1,522562.49,6198874.13,"Good"
"578",46875,1,522562.49,6198874.13,"Good"
"579",46876,1,522562.49,6198874.13,"Good"
"580",46877,1,522562.49,6198874.13,"Good"
