Source,Sex,year,mean,min,max,variable
LL fishery,Female,2010,41.90987124463519,16,99,Age
LL fishery,Female,2011,48.52991452991453,17,118,Age
LL fishery,Female,2012,39.45049504950495,14,116,Age
LL fishery,Female,2013,41.409801876955164,11,122,Age
LL fishery,Female,2014,38.48550724637681,17,109,Age
LL fishery,Female,2015,39.598214285714285,18,107,Age
LL fishery,Female,2016,39.50485436893204,13,110,Age
LL fishery,Female,2017,39.10104529616725,16,103,Age
LL fishery,Female,2018,37.48985507246377,17,102,Age
LL fishery,Female,2019,43.58520900321543,16,92,Age
LL fishery,Male,1984,77,77,77,Age
LL fishery,Male,1987,26.857142857142858,12,35,Age
LL fishery,Male,1988,35.144444444444446,9,84,Age
LL fishery,Male,1989,33,13,56,Age
LL fishery,Male,1992,25.867924528301888,9,71,Age
LL fishery,Male,1993,33.81818181818182,12,84,Age
LL fishery,Male,1994,36.108695652173914,11,66,Age
LL fishery,Male,1995,35.79948586118252,12,93,Age
LL fishery,Male,1996,34.05671077504726,8,99,Age
LL fishery,Male,1997,33.37279151943463,11,89,Age
LL fishery,Male,1998,36.82890855457227,15,106,Age
LL fishery,Male,1999,36.34159292035398,14,100,Age
LL fishery,Male,2000,37.33016627078385,12,86,Age
LL fishery,Male,2001,36.376068376068375,14,103,Age
LL fishery,Male,2002,36.276807980049874,13,92,Age
LL fishery,Male,2003,35.32911392405063,14,110,Age
LL fishery,Male,2004,35.02802101576182,12,100,Age
LL fishery,Male,2005,33.19786096256684,16,91,Age
LL fishery,Male,2008,32.1993006993007,12,96,Age
LL fishery,Male,2009,32.91881918819188,16,107,Age
LL fishery,Male,2010,36.43835616438356,13,78,Age
LL fishery,Male,2011,34.669291338582674,14,86,Age
LL fishery,Male,2012,31.29982964224872,14,90,Age
LL fishery,Male,2013,33.877272727272725,14,97,Age
LL fishery,Male,2014,30.227436823104693,15,70,Age
LL fishery,Male,2015,33.25221238938053,16,110,Age
LL fishery,Male,2016,31.424812030075188,14,102,Age
LL fishery,Male,2017,32.59130434782609,13,81,Age
LL fishery,Male,2018,32.881773399014776,17,82,Age
LL fishery,Male,2019,35.018264840182646,15,84,Age
LL fishery atyp,Female,1985,64.6842105263158,32,99,Age
LL fishery atyp,Male,1985,63.09375,31,97,Age
Hal LL fishery,Female,2008,557.9310344827586,400,740,Fork length
Hal LL fishery,Female,2009,564.6646341463414,330,760,Fork length
Hal LL fishery,Female,2010,581.4088397790056,380,820,Fork length
Hal LL fishery,Female,2011,567.8174603174604,370,780,Fork length
Hal LL fishery,Female,2012,580.9615384615385,390,830,Fork length
Hal LL fishery,Female,2014,556.8211920529801,400,730,Fork length
Hal LL fishery,Female,2015,578.1220657276996,420,740,Fork length
Hal LL fishery,Female,2016,568.53228962818,350,740,Fork length
Hal LL fishery,Female,2017,570.3747072599532,300,770,Fork length
Hal LL fishery,Female,2018,581.8163265306123,350,860,Fork length
Hal LL fishery,Female,2019,577.4418604651163,420,760,Fork length
Hal LL fishery,Female,2020,588.8235294117648,450,700,Fork length
Hal LL fishery,Female,2021,589.7154471544716,380,780,Fork length
Hal LL fishery,Female,2022,603.1851851851852,370,760,Fork length
Hal LL fishery,Male,2008,552.3287671232877,380,720,Fork length
Hal LL fishery,Male,2009,563.2279909706547,370,740,Fork length
Hal LL fishery,Male,2010,577.0617696160267,340,780,Fork length
Hal LL fishery,Male,2011,583.1653543307086,390,770,Fork length
Hal LL fishery,Male,2012,589.1555555555556,360,810,Fork length
Hal LL fishery,Male,2014,569.8344370860927,380,710,Fork length
Hal LL fishery,Male,2015,576.3039399624765,380,760,Fork length
Hal LL fishery,Male,2016,577.3263433813893,360,740,Fork length
Hal LL fishery,Male,2017,582.7272727272727,370,760,Fork length
Hal LL fishery,Male,2018,591.3650793650794,360,810,Fork length
Hal LL fishery,Male,2019,575.9375,390,790,Fork length
Hal LL fishery,Male,2020,584.927536231884,420,720,Fork length
Hal LL fishery,Male,2021,594.7536231884058,340,740,Fork length
Hal LL fishery,Male,2022,602.1621621621622,390,770,Fork length
Jig,Female,2000,565.3846153846154,370,730,Fork length
Jig,Female,2002,550.6666666666666,430,650,Fork length
Jig,Male,2000,546.829268292683,380,670,Fork length
Jig,Male,2002,517.1428571428571,340,670,Fork length
LL fishery,Female,1981,574.875,320,710,Fork length
LL fishery,Female,1984,626.6666666666666,610,640,Fork length
LL fishery,Female,1987,517.2727272727273,380,690,Fork length
LL fishery,Female,1988,550.1317523056654,340,810,Fork length
LL fishery,Female,1989,547.0515097690941,320,800,Fork length
LL fishery,Female,1990,537.9310344827586,390,700,Fork length
LL fishery,Female,1992,510.16129032258067,330,690,Fork length
LL fishery,Female,1993,534.2857142857143,390,660,Fork length
LL fishery,Female,1994,584.5283018867924,410,740,Fork length
LL fishery,Female,1995,557.5514874141876,380,750,Fork length
LL fishery,Female,1996,546.8257956448912,330,800,Fork length
LL fishery,Female,1997,544.6191135734072,330,750,Fork length
LL fishery,Female,1998,560.0648148148148,390,750,Fork length
LL fishery,Female,1999,544.7784810126582,370,725,Fork length
LL fishery,Female,2000,554.0038240917783,360,730,Fork length
LL fishery,Female,2001,560.2680067001675,390,765,Fork length
LL fishery,Female,2002,535.9370078740158,345,810,Fork length
LL fishery,Female,2003,530.0980392156863,350,750,Fork length
LL fishery,Female,2004,554.1449275362319,300,790,Fork length
LL fishery,Female,2005,595.1704545454545,430,770,Fork length
LL fishery,Female,2008,587.8856304985337,390,780,Fork length
LL fishery,Female,2009,584.4474393530998,430,810,Fork length
LL fishery,Female,2010,549.75,410,760,Fork length
LL fishery,Female,2011,566.3865546218487,460,740,Fork length
LL fishery,Female,2012,584.2241379310345,400,810,Fork length
LL fishery,Female,2013,566.8054110301769,360,800,Fork length
LL fishery,Female,2014,578.1884057971015,400,710,Fork length
LL fishery,Female,2015,583.8005865102639,420,840,Fork length
LL fishery,Female,2016,588.1290322580645,430,850,Fork length
LL fishery,Female,2017,585.4237288135594,390,810,Fork length
LL fishery,Female,2018,568.7427745664739,410,760,Fork length
LL fishery,Female,2019,559.7427652733119,400,790,Fork length
LL fishery,Male,1981,546.75,415,680,Fork length
LL fishery,Male,1984,710,710,710,Fork length
LL fishery,Male,1987,508.75,350,590,Fork length
LL fishery,Male,1988,538.4387617765814,310,800,Fork length
LL fishery,Male,1989,529.1827956989247,300,760,Fork length
LL fishery,Male,1990,553.1578947368421,420,660,Fork length
LL fishery,Male,1992,508.14814814814815,340,690,Fork length
LL fishery,Male,1993,520,340,660,Fork length
LL fishery,Male,1994,592.0833333333334,320,760,Fork length
LL fishery,Male,1995,552.0537897310513,350,800,Fork length
LL fishery,Male,1996,542.9116465863453,310,760,Fork length
LL fishery,Male,1997,545.2254428341384,310,710,Fork length
LL fishery,Male,1998,558.2392776523702,340,705,Fork length
LL fishery,Male,1999,548.3793103448276,340,710,Fork length
LL fishery,Male,2000,556.4845605700713,330,720,Fork length
LL fishery,Male,2001,557.9296066252588,380,725,Fork length
LL fishery,Male,2002,556.7412935323383,380,720,Fork length
LL fishery,Male,2003,544.4725738396625,370,720,Fork length
LL fishery,Male,2004,561.315331010453,350,710,Fork length
LL fishery,Male,2005,573.3155080213904,370,730,Fork length
LL fishery,Male,2008,548.7456445993031,370,760,Fork length
LL fishery,Male,2009,563.4317343173432,360,750,Fork length
LL fishery,Male,2010,558.3116883116883,390,720,Fork length
LL fishery,Male,2011,552.5984251968504,400,760,Fork length
LL fishery,Male,2012,564.5331069609508,350,740,Fork length
LL fishery,Male,2013,555.9969788519637,350,760,Fork length
LL fishery,Male,2014,562.9241877256318,370,700,Fork length
LL fishery,Male,2015,565.9471365638766,410,830,Fork length
LL fishery,Male,2016,560.4511278195489,390,740,Fork length
LL fishery,Male,2017,566.3786008230453,400,700,Fork length
LL fishery,Male,2018,560.8333333333334,350,710,Fork length
LL fishery,Male,2019,554.6575342465753,380,710,Fork length
LL fishery atyp,Female,1985,600,520,670,Fork length
LL fishery atyp,Male,1985,638.4375,540,760,Fork length
